sku,qty
OPMNNTF0003,1
OPMBNTF0176,2
OPMBNTFB0103,3
OPMBNTFB0609,6
OPMBNTFB0647,24
OPMBNTFB0021,262
OPMBNTFB0017,746
OPMBNTFB0023,502
OPMBNTFB0026,66
OPMBNTFB0020,147
OPMBNTFB0018,62
OPMBNTFB0603,17
OPMBNTFB0058,4
OPMBNTF0467,236
OPMBNTF0066,3
OPMBNTF0143,1
OPMBNTF0003,3
OPMBNTF0007,1
OPMBNTF0204,8
OPMBNTF0034,26
OPMBNTF0118,3
OPMBNTF0103,6
OPMBNTF0036,2
OPMBNTF0119,4
OPMBNTF0022,24
OPMBNTF0041,0
OPMBNTF0564,4
OPMBNTF0601,1
OPMBNTF0086,3
OPMBNTF0599,8
OPMBNTF0037,1
OPMBNTF0028,181
OPMBNTF0038,118
OPMBNTF0029,81
OPMBNTF0021,17
OPMBNTF0017,35
OPMBNTF0023,7
OPMBNTF0605,23
OPMBNTF0093,68
OPMBNTF0020,209
OPMBNTF0019,418
OPMBNTFB0019,3
OPMBNTF0557,25
OPMBNTF0035,14
OPMBNTF0604,5
OPMBNTF0018,393
OPMBNTF0598,6
OPMBNTF0603,23
OPMBNTF0099,33
OPMBNTF0643,71
OPMBNTF0045,11
OPMBNTF0065,5
OPMBNTF0100,0
OPMBNTF0219,1
OPMBNTF0252,35
OPMBNTF0107,54
OPMBNTF0724,24
OPMBNTF0725,17
OPMBNTF0727,11
OPMBNTF0257,1
OPMBNTF0310,1
OPMBNTF0260,1
OPMBNTF0311,1
OPMBNTF0650,40
OPMBNTF0495,33
OPMBNTF0652,5
OPMBNTF0496,1
OPMBNTF0083,5
OPMBNTF0052,43
OPMBNTF0089,6
OPMBNTF0498,1
OPMBNTF0500,1
OPMBNTF0088,1
OPMBNTF0121,3
OPMBNTF0002,11
OPMBNTF0074,4
OPMBNTF0313,1
OPMBNTF0130,2
OPMBNTF0060,2
OPMBNTF0676,2
OPMBNTF0224,2
OPMBNTF0512,4
OPMBNTF0668,7
OPMBNTF0263,34
OPMBNTF0264,1
OPMBNTF0578,1
OPMBNTF0653,5
OPMBNTF0316,2
OPMBNTF0656,9
OPMBNTF0657,9
OPMBNTF0684,1
OPMBNTF0700,13
OPMBNTF0198,4
OPMBNTF0321,1
OPMBNTF0649,1
OPMBNTF0050,20
OPMBNTF0098,4
OPMBNTF0196,2
