sku,status
OPNBNTF0016,1
OPNBNTF0139,1
OPNBNTF0140,1
OPNBNTF0107,1
OPNBNTF0166,1
OPNBNTF0138,1
OPNBNTF0131,1
OPNBNTF0116,1
OPNBNTF0127,1
OPNBNTF0118,1
OPNBNTF0119,1
OPNBNTF0145,1
OPNBNTF0132,1
OPNBNTF0115,1
OPNBNTF0161,1
OPNBNTF0121,1
OPNBNTF0126,1
OPNBNTF0156,1
OPNBNTF0112,1
OPNBNTF0157,1
OPNBNTF0104,1
OPNBNTF0109,1
OPNBNTF0108,1
OPNBNTF0087,1
OPNBNTF0083,1
OPNBNTF0089,1
OPNBNTF0061,1
OPNBNTF0054,1
OPNBNTF0064,1
OPNBNTF0036,1
OPNBNTF0025,1
OPNBNTF0040,1
OPNBNTF0010,1
OPNBNTF0011,1
OPNBNTF0037,1
OPMNNTF0003,1
OPMBNTF0176,1
OPMBNTFB0103,1
OPMBNTFB0609,1
OPMBNTFB0647,1
OPMBNTFB0021,1
OPMBNTFB0017,1
OPMBNTFB0023,1
OPMBNTFB0026,1
OPMBNTFB0020,1
OPMBNTFB0018,1
OPMBNTFB0603,1
OPMBNTFB0058,1
OPMBNTF0467,1
OPMBNTF0066,1
OPMBNTF0143,1
OPMBNTF0003,1
OPMBNTF0007,1
OPMBNTF0204,1
OPMBNTF0034,1
OPMBNTF0118,1
OPMBNTF0103,1
OPMBNTF0036,1
OPMBNTF0119,1
OPMBNTF0022,1
OPMBNTF0041,1
OPMBNTF0564,1
OPMBNTF0601,1
OPMBNTF0086,1
OPMBNTF0599,1
OPMBNTF0037,1
OPMBNTF0028,1
OPMBNTF0038,1
OPMBNTF0029,1
OPMBNTF0021,1
OPMBNTF0017,1
OPMBNTF0023,1
OPMBNTF0605,1
OPMBNTF0093,1
OPMBNTF0020,1
OPMBNTF0019,1
OPMBNTFB0019,1
OPMBNTF0557,1
OPMBNTF0035,1
OPMBNTF0604,1
OPMBNTF0018,1
OPMBNTF0598,1
OPMBNTF0603,1
OPMBNTF0099,1
OPMBNTF0643,1
OPMBNTF0045,1
OPMBNTF0065,1
OPMBNTF0100,1
OPMBNTF0219,1
OPMBNTF0252,1
OPMBNTF0107,1
OPMBNTF0724,1
OPMBNTF0725,1
OPMBNTF0727,1
OPMBNTF0257,1
OPMBNTF0310,1
OPMBNTF0260,1
OPMBNTF0311,1
OPMBNTF0650,1
OPMBNTF0495,1
OPMBNTF0652,1
OPMBNTF0496,1
OPMBNTF0083,1
OPMBNTF0052,1
OPMBNTF0089,1
OPMBNTF0498,1
OPMBNTF0500,1
OPMBNTF0088,1
OPMBNTF0121,1
OPMBNTF0002,1
OPMBNTF0074,1
OPMBNTF0313,1
OPMBNTF0130,1
OPMBNTF0060,1
OPMBNTF0676,1
OPMBNTF0224,1
OPMBNTF0512,1
OPMBNTF0668,1
OPMBNTF0263,1
OPMBNTF0264,1
OPMBNTF0578,1
OPMBNTF0653,1
OPMBNTF0316,1
OPMBNTF0656,1
OPMBNTF0657,1
OPMBNTF0684,1
OPMBNTF0700,1
OPMBNTF0198,1
OPMBNTF0321,1
OPMBNTF0649,1
OPMBNTF0050,1
OPMBNTF0098,1
OPMBNTF0196,1
OPNBNTF0002,1
OPNBNTF0007,1
OPNBNTF0016,1
OPNBNTF0021,1
OPNBNTF0025,1
OPNBNTF0026,1
OPNBNTF0027,1
OPNBNTF0029,1
OPNBNTF0034,1
OPNBNTF0039,1
OPNBNTF0044,1
OPNBNTF0045,1
OPNBNTF0047,1
OPNBNTF0055,1
OPNBNTF0059,1
OPNBNTF0060,1
OPNBNTF0075,1
OPNBNTF0084,1
OPNBNTF0093,1
OPNBNTF0095,1
OPNBNTF0097,1
OPNBNTF0098,1
OPNBNTF0100,1
OPNBNTF0103,1
OPNBNTF0105,1
OPNBNTF0109,1
OPNBNTF0112,1
OPNBNTF0114,1
OPNBNTF0116,1
OPNBNTF0119,1
OPNBNTF0121,1
OPNBNTF0122,1
OPNBNTF0123,1
OPNBNTF0129,1
OPNBNTF0130,1
OPNBNTF0141,1
OPNBNTF0156,1
OPNBNTF0163,1
OPNBNTF0170,1
OPNBNTF0172,1
OPTBNTF0001,1
