sku,status
REFMOB0010,2
OPMBNTFB0695,2
NEWMOB00001,2
NEWMOB00002,2
OPMBNTF0597,2
OPMBNTF0175,2
OPMBNTF0005,2
OPMBNTF0067,2
OPMBNTF0451,2
OPMBNTF0171,2
NEWMOB00367,2
NEWMOB00001,2
NEWMOB00002,2
OPNBNTF0058,2
OPNBNTF0024,2
OPMBNTF0710,2
OPMBNTF0174,2
OPMBNTF0645,2
OPMBNTF0645,2
OPMBNTF0698,2
OPMBNTF0156,2
OPMBNTF0156,2
NEWMOB00002,2
NEWMOB00004,2
NEWMOB00138,2
NEWMOB00138,2
NEWMOB00043,2
OPMBNTF0002,2
OPMBNTF0172,2
NEWMOB00021,2
NEWMOB00331,2
OPMBNTF0320,2
NEWMOB00020,2
OPMBNTF0726,2
opmbntf0026,2
REFDE00085,2
NEWMOB00004,2
OPMBNTF0074,2
OPMBNTF0009,2
REFDE00251,2
REFDE00222,2
QCNBB000617,2
QCNBB001072,2
QCNBB000711,2
QCNBB001074,2
QCNBB000732,2
QCNBB000570,2
QCNBB000271,2
QCNBB001124,2
QCNBB000528,2
QCNBB000564,2
QCNBB000583,2
QCNBB000816,2
QCNBB000561,2
QCNBB000634,2
QCNBB000643,2
QCNBB001370,2
QCNBB000261,2
QCNBB000760,2
QCNBB001235,2
QCNBB000555,2
QCNBB000538,2
QCNBB001229,2
QCNBB000596,2
QCNBB000808,2
OPMBNTF0046,2
QCNBB000560,2
OPMBNTF0046,2
OPMBNTF0046,2
OPMBNTF0046,2
QCMBB000010,2
QCMBB000010,2
QCMBB000007,2
QCMBB000010,2
OPMBNTF0601,2
OPMBNTF0601,2
OPMBNTF0041,2
QCNBB001074,2
QCNBB001072,2
OPMBNTF0041,2
OPMBNTF0002,2
REFDE00177,2
QCNBB001123,2
