store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,remove_compare_link,cash_on_delivery,free_home_delivery,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,color
admin,base,Laptops,simple,"3,11",QCNBB001510,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i5,QCNBK-B,"Dell-Inspiron 5420(Core I5 3210M 2.50GHz/4GB/500GB 14.0"")FLWXVS1",15 Days Testing Warranty.,Inspiron 5420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Inspiron 5420(Core I5 3210M 2.50GHz/4GB/500GB 14.0"")FLWXVS1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,Grey
admin,base,Laptops,simple,"3,11",QCPNBK00243,2,No,"Catalog, Search",GST0.36,Lenovo,Yes,Yes,Yes,Core i7,QCNBK-B,"Lenovo-Y470(Core I7 2670QM 2.20GHz/8GB/750GB 14.0"")CB11549282",15 Days Testing Warranty.,Y470,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-Y470(Core I7 2670QM 2.20GHz/8GB/750GB 14.0"")CB11549282",simple,15 Days Testing Warranty.,No,No,10.8V--5800mAh,Purple
admin,base,Laptops,simple,"3,11",SYGNBQB0211,2,No,"Catalog, Search",GST0.36,Lenovo,Yes,Yes,Yes,,QCNBK-B,"Lenovo-G500(Pentium R CPU 2020M 2.40GHz/4GB/320GB 15.6"")CB22764377",15 Days Testing Warranty.,G500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-G500(Pentium R CPU 2020M 2.40GHz/4GB/320GB 15.6"")CB22764377",simple,15 Days Testing Warranty.,No,No,NA,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0212,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,,QCNBK-B,"Dell-PP39L(Core 2 Duo T6500 2.1GHz/4GB/750GB 14.5"")8KKY3BS",15 Days Testing Warranty.,PP39L,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-PP39L(Core 2 Duo T6500 2.1GHz/4GB/750GB 14.5"")8KKY3BS",simple,15 Days Testing Warranty.,No,No,11.1V--85Wh,Green
admin,base,Laptops,simple,"3,11",SYGNBQB0213,2,No,"Catalog, Search",GST0.36,Lenovo,Yes,Yes,Yes,Core i7,QCNBK-B,"Lenovo-T440P(Core I7 4700M 2.40GHz/4GB/500GB 14.0"")PG-00762V",15 Days Testing Warranty.,T440P,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Lenovo-T440P(Core I7 4700M 2.40GHz/4GB/500GB 14.0"")PG-00762V",simple,15 Days Testing Warranty.,No,No,10.8V--57Wh,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0214,2,No,"Catalog, Search",GST0.36,Acer,Yes,Yes,Yes,,QCNBK-B,"Acer-ONE  ZG5(Atom N270 1.60GHz/1GB/160GB 11.0"")LUS050B1718361D8DA2535",15 Days Testing Warranty.,ONE  ZG5,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Acer-ONE  ZG5(Atom N270 1.60GHz/1GB/160GB 11.0"")LUS050B1718361D8DA2535",simple,15 Days Testing Warranty.,No,No,10.8V--48Wh,Blue
admin,base,Laptops,simple,"3,11",QCNBB000325,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i5,QCNBK-B,Dell-INSP N5110(Core I5 2.50GHz/4GB/500GB)7F3VNR1,15 Days Testing Warranty.,INSP N5110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-INSP N5110(Core I5 2.50GHz/4GB/500GB)7F3VNR1,simple,15 Days Testing Warranty.,No,No,,Black
admin,base,Laptops,simple,"3,11",QCNBB000329,2,No,"Catalog, Search",GST0.36,Dell,Yes,Yes,Yes,Core i5,QCNBK-B,Dell-INSPIRON N4110(CORE I5-2430M 2.40GHZ/4GB RAM/500GB HDD)3D63ZR1,15 Days Testing Warranty.,INSPIRON N4110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-INSPIRON N4110(CORE I5-2430M 2.40GHZ/4GB RAM/500GB HDD)3D63ZR1,simple,15 Days Testing Warranty.,No,No,11.1V--56WH,Black
admin,base,Laptops,simple,"3,11",QCNBB001511,2,No,"Catalog, Search",GST0.36,DELL,Yes,Yes,Yes,Core i3,QCNBK-B,"Dell-INSP N5010(Core I3 M350 2.27GHz/3GB/320GB 15.6"")53Z96BS",15 Days Testing Warranty.,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5010(Core I3 M350 2.27GHz/3GB/320GB 15.6"")53Z96BS",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,Black
admin,base,Laptops,simple,"3,11",QCNBB001512,2,No,"Catalog, Search",GST0.36,Sony,Yes,Yes,Yes,Core i3,QCNBK-B,"Sony-SVF152A1WW(Core I3 3227U 1.90GHz/4GB/500GB 15.6"")C10GYV1T",15 Days Testing Warranty.,SVF152A1WW,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-SVF152A1WW(Core I3 3227U 1.90GHz/4GB/500GB 15.6"")C10GYV1T",simple,15 Days Testing Warranty.,No,No,14.8V--2670MAH,White
