sku,qty,Price,is_in_stock,status
OPMBNTF0001,12,15907.77133,1,1
OPMBNTF0003,4,12328.65387,1,1
OPMBNTF0007,1,26672,1,1
OPMBNTF0016,0,11140.84714,1,1
OPMBNTF0017,35,9108.22139,1,1
OPMBNTF0018,393,11345.18078,1,1
OPMBNTF0019,418,8039.03269,1,1
OPMBNTF0020,210,8127.66222,1,1
OPMBNTF0021,17,8861.59679,1,1
OPMBNTF0022,27,9512.79698,1,1
OPMBNTF0023,7,8814.73467,1,1
OPMBNTF0025,24,7950.74763,1,1
OPMBNTF0027,33,12585,1,1
OPMBNTF0028,181,8430.60387,1,1
OPMBNTF0029,81,8321.71483,1,1
OPMBNTF0030,36,6091.65982,1,1
OPMBNTF0031,42,859,1,1
OPMBNTF0032,29,8623.34625,1,1
OPMBNTF0033,9,8734.7752,1,1
OPMBNTF0034,26,10912,1,1
OPMBNTF0035,14,10896.21302,1,1
OPMBNTF0036,2,12283.0836,1,1
OPMBNTF0037,1,6425.35971,1,1
OPMBNTF0038,118,6477.60112,1,1
OPMBNTF0041,1,8570.018,1,1
OPMBNTF0042,51,5088.53571,1,1
OPMBNTF0043,1,13250,1,1
OPMBNTF0044,40,9500.05304,1,1
OPMBNTF0045,11,12073.80909,1,1
OPMBNTF0047,1,13384.89444,1,1
OPMBNTF0048,38,11356.43886,1,1
OPMBNTF0049,1,6859.71302,1,1
OPMBNTF0050,20,7999,1,1
OPMBNTF0051,24,10908.52036,1,1
OPMBNTF0052,43,3217.22745,1,1
OPMBNTF0053,3,11894.98775,1,1
OPMBNTF0055,1,9448.533,1,1
OPMBNTF0057,6,14109.76846,1,1
OPMBNTF0058,30,24513.31871,1,1
OPMBNTF0060,2,7000,1,1
OPMBNTF0061,2,7655.80905,1,1
OPMBNTF0062,14,8570,1,1
OPMBNTF0063,37,7081.60186,1,1
OPMBNTF0064,3,5910.99105,1,1
OPMBNTF0065,5,14969.86625,1,1
OPMBNTF0066,3,7297.485,1,1
OPMBNTF0071,5,8534.29333,1,1
OPMBNTF0078,9,6248.741,1,1
OPMBNTF0082,2,2369,1,1
OPMBNTF0083,5,2085,1,1
OPMBNTF0084,1,10082.96286,1,1
OPMBNTF0085,1,6064.09,1,1
OPMBNTF0086,3,4998.3915,1,1
OPMBNTF0087,9,7907,1,1
OPMBNTF0088,1,7953,1,1
OPMBNTF0089,6,2648.4725,1,1
OPMBNTF0093,68,5405.05614,1,1
OPMBNTF0097,11,8218.73235,1,1
OPMBNTF0098,4,6941.44222,1,1
OPMBNTF0099,33,9783.88971,1,1
OPMBNTF0103,6,3781,1,1
OPMBNTF0107,54,31060.7238,1,1
OPMBNTF0112,7,4550.9725,1,1
OPMBNTF0113,7,4172.81111,1,1
OPMBNTF0114,1,21000,1,1
OPMBNTF0115,15,21642.2019,1,1
OPMBNTF0118,3,2078,1,1
OPMBNTF0119,4,5277,1,1
OPMBNTF0120,2,2579.33333,1,1
OPMBNTF0123,3,2708,1,1
OPMBNTF0129,24,13875.50731,1,1
