store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_freebag,laptop_touchscreen,laptop_battery,price,color
admin,base,Laptops,simple,"3,11",SYGNBQB0251,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP N5050 (Core I5 2450M 2.50GHz/4GB/500GB 15.6"") FFYPKT1",15 Days Testing Warranty.,INSP N5050,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5050 (Core I5 2450M 2.50GHz/4GB/500GB 15.6"") FFYPKT1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,0.00,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0252,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion DV2 (AMD Athon MV-40 1.60GHz/2GB/320GB 11.0"") CNC909229X",15 Days Testing Warranty.,Pavillion DV2,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion DV2 (AMD Athon MV-40 1.60GHz/2GB/320GB 11.0"") CNC909229X",simple,15 Days Testing Warranty.,No,No,10.8V--4400mAh,0.00,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0253,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP N4110 (Core I3 2310 2.10GHz/4GB/500GB 14.0"") D3NCVQ1",15 Days Testing Warranty.,INSP N4110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N4110 (Core I3 2310 2.10GHz/4GB/500GB 14.0"") D3NCVQ1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,0.00,Brown
admin,base,Laptops,simple,"3,11",SYGNBQB0254,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Vostro (Core I3 2330M 2.20GHz/8GB/320GB 14.0"") C7KYMP1",15 Days Testing Warranty.,Vostro,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Vostro (Core I3 2330M 2.20GHz/8GB/320GB 14.0"") C7KYMP1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,0.00,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0255,2,No,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-PCG-71811W (Core I3 2330M 2.20GHz/2GB/320GB 15.6"") C106GS5Q",15 Days Testing Warranty.,PCG-71811W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71811W (Core I3 2330M 2.20GHz/2GB/320GB 15.6"") C106GS5Q",simple,15 Days Testing Warranty.,No,No,10.8V--2200mAh,0.00,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0256,2,No,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-71C11W (AMD E-450 APU 1.65GHz/2GB/500GB 15.6"") C9031CL7",15 Days Testing Warranty.,PCG-71C11W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG-71C11W (AMD E-450 APU 1.65GHz/2GB/500GB 15.6"") C9031CL7",simple,15 Days Testing Warranty.,No,No,10.8V--4000mAh,0.00,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0257,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP N5010 (Core I3 2330M 2.20GHz/3GB/320GB 15.6"") 26RK7R1",15 Days Testing Warranty.,INSP N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP N5010 (Core I3 2330M 2.20GHz/3GB/320GB 15.6"") 26RK7R1",simple,15 Days Testing Warranty.,No,No,11.1V--48Wh,0.00,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0258,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-INSP 1564 (Core I3 M330 2.13GHz/4GB/320GB 15.6"") GGMY4BS",15 Days Testing Warranty.,INSP 1564,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 1564 (Core I3 M330 2.13GHz/4GB/320GB 15.6"") GGMY4BS",simple,15 Days Testing Warranty.,No,No,11.1V--56Wh,0.00,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0259,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,Dell-N4010 (CORE I3-M350 / 2.27GHZ / 2GB / 320GB 14.0'') F8PQBN1,15 Days Testing Warranty.,N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-N4010 (CORE I3-M350 / 2.27GHZ / 2GB / 320GB 14.0'') F8PQBN1,simple,15 Days Testing Warranty.,No,No,11.1V ---4000MAH,0.00,Brown
admin,base,Laptops,simple,"3,11",SYGNBQB0260,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-INSP 5421 (Core I5 3337U 1.80GHz/8GB/500GB 14.0"") 2KQ1lw1",15 Days Testing Warranty.,INSP 5421,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 5421 (Core I5 3337U 1.80GHz/8GB/500GB 14.0"") 2KQ1lw1",simple,15 Days Testing Warranty.,No,No,11.1V--65Wh,0.00,Grey 
