sku,status
OPMBNTF0294,2
OPMBNTF0298,2
OPMBNTF0295,2
OPMBNTF0247,2
OPMBNTF0434,2
OPMBNTF0536,2
OPMBNTF0229,2
OPMBNTF0250,2
OPMBNTF0273,2
OPMBNTF0104,2
OPMBNTF0214,2
OPMBNTF0592,2
OPMBNTF0083,2
OPMBNTF0089,2
OPMBNTF0317,2
OPMBNTF0318,2
OPMBNTF0221,2
OPMBNTF0489,2
OPMBNTF0496,2
OPMBNTF0497,2
OPMBNTF0173,2
OPMBNTF0468,2
OPMBNTF0283,2
OPMBNTF0108,2
OPMBNTF0223,2
OPMBNTF0297,2
OPMBNTF0523,2
OPMBNTF0195,2
OPMBNTF0064,2
OPMBNTF0585,2
OPMBNTF0664,2
OPMBNTF0326,2
OPMBNTF0216,2
OPMBNTF0194,2
OPMBNTF0482,2
OPMBNTF0147,2
OPMBNTF0094,2
OPMBNTF0078,2
OPMBNTF0577,2
OPMBNTF0433,2
OPMBNTF0189,2
OPMBNTF0267,2
OPMBNTF0537,2
OPMBNTF0574,2
OPMBNTF0538,2
OPMBNTF0202,2
OPMBNTF0272,2
OPMBNTF0122,2
OPMBNTF0427,2
OPMBNTF0569,2
OPMBNTF0550,2
OPMBNTF0091,2
OPMBNTF0181,2
OPMBNTF0160,2
OPMBNTF0270,2
OPMBNTF0095,2
OPMBNTF0234,2
OPMBNTF0068,2
OPMBNTF0090,2
OPMBNTF0630,2
OPMBNTF0637,2
OPMBNTF0131,2
OPMBNTF0141,2
OPMBNTF0641,2
OPMBNTF0054,2
OPMBNTF0435,2
OPMBNTF0167,2
OPMBNTF0631,2
OPMBNTF0683,2
OPMBNTF0165,2
OPMBNTF0006,2
OPMBNTF0012,2
OPMBNTF0013,2
OPMBNTF0076,2
OPMBNTF0059,2
OPMBNTF0274,2
OPMBNTF0341,2
OPMBNTF0200,2
OPMBNTF0178,2
OPMBNTF0077,2
OPMBNTF0092,2
OPMBNTF0097,2
OPMBNTF0105,2
OPMBNTF0219,2
OPMBNTF0661,2
OPMBNTF0601,2
OPMBNTF0660,2
OPMBNTF0262,2
OPMBNTF0114,2
OPMBNTF0559,2
OPMBNTF0699,2
OPMBNTF0702,2
OPMBNTF0570,2
OPMBNTF0651,2
OPMBNTF0690,2
OPMBNTF0412,2
OPMBNTF0314,2
OPMBNTF0374,2
OPMBNTF0502,2
OPMBNTF0673,2
OPMBNTF0693,2
OPMBNTF0696,2
OPMBNTF0330,2
OPMBNTF0695,2
OPMBNTF0245,2
OPMBNTF0299,2
OPMBNTF0621,2
OPMBNTF0243,2
OPMBNTF0284,2
OPMBNTF0242,2
OPMBNTF0286,2
OPMBNTF0261,2
OPMBNTF0312,2
OPMBNTF0319,2
OPMBNTF0505,2
OPMBNTF0287,2
OPMBNTF0300,2
OPMBNTF0566,2
OPMBNTF0578,2
OPMBNTF0514,2
OPMBNTF0509,2
OPMBNTF0490,2
OPMBNTF0579,2
OPMBNTF0694,2
OPMBNTF0498,2
OPMBNTF0576,2
OPMBNTF0404,2
OPMBNTF0575,2
OPMBNTF0501,2
OPMBNTF0681,2
OPMBNTF0675,2
OPMBNTF0362,2
OPMBNTF0620,2
OPMBNTF0593,2
OPMBNTF0572,2
OPMBNTF0580,2
OPMBNTF0441,2
OPMBNTF0443,2
OPMBNTF0421,2
OPMBNTF0419,2
OPMBNTF0581,2
OPMBNTF0691,2
OPMBNTF0689,2
OPMBNTF0251,2
OPMBNTF0688,2
OPMBNTF0697,2
OPMBNTF0607,2
OPMBNTF0356,2
OPMBNTF0357,2
OPMBNTF0358,2
OPMBNTF0510,2
OPMBNTF0588,2
OPMBNTF0307,2
OPMBNTF0430,2
OPMBNTF0438,2
OPMBNTF0532,2
OPMBNTF0616,2
OPMBNTF0347,2
OPMBNTF0348,2
OPMBNTF0363,2
OPMBNTF0613,2
OPMBNTF0486,2
OPMBNTF0716,2
OPMBNTF0722,2
OPMBNTFB0013,2
OPMBNTFB0016,2
OPMBNTFB0032,2
OPMBNTFB0034,2
OPMBNTFB0051,2
OPMBNTFB0103,2
OPMBNTFB0183,2
OPMBNTFB0222,2
OPMBNTFB0323,2
OPMBNTFB0433,2
OPMBNTFB0074,2
OPMBNTFB0050,2
OPMBNTFB0067,2
OPMBNTFB0068,2
OPMBNTFB0081,2
OPMBNTFB0181,2
OPMBNTFB0202,2
OPMBNTFB0214,2
OPMBNTFB0262,2
OPMBNTFB0270,2
OPMBNTFB0473,2
OPMBNTFB0536,2
OPMBNTFB0635,2
OPMBNTFB0681,2
OPMBNTFB0186,2
OPMBNTFB0048,2
OPMBNTF0749,2
OPMBNTFB0052,2
OPMBNTFB0125,2
OPMBNTFB0247,2
OPMBNTFB0294,2
OPMBNTFB0088,2
OPMBNTFB0094,2
OPMBNTFB0097,2
OPMBNTFB0118,2
OPMBNTFB0123,2
OPMBNTFB0185,2
OPMBNTFB0206,2
OPMBNTFB0244,2
OPMBNTFB0248,2
OPMBNTFB0287,2
OPMBNTFB0367,2
OPMBNTFB0405,2
OPMBNTFB0411,2
OPMBNTFB0498,2
OPMBNTFB0511,2
OPMBNTFB0512,2
OPMBNTFB0578,2
OPMBNTFB0583,2
OPMBNTFB0636,2
OPMBNTFB0660,2
OPMBNTFB0669,2
OPMBNTFB0699,2
OPMBNTF0493,2
OPMBNTF0488,2
OPMBNTF0353,2
OPMBNTF0596,2
OPMBNTF0516,2
OPMBNTF0128,2
OPMBNTF0474,2
OPMBNTF0470,2
OPMBNTF0127,2
OPMBNTF0446,2
OPMBNTF0401,2
OPMBNTF0417,2
OPMBNTFB0562,2
OPMBNTFB0298,2
OPMBNTFB0083,2
OPMBNTFB0089,2
OPMBNTFB0500,2
OPMBNTFB0670,2
OPMBNTFB0489,2
OPMBNTFB0496,2
OPMBNTFB0497,2
OPMBNTFB0121,2
OPMBNTFB0594,2
OPMBNTFB0499,2
OPMBNTFB0124,2
OPMBNTFB0301,2
OPMBNTFB0304,2
OPMBNTFB0365,2
OPMBNTFB0322,2
OPMBNTFB0241,2
OPMBNTFB0462,2
OPMBNTFB0482,2
OPMBNTFB0187,2
OPMBNTFB0266,2
OPMBNTFB0086,2
OPMBNTFB0073,2
OPMBNTFB0155,2
OPMBNTFB0130,2
OPMBNTFB0168,2
OPMBNTFB0164,2
OPMBNTFB0188,2
OPMBNTFB0290,2
OPMBNTFB0063,2
OPMBNTFB0146,2
OPMBNTFB0196,2
OPMBNTFB0704,2
OPMBNTFB0650,2
OPMBNTFB0328,2
OPMBNTFB0504,2
OPMBNTFB0310,2
OPMBNTFB0246,2
OPMBNTFB0302,2
OPMBNTFB0249,2
OPMBNTFB0240,2
OPMBNTFB0257,2
OPMBNTFB0265,2
OPMBNTFB0311,2
OPMBNTFB0319,2
OPMBNTFB0566,2
OPMBNTFB0694,2
OPMBNTFB0419,2
OPMBNTFB0688,2
OPMBNTFB0363,2
OPMBNTFB0613,2
OPMBNTFB0493,2
OPMBNTFB0352,2
OPMBNTFB0516,2
OPMBNTFB0128,2
OPMBNTFB0282,2
OPMBNTFB0127,2
OPMBNTFB0446,2
OPMBNTFB0401,2
OPMBNTFB0417,2
OPMBNTFB0574,2
OPMBNTFB0576,2
OPMBNTFB0577,2
OPMBNTF0163,2
OPMBNTF0280,2
OPMBNTF0477,2
OPMBNTF0518,2
OPMBNTF0686,2
OPMBNTF0680,2
OPMBNTF0529,2
OPMBNTF0528,2
OPMBNTF0526,2
OPMBNTF0484,2
OPMBNTF0480,2
OPMBNTF0455,2
OPMBNTF0450,2
OPMBNTF0448,2
OPMBNTF0444,2
OPMBNTF0418,2
OPMBNTF0416,2
OPMBNTF0364,2
OPMBNTF0351,2
OPMBNTF0350,2
OPMBNTF0332,2
