sku,status
ASMBA000037,1
NEWMOB00350,1
OPMBNTF0041,1
OPMBNTF0063,1
OPMBNTF0151,1
OPMBNTF0156,1
OPMBNTF0214,1
OPMBNTF0451,1
OPMBNTFB0025,1
OPMBNTFB0030,1
OPMBNTFB0051,1
OPMBNTFB0061,1
OPMBNTFB0064,1
OPMBNTFB0219,1
OPMBNTFB0599,1
QCMBB000007,1
QCMBB000078,1
REFDE00249,1
NEWMOB00395,1
OPMBNTF0061,1
OPMBNTF0125,1
OPMBNTF0175,1
OPMBNTF0197,1
OPMBNTF0281,1
OPMBNTF0325,1
OPMBNTF0394,1
OPMBNTF0402,1
OPMBNTF0509,1
OPMBNTF0519,1
OPMBNTF0521,1
OPMBNTF0543,1
OPMBNTF0545,1
OPMBNTF0546,1
OPMBNTF0548,1
OPMBNTF0598,1
OPMBNTF0667,1
OPMBNTF0677,1
OPMBNTF0701,1
OPMBNTFB0005,1
OPMBNTFB0008,1
OPMBNTFB0010,1
OPMBNTFB0014,1
OPMBNTFB0027,1
OPMBNTFB0077,1
OPMBNTFB0078,1
OPMBNTFB0101,1
OPMBNTFB0115,1
OPMBNTFB0194,1
OPMBNTFB0295,1
OPMBNTFB0471,1
QCNBB000298,1
QCNBB000538,1
QCNBB001110,1
