sku,image,small_image,thumbnail,gallery,
NEWMOB00086,/Acer-Liquid-Z630S-Black-&-Gold.png,/Acer-Liquid-Z630S-Black-&-Gold.png,/Acer-Liquid-Z630S-Black-&-Gold.png,Acer-Liquid-Z630S-Black-&-Gold.jpg;/Acer-Liquid-Z630S-Black-&-Gold-right.jpg;/Acer-Liquid-Z630S-Black-&-Gold-left.jpg,Acer-Liquid-Z630S-Black-&-Gold.jpg;/Acer-Liquid-Z630S-Black-&-Gold-right.jpg;/Acer-Liquid-Z630S-Black-&-Gold-left.jpg
OPMBNTF0175,/samsung-galaxy-on-next-black.png,/samsung-galaxy-on-next-black.png,/samsung-galaxy-on-next-black.png,samsung-galaxy-on-next-black.jpg;/samsung-galaxy-on-next-black-right.jpg;/samsung-galaxy-on-next-black-left.jpg,samsung-galaxy-on-next-black.jpg;/samsung-galaxy-on-next-black-right.jpg;/samsung-galaxy-on-next-black-left.jpg
OPMBNTF0165,/lenovo-vibe-k5-gold.jpg,/lenovo-vibe-k5-gold.jpg,/lenovo-vibe-k5-gold.jpg,lenovo-vibe-k5-gold.jpg;/lenovo-vibe-k5-gold-right.jpg;/lenovo-vibe-k5-gold-left.jpg,lenovo-vibe-k5-gold.jpg;/lenovo-vibe-k5-gold-right.jpg;/lenovo-vibe-k5-gold-left.jpg
OPMBNTF0066,/redmi-note-4-gold.jpg,/redmi-note-4-gold.jpg,/redmi-note-4-gold.jpg,redmi-note-4-gold.jpg;/redmi-note-4-gold-right.jpg;/redmi-note-4-gold-left.jpg,redmi-note-4-gold.jpg;/redmi-note-4-gold-right.jpg;/redmi-note-4-gold-left.jpg
OPMBNTF0341,/apple-iPhone-5c-blue.png,/apple-iPhone-5c-blue.png,/apple-iPhone-5c-blue.png,apple-iPhone-5c-blue.jpg;/apple-iPhone-5c-blue-right.jpg;/apple-iPhone-5c-blue-left.jpg,apple-iPhone-5c-blue.jpg;/apple-iPhone-5c-blue-right.jpg;/apple-iPhone-5c-blue-left.jpg
ASMBA000077,/motorola-e-2nd-gen.png,/motorola-e-2nd-gen.png,/motorola-e-2nd-gen.png,motorola-e-2nd-gen.jpg;/motorola-e-2nd-gen-right.jpg;/motorola-e-2nd-gen-left.jpg,motorola-e-2nd-gen.jpg;/motorola-e-2nd-gen-right.jpg;/motorola-e-2nd-gen-left.jpg
ASMBA000099,/moto-g-3rd-generation.jpg,/moto-g-3rd-generation.jpg,/moto-g-3rd-generation.jpg,moto-g-3rd-generation.jpg;/moto-g-3rd-generation-right.jpg;/moto-g-3rd-generation-left.jpg,moto-g-3rd-generation.jpg;/moto-g-3rd-generation-right.jpg;/moto-g-3rd-generation-left.jpg
ASMBA000080,/one-plus-one.jpg,/one-plus-one.jpg,/one-plus-one.jpg,one-plus-one.jpg;/one-plus-one-right.jpg;/one-plus-one-left.jpg,one-plus-one.jpg;/one-plus-one-right.jpg;/one-plus-one-left.jpg
ASMBA000075,/asus-zenfone-5.jpg,/asus-zenfone-5.jpg,/asus-zenfone-5.jpg,asus-zenfone-5.jpg;/asus-zenfone-5-right.jpg;/asus-zenfone-5-left.jpg,asus-zenfone-5.jpg;/asus-zenfone-5-right.jpg;/asus-zenfone-5-left.jpg
ASMBA000089,/xiaomi-mi-note.jpg,/xiaomi-mi-note.jpg,/xiaomi-mi-note.jpg,xiaomi-mi-note.jpg;/xiaomi-mi-note-right.jpg;/xiaomi-mi-note-left.jpg,xiaomi-mi-note.jpg;/xiaomi-mi-note-right.jpg;/xiaomi-mi-note-left.jpg
ASMBA000087,/sony-experia-s.png,/sony-experia-s.png,/sony-experia-s.png,sony-experia-s.jpg;/sony-experia-s-right.jpg;/sony-experia-s-left.jpg,sony-experia-s.jpg;/sony-experia-s-right.jpg;/sony-experia-s-left.jpg
ASMBA000106,/moto-g-3rd-generation.jpg,/moto-g-3rd-generation.jpg,/moto-g-3rd-generation.jpg,moto-g-3rd-generation.jpg;/moto-g-3rd-generation-right.jpg;/moto-g-3rd-generation-left.jpg,moto-g-3rd-generation.jpg;/moto-g-3rd-generation-right.jpg;/moto-g-3rd-generation-left.jpg
ASMBA000076,/motorola-moto-e-1st-Gen.jpg,/motorola-moto-e-1st-Gen.jpg,/motorola-moto-e-1st-Gen.jpg,motorola-moto-e-1st-Gen.jpg;/motorola-moto-e-1st-Gen-right.jpg;/motorola-moto-e-1st-Gen-left.jpg,motorola-moto-e-1st-Gen.jpg;/motorola-moto-e-1st-Gen-right.jpg;/motorola-moto-e-1st-Gen-left.jpg
ASMBA000079,/samsung-galaxy-on5.png,/samsung-galaxy-on5.png,/samsung-galaxy-on5.png,samsung-galaxy-on5.jpg;/samsung-galaxy-on5-right.jpg;/samsung-galaxy-on5-left.jpg,samsung-galaxy-on5.jpg;/samsung-galaxy-on5-right.jpg;/samsung-galaxy-on5-left.jpg
