sku,category_ids
ASMBA000024,"4,112"
ASMBA000017,"4,112"
ASMBA000001,"4,112"
ASMBA000014,"4,112"
ASMBA000056,"4,112"
ASMBA000057,"4,112"
ASMBA000058,"4,112"
ASMBA000059,"4,112"
ASMBA000060,"4,112"
ASMBA000061,"4,112"
ASMBA000062,"4,112"
ASMBA000063,"4,112"
ASMBA000064,"4,112"
ASMBA000065,"4,112"
ASMBA000066,"4,112"
ASMBA000068,"4,112"
ASMBA000069,"4,112"
ASMBA000070,"4,112"
ASMBA000071,"4,112"
ASMBA000072,"4,112"
ASMBA000073,"4,112"
ASMBA000074,"4,112"
ASMBA000055,"4,112"
ASMBA000094,"4,112"
ASMBA000104,"4,112"
ASMBA000103,"4,112"
ASMBA000082,"4,112"
ASMBA000097,"4,112"
ASMBA000096,"4,112"
ASMBA000102,"4,112"
ASMBA000091,"4,112"
ASMBA000101,"4,112"
ASMBA000090,"4,112"
ASMBA000083,"4,112"
ASMBA000077,"4,112"
ASMBA000099,"4,112"
ASMBA000080,"4,112"
ASMBA000075,"4,112"
ASMBA000089,"4,112"
ASMBA000087,"4,112"
ASMBA000106,"4,112"
ASMBA000078,"4,112"
ASMBA000076,"4,112"
ASMBA000079,"4,112"
ASMBA000085,"4,112"
ASMBA000095,"4,112"
ASMBA000098,"4,112"
ASMBA000092,"4,112"
ASMBA000086,"4,112"
ASMBA000093,"4,112"
ASMBA000105,"4,112"
ASMBA000084,"4,112"
ASMBA000100,"4,112"
ASMBA000081,"4,112"
ASMBA000088,"4,112"
