sku,price,mapped_status
SYGNBQB0357,0.00,No
SYGNBQB0358,0.00,No
SYGNBQB0359,0.00,No
SYGNBQB0360,0.00,No
SYGNBQB0361,0.00,No
SYGNBQB0362,0.00,No
SYGNBQB0363,0.00,No
SYGNBQB0364,0.00,No
SYGNBQB0365,0.00,No
SYGNBQB0366,0.00,No
SYGNBQB0367,0.00,No
SYGNBQB0368,0.00,No
SYGNBQB0369,0.00,No
SYGNBQB0370,0.00,No
OPNBNTF0192,0.00,No
QCNBB000178,0.00,No
QCNBB000365,0.00,No
OPNBNTF0091,0.00,No
QCNBB000435,0.00,No
QCNBB000088,0.00,No
QCPNBK00244,0.00,No
OPNBNTF0193,0.00,No
OPNBNTF0119,0.00,No
OPNBNTF0135,0.00,No
OPNBNTF0062,0.00,No
REFDE00113,0.00,No
REFDE00041,0.00,No
OPNBNTF0194,0.00,No
OPNBNTF0086,0.00,No
OPNBNTF0044,0.00,No
REFDE00117,0.00,No
REFDE00079,0.00,No
OPNBNTF0195,0.00,No
OPNBNTF0196,0.00,No
QCPNBK00247,0.00,No
QCNBB000057,0.00,No
QCNBB000327,0.00,No
QCNBB000154,0.00,No
QCPNBK00248,0.00,No
OPNBCX00005,0.00,No
QCNBB000566,0.00,No
OPNBNTF0197,0.00,No
OPNBNTF0089,0.00,No
SYGNBQB0371,0.00,No
SYGNBQB0372,0.00,No
SYGNBQB0373,0.00,No
SYGNBQB0374,0.00,No
SYGNBQB0375,0.00,No
SYGNBQB0376,0.00,No
SYGNBQB0377,0.00,No
SYGNBQB0378,0.00,No
SYGNBQB0379,0.00,No
SYGNBQB0380,0.00,No
SYGNBQB0381,0.00,No
SYGNBQB0382,0.00,No
SYGNBQB0383,0.00,No
SYGNBQB0384,0.00,No
SYGNBQB0385,0.00,No
SYGNBQB0386,0.00,No
SYGNBQB0387,0.00,No
SYGNBQB0388,0.00,No
SYGNBQB0389,0.00,No
SYGNBQB0390,0.00,No
SYGNBQB0391,0.00,No
SYGNBQB0392,0.00,No
SYGNBQB0393,0.00,No
SYGNBQB0394,0.00,No
SYGNBQB0395,0.00,No
SYGNBQB0396,0.00,No
SYGNBQB0397,0.00,No
SYGNBQB0398,0.00,No
SYGNBQB0399,0.00,No
SYGNBQB0400,0.00,No
SYGNBQB0401,0.00,No
SYGNBQB0402,0.00,No
SYGNBQB0403,0.00,No
SYGNBQB0404,0.00,No
SYGNBQB0405,0.00,No
SYGNBQB0406,0.00,No
SYGNBQB0407,0.00,No
SYGNBQB0408,0.00,No
SYGNBQB0409,0.00,No
SYGNBQB0410,0.00,No
SYGNBQB0411,0.00,No
SYGNBQB0412,0.00,No
SYGNBQB0413,0.00,No
SYGNBQB0414,0.00,No
SYGNBQB0415,0.00,No
OPNBNTF0198,0.00,No
OPNBNTF0199,0.00,No
SYGNBQB0416,0.00,No
SYGNBQB0417,0.00,No
SYGNBQB0418,0.00,No
SYGNBQB0419,0.00,No
SYGNBQB0420,0.00,No
SYGNBQB0421,0.00,No
SYGNBQB0422,0.00,No
SYGNBQB0423,0.00,No
SYGNBQB0424,0.00,No
SYGNBQB0425,0.00,No
OPNBNTF0200,0.00,No
SYGNBQB0426,0.00,No
