sku,status
NEWMOB00004,1
NEWMOB00010,1
NEWMOB00011,1
NEWMOB00013,1
NEWMOB00016,1
NEWMOB00017,1
NEWMOB00018,1
NEWMOB00023,1
NEWMOB00025,1
NEWMOB00026,1
NEWMOB00028,1
NEWMOB00029,1
NEWMOB00030,1
NEWMOB00031,1
NEWMOB00035,1
NEWMOB00036,1
NEWMOB00038,1
NEWMOB00039,1
NEWMOB00040,1
NEWMOB00042,1
NEWMOB00044,1
NEWMOB00048,1
NEWMOB00053,1
NEWMOB00054,1
NEWMOB00055,1
NEWMOB00056,1
NEWMOB00058,1
NEWMOB00059,1
NEWMOB00060,1
NEWMOB00061,1
NEWMOB00062,1
NEWMOB00064,1
NEWMOB00065,1
NEWMOB00068,1
NEWMOB00069,1
NEWMOB00070,1
NEWMOB00071,1
NEWMOB00072,1
NEWMOB00073,1
NEWMOB00074,1
NEWMOB00075,1
NEWMOB00076,1
NEWMOB00081,1
NEWMOB00083,1
NEWMOB00084,1
NEWMOB00085,1
NEWMOB00087,1
NEWMOB00088,1
NEWMOB00089,1
NEWMOB00092,1
NEWMOB00094,1
NEWMOB00101,1
NEWMOB00102,1
NEWMOB00103,1
NEWMOB00110,1
NEWMOB00113,1
NEWMOB00116,1
NEWMOB00122,1
NEWMOB00125,1
NEWMOB00126,1
NEWMOB00129,1
NEWMOB00134,1
NEWMOB00135,1
NEWMOB00137,1
NEWMOB00151,1
NEWMOB00159,1
NEWMOB00172,1
NEWMOB00174,1
NEWMOB00175,1
NEWMOB00176,1
NEWMOB00180,1
NEWMOB00181,1
NEWMOB00182,1
NEWMOB00187,1
NEWMOB00203,1
NEWMOB00214,1
NEWMOB00220,1
NEWMOB00231,1
NEWMOB00237,1
NEWMOB00238,1
NEWMOB00241,1
NEWMOB00245,1
NEWMOB00250,1
NEWMOB00251,1
NEWMOB00252,1
NEWMOB00253,1
NEWMOB00255,1
NEWMOB00256,1
NEWMOB00257,1
NEWMOB00258,1
NEWMOB00264,1
NEWMOB00266,1
NEWMOB00270,1
NEWMOB00282,1
NEWMOB00287,1
NEWMOB00292,1
NEWMOB00294,1
NEWMOB00297,1
NEWMOB00321,1
NEWMOB00323,1
NEWMOB00325,1
NEWMOB00332,1
NEWMOB00335,1
NEWMOB00347,1
NEWMOB00348,1
NEWMOB00350,1
NEWMOB00351,1
NEWMOB00352,1
NEWMOB00356,1
NEWMOB00359,1
NEWMOB00360,1
NEWMOB00361,1
NEWMOB00362,1
NEWMOB00363,1
NEWMOB00364,1
NEWMOB00368,1
NEWMOB00370,1
NEWMOB00371,1
NEWMOB00376,1
NEWMOB00378,1
NEWMOB00379,1
NEWMOB00381,1
NEWMOB00382,1
NEWMOB00384,1
NEWMOB00386,1
NEWMOB00388,1
NEWMOB00389,1
NEWMOB00391,1
NEWMOB00396,1
NEWMOB00397,1
NEWMOB00411,1
NEWMOB00415,1
NEWMOB00416,1
NEWMOB00417,1
NEWMOB00418,1
NEWMOB00421,1
NEWMOB00426,1
NEWMOB00428,1
NEWMOB00455,1
NEWMOB00456,1
NEWMOB00457,1
