sku,status
NEWMOB00004,2
NEWMOB00010,2
NEWMOB00011,2
NEWMOB00013,2
NEWMOB00016,2
NEWMOB00017,2
NEWMOB00018,2
NEWMOB00023,2
NEWMOB00025,2
NEWMOB00026,2
NEWMOB00028,2
NEWMOB00029,2
NEWMOB00030,2
NEWMOB00031,2
NEWMOB00035,2
NEWMOB00036,2
NEWMOB00038,2
NEWMOB00039,2
NEWMOB00040,2
NEWMOB00042,2
NEWMOB00044,2
NEWMOB00048,2
NEWMOB00053,2
NEWMOB00054,2
NEWMOB00055,2
NEWMOB00056,2
NEWMOB00058,2
NEWMOB00059,2
NEWMOB00060,2
NEWMOB00061,2
NEWMOB00062,2
NEWMOB00064,2
NEWMOB00065,2
NEWMOB00068,2
NEWMOB00069,2
NEWMOB00070,2
NEWMOB00071,2
NEWMOB00072,2
NEWMOB00073,2
NEWMOB00074,2
NEWMOB00075,2
NEWMOB00076,2
NEWMOB00081,2
NEWMOB00083,2
NEWMOB00084,2
NEWMOB00085,2
NEWMOB00087,2
NEWMOB00088,2
NEWMOB00089,2
NEWMOB00092,2
NEWMOB00094,2
NEWMOB00101,2
NEWMOB00102,2
NEWMOB00103,2
NEWMOB00110,2
NEWMOB00113,2
NEWMOB00116,2
NEWMOB00122,2
NEWMOB00125,2
NEWMOB00126,2
NEWMOB00129,2
NEWMOB00134,2
NEWMOB00135,2
NEWMOB00137,2
NEWMOB00151,2
NEWMOB00159,2
NEWMOB00172,2
NEWMOB00174,2
NEWMOB00175,2
NEWMOB00176,2
NEWMOB00180,2
NEWMOB00181,2
NEWMOB00182,2
NEWMOB00187,2
NEWMOB00203,2
NEWMOB00214,2
NEWMOB00220,2
NEWMOB00231,2
NEWMOB00237,2
NEWMOB00238,2
NEWMOB00241,2
NEWMOB00245,2
NEWMOB00250,2
NEWMOB00251,2
NEWMOB00252,2
NEWMOB00253,2
NEWMOB00255,2
NEWMOB00256,2
NEWMOB00257,2
NEWMOB00258,2
NEWMOB00264,2
NEWMOB00266,2
NEWMOB00270,2
NEWMOB00282,2
NEWMOB00287,2
NEWMOB00292,2
NEWMOB00294,2
NEWMOB00297,2
NEWMOB00321,2
NEWMOB00323,2
NEWMOB00325,2
NEWMOB00332,2
NEWMOB00335,2
NEWMOB00347,2
NEWMOB00348,2
NEWMOB00350,2
NEWMOB00351,2
NEWMOB00352,2
NEWMOB00356,2
NEWMOB00359,2
NEWMOB00360,2
NEWMOB00361,2
NEWMOB00362,2
NEWMOB00363,2
NEWMOB00364,2
NEWMOB00368,2
NEWMOB00370,2
NEWMOB00371,2
NEWMOB00376,2
NEWMOB00378,2
NEWMOB00379,2
NEWMOB00381,2
NEWMOB00382,2
NEWMOB00384,2
NEWMOB00386,2
NEWMOB00388,2
NEWMOB00389,2
NEWMOB00391,2
NEWMOB00396,2
NEWMOB00397,2
NEWMOB00411,2
NEWMOB00415,2
NEWMOB00416,2
NEWMOB00417,2
NEWMOB00418,2
NEWMOB00421,2
NEWMOB00426,2
NEWMOB00428,2
NEWMOB00455,2
NEWMOB00456,2
NEWMOB00457,2
