store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,battery_power,display_resolution,warrenty,price,weight,visibility,tax_class_id,brands,expandable_storage_capacity,sim_type,camera,mapped_status,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,touch_screen_type,display_color,internet_features,edge,gprs,usb_connectivity,tethering,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,gr_ean,mobile_4g,laptop_remark,status,processor,display_size,android,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,product_category_type
admin,base,Mobiles,simple,"4,144",OPMBNTFB0143,"Acer Z630S (Black& Gold, 32GB )(B Grade)",/a/c/acer-z630s-black_-gold.jpg,/a/c/acer-z630s-black_-gold.jpg,/a/c/acer-z630s-black_-gold.jpg,/ACER-LIQUID-E700-Red2.jpg,,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Acer,,"Dual, LTE + LTE",,No,<ul><li>Dual LTE+LTE</li><li>8 Megapixel</li><li>5.5 Inches</li><li>Android v5.1.1 (Lollipop)</li><li>32 GB</li></ul>,<ul><li>Dual LTE+LTE</li><li>8 Megapixel</li><li>5.5 Inches</li><li>Android v5.1.1 (Lollipop)</li><li>32 GB</li></ul>,<ul><li>Dual LTE+LTE</li><li>8 Megapixel</li><li>5.5 Inches</li><li>Android v5.1.1 (Lollipop)</li><li>32 GB</li></ul>,0,0,"Acer Z630S (Black& Gold, 32GB )",simple,Acer Z630S,0.2,,8 Megapixel,,,Yes,,,,,,"Yes, micro USB",,3.5 mm,,,No,WiFi 802.11 b/g/n,,Yes,,,,,,Black & Gold,Yes,,3 GB,4000 mAh,No,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"1.3 GHz, Octa Core",13.97 cm (5.5 Inches),,8 Megapixel,32 GB,Smartphone,,6 Months Warranty.,Dual sim,,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0085,"Asus Zenfone Selfie ZD551KL 3 GB (Gold, 16 GB) (B Grade)",/a/s/asus-zenfone-selfie-3gb-ram-gold-32gb-1.jpg,/a/s/asus-zenfone-selfie-3gb-ram-gold-32gb-1.jpg,/a/s/asus-zenfone-selfie-3gb-ram-gold-32gb-1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Asus,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Asus Zenfone Selfie ZD551KL 3 GB (Gold, 16 GB) ",simple,Asus Zenfone Selfie ZD551KL-6G509IN,0.2,,13 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,Gold,Yes,,3 GB,3000 mAh,,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"1.7 GHz, Octa Core",13.97 cm (5.5 Inches),,13 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0325,"Mi 4 (White, 64 GB)(B Grade)",/m/i/mi-4-white.jpg,/m/i/mi-4-white.jpg,/m/i/mi-4-white.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Mi,,,,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Mi 4 (White, 64 GB)",simple,Mi 4 MZB4240IN,0.2,,8.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,White,Yes,,3 GB,3080 mAh,,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"2.5 GHz, Quad Core",12.7 cm (5.0 Inches),,13 Megapixel,64 GB,Smartphone,,6 Months Warranty.,Single sim,Android (KitKat),OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0469,"Moto X Play (White, 32 GB)(B Grade)",/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2_1.jpg,/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2_1.jpg,/m/o/moto-x-play-with-turbo-charger-white-16gb-1_2_1.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Motorola,,,,No,"<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>","<ul><li>Dual, LTE + LTE</li><li>13 Megapixel</li><li>5.0 Inches</li><li>Android (Lollipop)</li><li>32 GB</li></ul>",0,0,"Moto X Play (White, 32 GB)",simple,Moto X Play(With Turbo Charger),0.2,,5.0 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,,,,,,,White,Yes,,2 GB,3630 mAh,,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"1.7 GHz, Octa Core",13.97 cm (5.5 Inches),,21 Megapixel,32 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (Lollipop),OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0521,Samsung Z1 Tizen (Gold)(B Grade),/s/a/samsung-galaxy-z1-z130h-black1_1.jpg,/s/a/samsung-galaxy-z1-z130h-black1_1.jpg,/s/a/samsung-galaxy-z1-z130h-black1_1.jpg,"/Samsung-Z1-Z130H-Black2.jpg,/Samsung-Z1-Z130H-Black3.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Samsung Z1 Tizen (Gold),simple,Z130H,0.2,,,Yes,,Yes,,,,,,USB 2.0,,3.5 mm,,,No,"Yes, 802.11 b/g/n",,,Up to 8 h,,,,120.4  x  63.2  x  9.7 mm,Black,Yes,,768 MB,1500 mAh,Yes,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"1.2 Ghz, Dual Core",10.16 cm (4.0 Inches),,3.1 Megapixel,4 GB,Smartphone,,6 Months Warranty.,Dual sim,"Tizen OS, v2.3",OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0451,"Samsung Galaxy S3 Neo ( Blue, 16 GB)(B Grade)",/s/a/samsung-l9300-16gb-s3-black1_2_2.jpg,/s/a/samsung-l9300-16gb-s3-black1_2_2.jpg,/s/a/samsung-l9300-16gb-s3-black1_2_2.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Samsung,,"Dual, GSM + GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Samsung Galaxy S3 Neo ( Blue, 16 GB)",simple,Galaxy S3 Neo GT-I9300I,0.2,Micro Sim,1.9 Megapixel,"Yes, HD",,Yes,,,Email,,Yes,Yes microUSB v2.0,Wi-Fi hotspot,3.5 mm,,,No,Yes 802.11 a/b/g/n,,Yes 21 Mbps HSPA+,Upto 14 hrs (3G),Upto 330 hrs (3G),,,70.6 x 136.6 x 8.6 mm,Black,"Yes v4, Supported Profiles (MAP, HID, PBAP, HSP, HFP, DI, A2DP, AVRCP, OPP)",,1.5 GB,2100 mAh,Yes,,,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"1.2, Quad Core",12.19 cm (4.8 Inches),,8.0 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Dual sim,Android (KitKat),OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0108,Apple iPhone 6S Plus (SPACE GRAY 16 GB) (B Grade),/a/p/apple-iphone-6s-plus-gold1_3.jpg,/a/p/apple-iphone-6s-plus-gold1_3.jpg,/a/p/apple-iphone-6s-plus-gold1_3.jpg,"/apple-iphone-6-plus-silver2.jpg,/apple-iphone-6-plus-silver3.jpg,/apple-iphone-6-plus-silver4.jpg,/apple-iphone-6-plus-silver5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Apple,,"Single, LTE",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Apple iPhone 6S Plus (SPACE GRAY 16 GB) ,simple,iPhone 6S Plus,0.2,Nano Sim,5.0 Megapixel,"Yes, Full HD",,Yes,,,Email,Yes,Yes,Yes,,3.5 mm,Safari,"A-GPS, GLONASS, with Google Maps",Yes,"Yes, 802.11 a/b/g/n/ac",,Yes,14 hrs (3G),250 hrs (2G),"GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38/39/40/41","Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool",67.1x138.3x7.1 mm, Gold,"Yes, v4.2","Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",2 GB,1715 mAh,,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"1.84 GHz + A9 Chip with 64-bit Architecture and M9 Motion Co-processor, Dual Core",11.94 cm (4.7 Inches),,12 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Single sim,iOS v9,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0122,"Apple iPhone 6S Plus (Gold , 16 GB) (B Grade)",/a/p/apple-iphone-6s-plus-gold1_3_2.jpg,/a/p/apple-iphone-6s-plus-gold1_3_2.jpg,/a/p/apple-iphone-6s-plus-gold1_3_2.jpg,"/apple-iphone-6-plus-silver2.jpg,/apple-iphone-6-plus-silver3.jpg,/apple-iphone-6-plus-silver4.jpg,/apple-iphone-6-plus-silver5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Apple,,"Single, LTE",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Apple iPhone 6S Plus (Gold , 16 GB) ",simple,iPhone 6S Plus,0.2,Nano Sim,5.0 Megapixel,"Yes, Full HD",,Yes,,,Email,Yes,Yes,Yes,,3.5 mm,Safari,"A-GPS, GLONASS, with Google Maps",Yes,"Yes, 802.11 a/b/g/n/ac",,Yes,14 hrs (3G),250 hrs (2G),"GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38/39/40/41","Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool",67.1x138.3x7.1 mm, Gold,"Yes, v4.2","Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",2 GB,1715 mAh,,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,"1.84 GHz + A9 Chip with 64-bit Architecture and M9 Motion Co-processor, Dual Core",13.97 cm (5.5 Inches),,12 Megapixel,16 GB,Smartphone,,6 Months Warranty.,Single sim,iOS v9,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0569,"Moto Z  (White, 64 GB)  (4 GB RAM)(B Grade)",/m/o/moto-z-white.jpg,/m/o/moto-z-white.jpg,/m/o/moto-z-white.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Motorola,,,,No,<ul></ul>,<ul></ul>,<ul><li>4 GB RAM</li><li>13 Megapixel</li><li>5 Megapixel</li><li>Android 6.0.1 Marshmallow</li><li>64 GB</li></ul>,0,0,"Moto Z  (White, 64 GB)  (4 GB RAM)",simple,Moto Z ,0.2,,5 Megapixel,Yes,,Yes,,,,,,Yes,,3.5 mm,,,,Yes,,Yes,,,,,,Black,Yes,,4 GB,2600  mAh,,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,,13.97 cm (5.5 Inches),,13 Megapixel,64 GB,Smartphone,,6 Months Warranty.,Dual,,OPMOBNTF-B
admin,base,Mobiles,simple,"4,144",OPMBNTFB0550,"Apple iPhone 6 Plus (Gold, 16 GB)(B Grade)",/a/p/apple-iphone-6-plus-_gold_-16-gb_.jpg,/a/p/apple-iphone-6-plus-_gold_-16-gb_.jpg,/a/p/apple-iphone-6-plus-_gold_-16-gb_.jpg,"/apple-iphone-6-plus-gold2.jpg,/apple-iphone-6-plus-gold3.jpg,/apple-iphone-6-plus-gold4.jpg,/apple-iphone-6-plus-gold5.jpg",,,6 Months Warranty.,0.00,0.2,"Catalog, Search",GST12,Apple,,"Single, GSM",,No,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Apple iPhone 6 Plus (Gold, 16 GB)",simple,iPhone 6 Plus,0.2,Nano Sim,1.2 Megapixel,"Yes, Full HD",,Yes,,,Email,,Yes,Yes,Yes,3.5 mm,Safari,,N/A,Yes 802.11 b/g/n,N/A,Yes,24 hrs (3G),384 hrs (2G),,,77.8 x 158.1 x 7.1 mm,Gold,"Yes, v4.0",,1 GB,Lithium-ion,N/A,,Yes,Open Box without accessories ( boxes can be damaged ) . Open Box with dents / scratches . No returns / ASIS conditions . Warranty – 6 months . Price – will be around 10% lesser than Open Box Grade A what we are selling currently.,2,A8 Chip with 64-bit Architecture and M8 Motion Co-processor,13.97 cm (5.5 Inches),,8.0 Megapixel,16 GB,Smartphone,IPS LCD,6 Months Warranty.,Single sim,iOS 8,OPMOBNTF-B
