sku,status
QCPNBK00243,2
QCNBB000001,2
QCNBB000003,2
QCNBB000006,2
QCNBB000011,2
QCNBB000012,2
QCNBB000016,2
QCNBB000029,2
QCNBB000036,2
QCNBB000038,2
QCNBB000039,2
QCNBB000052,2
QCNBB000055,2
QCNBB000064,2
QCNBB000070,2
QCNBB000074,2
QCNBB000082,2
QCNBB000084,2
QCNBB000085,2
QCNBB000086,2
QCNBB000091,2
QCNBB000095,2
QCNBB000097,2
QCNBB000099,2
QCNBB000100,2
QCNBB000107,2
QCNBB000114,2
QCNBB000115,2
QCNBB000122,2
QCNBB000125,2
QCNBB000131,2
QCNBB000136,2
QCNBB000140,2
QCNBB000145,2
QCNBB000146,2
QCNBB000147,2
QCNBB000160,2
QCNBB000164,2
QCNBB000169,2
QCNBB000170,2
QCNBB000175,2
QCNBB000182,2
QCNBB000187,2
QCNBB000194,2
QCNBB000195,2
QCNBB000201,2
QCNBB000205,2
QCNBB000209,2
QCNBB000212,2
QCNBB000215,2
QCNBB000220,2
QCNBB000225,2
QCNBB000235,2
QCNBB000263,2
QCNBB000264,2
QCNBB000266,2
QCNBB000269,2
QCNBB000270,2
QCNBB000272,2
QCNBB000273,2
QCNBB000276,2
QCNBB000277,2
QCNBB000278,2
QCNBB000279,2
QCNBB000280,2
QCNBB000281,2
QCNBB000282,2
QCNBB000283,2
QCNBB000285,2
QCNBB000286,2
QCNBB000287,2
QCNBB000288,2
QCNBB000289,2
QCNBB000290,2
QCNBB000291,2
QCNBB000292,2
QCNBB000293,2
QCNBB000294,2
QCNBB000295,2
QCNBB000296,2
QCNBB000297,2
QCNBB000298,2
QCNBB000299,2
QCNBB000300,2
QCNBB000301,2
QCNBB000302,2
QCNBB000303,2
QCNBB000304,2
QCNBB000305,2
QCNBB000306,2
QCNBB000307,2
QCNBB000308,2
QCNBB000309,2
QCNBB000310,2
QCNBB000311,2
QCNBB000312,2
QCNBB000313,2
QCNBB000314,2
QCNBB000315,2
QCNBB000316,2
QCNBB000317,2
QCNBB000318,2
QCNBB000319,2
QCNBB000320,2
QCNBB000321,2
QCNBB000322,2
QCNBB000323,2
QCNBB000328,2
QCNBB000331,2
QCNBB000333,2
QCNBB000339,2
QCNBB000341,2
QCNBB000342,2
QCNBB000346,2
QCNBB000347,2
QCNBB000348,2
QCNBB000350,2
QCNBB000351,2
QCNBB000352,2
QCNBB000354,2
QCNBB000355,2
QCNBB000356,2
QCNBB000357,2
QCNBB000358,2
QCNBB000359,2
QCNBB000360,2
QCNBB000361,2
QCNBB000362,2
QCNBB000363,2
QCNBB000364,2
QCNBB000366,2
QCNBB000367,2
QCNBB000368,2
QCNBB000369,2
QCNBB000370,2
QCNBB000372,2
QCNBB000373,2
QCNBB000374,2
QCNBB000375,2
QCNBB000376,2
QCNBB000377,2
QCNBB000378,2
QCNBB000379,2
QCNBB000380,2
QCNBB000381,2
QCNBB000382,2
QCNBB000384,2
QCNBB000385,2
QCNBB000386,2
QCNBB000387,2
QCNBB000388,2
QCNBB000390,2
QCNBB000391,2
QCNBB000392,2
QCNBB000393,2
QCNBB000395,2
QCNBB000396,2
QCNBB000397,2
QCNBB000398,2
QCNBB000399,2
QCNBB000400,2
QCNBB000401,2
QCNBB000402,2
QCNBB000403,2
QCNBB000404,2
QCNBB000405,2
QCNBB000406,2
QCNBB000408,2
QCNBB000409,2
QCNBB000410,2
QCNBB000411,2
QCNBB000412,2
QCNBB000413,2
QCNBB000414,2
QCNBB000415,2
QCNBB000416,2
QCNBB000417,2
QCNBB000418,2
QCNBB000420,2
QCNBB000421,2
QCNBB000422,2
QCNBB000423,2
QCNBB000424,2
QCNBB000425,2
QCNBB000426,2
QCNBB000427,2
QCNBB000432,2
QCNBB000433,2
QCNBB000434,2
QCNBB000436,2
QCNBB000437,2
QCNBB000438,2
QCNBB000500,2
QCNBB000501,2
QCNBB000502,2
QCNBB000503,2
QCNBB000504,2
QCNBB000505,2
QCNBB000506,2
QCNBB000507,2
QCNBB000508,2
QCNBB000509,2
QCNBB000510,2
QCNBB000511,2
QCNBB000512,2
QCNBB000513,2
QCNBB000514,2
QCNBB000515,2
QCNBB000516,2
QCNBB000517,2
QCNBB000518,2
QCNBB000519,2
QCNBB000520,2
QCNBB000523,2
QCNBB000524,2
QCNBB000525,2
QCNBB000530,2
QCNBB000531,2
QCNBB000537,2
QCNBB000538,2
QCNBB000539,2
QCNBB000542,2
QCNBB000543,2
QCNBB000545,2
QCNBB000546,2
QCNBB000547,2
QCNBB000548,2
QCNBB000549,2
QCNBB000550,2
QCNBB000551,2
QCNBB000553,2
QCNBB000556,2
QCNBB000557,2
QCNBB000559,2
QCNBB000562,2
QCNBB000563,2
QCNBB000565,2
QCNBB000568,2
QCNBB000571,2
QCNBB000572,2
QCNBB000575,2
QCNBB000576,2
QCNBB000577,2
QCNBB000580,2
QCNBB000582,2
QCNBB000584,2
QCNBB000586,2
QCNBB000587,2
QCNBB000589,2
QCNBB000590,2
QCNBB000591,2
QCNBB000592,2
QCNBB000598,2
QCNBB000601,2
QCNBB000602,2
QCNBB000603,2
QCNBB000604,2
QCNBB000605,2
QCNBB000606,2
QCNBB000607,2
QCNBB000608,2
QCNBB000612,2
QCNBB000613,2
QCNBB000614,2
QCNBB000615,2
QCNBB000616,2
QCNBB000618,2
QCNBB000619,2
QCNBB000620,2
QCNBB000621,2
QCNBB000626,2
QCNBB000627,2
QCNBB000629,2
QCNBB000630,2
QCNBB000631,2
QCNBB000637,2
QCNBB000639,2
QCNBB000642,2
QCNBB000644,2
QCNBB000647,2
QCNBB000648,2
QCNBB000649,2
QCNBB000650,2
QCNBB000651,2
QCNBB000652,2
QCNBB000653,2
QCNBB000654,2
QCNBB000113,2
QCNBB000150,2
QCNBB000151,2
QCNBB000161,2
QCNBB000180,2
QCNBB000190,2
QCNBB000324,2
QCNBB000325,2
QCNBB000326,2
QCNBB000329,2
QCNBB000330,2
QCNBB000332,2
QCNBB000334,2
QCNBB000338,2
QCNBB000343,2
QCNBB000344,2
QCNBB000345,2
QCNBB000394,2
QCNBB000407,2
QCNBB000419,2
QCNBB000657,2
QCNBB000662,2
QCNBB000663,2
QCNBB000664,2
QCNBB000672,2
QCNBB000673,2
QCNBB000674,2
QCNBB000675,2
QCNBB000702,2
QCNBB000703,2
QCNBB000704,2
QCNBB000705,2
QCNBB000706,2
QCNBB000707,2
QCNBB000708,2
QCNBB000709,2
QCNBB000710,2
QCNBB000713,2
QCNBB000714,2
QCNBB000715,2
QCNBB000717,2
QCNBB000719,2
QCNBB000722,2
QCNBB000723,2
QCNBB000724,2
QCNBB000725,2
QCNBB000726,2
QCNBB000727,2
QCNBB000728,2
QCNBB000729,2
QCNBB000730,2
QCNBB000734,2
QCNBB000736,2
QCNBB000737,2
QCNBB000738,2
QCNBB000739,2
QCNBB000740,2
QCNBB000743,2
QCNBB000744,2
QCNBB000745,2
QCNBB000748,2
QCNBB000749,2
QCNBB000750,2
QCNBB000751,2
QCNBB000752,2
QCNBB000753,2
QCNBB000755,2
QCNBB000757,2
QCNBB000758,2
QCNBB000761,2
QCNBB000762,2
QCNBB000763,2
QCNBB000764,2
QCNBB000645,2
QCNBB000716,2
QCNBB000720,2
QCNBB000721,2
QCNBB000735,2
QCNBB000756,2
QCNBB000779,2
