sku,status
NEWNBK00050,2
REFDE00001,2
REFDE00002,2
REFDE00003,2
REFDE00004,2
REFDE00005,2
REFDE00006,2
REFDE00007,2
REFDE00008,2
REFDE00009,2
REFDE00010,2
REFDE00011,2
REFDE00013,2
REFDE00014,2
REFDE00015,2
REFDE00017,2
REFDE00018,2
REFDE00019,2
REFDE00027,2
REFDE00028,2
REFDE00029,2
REFDE00030,2
REFDE00031,2
REFDE00032,2
REFDE00033,2
REFDE00034,2
REFDE00036,2
REFDE00037,2
REFDE00040,2
REFDE00042,2
REFDE00043,2
REFDE00044,2
REFDE00047,2
REFDE00048,2
REFDE00051,2
REFDE00052,2
REFDE00053,2
REFDE00055,2
REFDE00056,2
REFDE00059,2
REFDE00067,2
REFDE00069,2
REFDE00071,2
REFDE00075,2
REFDE00080,2
REFDE00081,2
REFDE00083,2
REFDE00084,2
REFDE00086,2
REFDE00090,2
REFDE00091,2
REFDE00092,2
REFDE00095,2
REFDE00096,2
REFDE00097,2
REFDE00098,2
REFDE00099,2
REFDE00100,2
REFDE00101,2
REFDE00104,2
REFDE00106,2
REFDE00107,2
REFDE00108,2
REFDE00109,2
REFDE00110,2
REFDE00112,2
REFDE00114,2
REFDE00115,2
REFDE00116,2
REFDE00118,2
REFDE00119,2
REFDE00120,2
REFDE00121,2
REFDE00122,2
REFDE00124,2
REFDE00125,2
REFDE00126,2
REFDE00127,2
REFDE00128,2
REFDE00129,2
REFDE00132,2
REFDE00137,2
REFDE00139,2
REFDE00140,2
REFDE00141,2
REFDE00142,2
REFDE00143,2
REFDE00146,2
REFDE00147,2
REFDE00148,2
REFDE00150,2
REFDE00151,2
REFDE00152,2
REFDE00155,2
REFDE00157,2
REFDE00159,2
REFDE00161,2
REFDE00162,2
REFDE00165,2
REFDE00166,2
REFDE00168,2
REFDE00170,2
REFDE00174,2
REFDE00175,2
REFDE00179,2
REFDE00182,2
REFDE00184,2
REFDE00187,2
REFDE00190,2
REFDE00191,2
REFDE00192,2
REFDE00193,2
REFDE00194,2
REFDE00196,2
REFDE00197,2
REFDE00198,2
REFDE00199,2
REFDE00200,2
REFDE00201,2
REFDE00202,2
REFDE00203,2
REFDE00204,2
REFDE00205,2
REFDE00206,2
REFDE00208,2
REFDE00209,2
REFDE00210,2
REFDE00211,2
REFDE00212,2
REFDE00213,2
REFDE00214,2
REFDE00215,2
REFDE00216,2
REFDE00217,2
REFDE00218,2
REFDE00219,2
REFDE00221,2
REFDE00223,2
REFDE00224,2
REFDE00225,2
REFDE00226,2
