sku,price
QCNBB001908,0.00
QCNBB001909,0.00
QCNBB001910,0.00
QCNBB001911,0.00
QCNBB001912,0.00
QCNBB001913,0.00
QCNBB001914,0.00
OPNBNTF0201,0.00
QCNBB001915,0.00
SYGNBQB0428,0.00
QCNBB001916,0.00
QCNBB001917,0.00
QCNBB001918,0.00
QCNBB001919,0.00
QCNBB001920,0.00
SYGNBQB0429,0.00
QCNBB001921,0.00
QCNBB001922,0.00
QCNBB001923,0.00
QCNBB001924,0.00
QCNBB001925,0.00
SYGNBQB0430,0.00
SYGNBQB0431,0.00
SYGNBQB0432,0.00
OPNBNTF0202,0.00
OPNBNTF0203,0.00
OPNBNTF0204,0.00
OPNBNTF0205,0.00
OPNBNTF0206,0.00
OPNBNTF0207,0.00
OPNBNTF0208,0.00
OPNBNTF0209,0.00
SYGNBQB0433,0.00
SYGNBQB0434,0.00
SYGNBQB0435,0.00
QCNBB001926,0.00
QCNBB001927,0.00
QCNBB001928,0.00
OPNBNTF0210,0.00
QCNBB001929,0.00
OPNBNTF0211,0.00
SYGNBQB0436,0.00
SYGNBQB0437,0.00
OPNBNTF0212,0.00
OPNBNTF0213,0.00
OPNBNTF0214,0.00
QCNBB001930,0.00
OPNBNTF0215,0.00
QCNBB001931,0.00
QCNBB001932,0.00
QCNBB001933,0.00
QCNBB001934,0.00
QCNBB001935,0.00
OPNBNTF0216,0.00
OPNBNTF0217,0.00
OPNBNTF0218,0.00
OPNBNTF0219,0.00
OPNBNTF0220,0.00
SYGNBQB0438,0.00
SYGNBQB0439,0.00
SYGNBQB0440,0.00
SYGNBQB0441,0.00
SYGNBQB0442,0.00
SYGNBQB0443,0.00
SYGNBQB0444,0.00
SYGNBQB0445,0.00
SYGNBQB0446,0.00
SYGNBQB0447,0.00
SYGNBQB0448,0.00
SYGNBQB0449,0.00
SYGNBQB0450,0.00
SYGNBQB0451,0.00
SYGNBQB0452,0.00
SYGNBQB0453,0.00
SYGNBQB0454,0.00
SYGNBQB0455,0.00
SYGNBQB0456,0.00
SYGNBQB0457,0.00
SYGNBQB0458,0.00
SYGNBQB0459,0.00
SYGNBQB0460,0.00
SYGNBQB0461,0.00
SYGNBQB0462,0.00
SYGNBQB0463,0.00
SYGNBQB0464,0.00
SYGNBQB0465,0.00
SYGNBQB0466,0.00
SYGNBQB0467,0.00
SYGNBQB0468,0.00
SYGNBQB0469,0.00
SYGNBQB0470,0.00
SYGNBQB0471,0.00
SYGNBQB0472,0.00
SYGNBQB0473,0.00
SYGNBQB0474,0.00
SYGNBQB0475,0.00
SYGNBQB0476,0.00
SYGNBQB0477,0.00
SYGNBQB0478,0.00
