sku,image,small_image,thumbnail,gallery
OPMBNTFB0032,+/Yu-Yunicorn-YU5530-Silver-Rush.jpg,+/Yu-Yunicorn-YU5530-Silver-Rush.jpg,+/Yu-Yunicorn-YU5530-Silver-Rush.jpg,/Yu-Yunicorn-YU5530-Silver-Rush-right.jpg;/Yu-Yunicorn-YU5530-Silver-Rush-left.jpg
OPMBNTFB0036,+/Leeco-Le-Max-2-Rose-Gold.jpg,+/Leeco-Le-Max-2-Rose-Gold.jpg,+/Leeco-Le-Max-2-Rose-Gold.jpg,/Leeco-Le-Max-2-Rose-Gold-right.jpg;/Leeco-Le-Max-2-Rose-Gold-left.jpg
OPMBNTFB0103,+/Lava-Iris-X8-Black.jpg,+/Lava-Iris-X8-Black.jpg,+/Lava-Iris-X8-Black.jpg,/Lava-Iris-X8-Black-right.jpg;/Lava-Iris-X8-Black-left.jpg
OPMBNTFB0565,+/letv-le-1s-x509-gold.jpg,+/letv-le-1s-x509-gold.jpg,+/letv-le-1s-x509-gold.jpg,/letv-le-1s-x509-gold-right.jpg;/letv-le-1s-x509-gold-left.jpg
OPMBNTFB0647,+/Moto-E4-Plus-Fine-Gold.jpg,+/Moto-E4-Plus-Fine-Gold.jpg,+/Moto-E4-Plus-Fine-Gold.jpg,/Moto-E4-Plus-Fine-Gold-right.jpg;/Moto-E4-Plus-Fine-Gold-left.jpg
OPMBNTFB0648,+/moto-e4-plus-iron-grey.jpg,+/moto-e4-plus-iron-grey.jpg,+/moto-e4-plus-iron-grey.jpg,/moto-e4-plus-iron-grey-right.jpg;/moto-e4-plus-iron-grey-left.jpg
OPMBNTFB0084,+/Mi-Max-Gold.jpg,+/Mi-Max-Gold.jpg,+/Mi-Max-Gold.jpg,/Mi-Max-Gold-right.jpg;/Mi-Max-Gold-left.jpg
OPMBNTFB0106,+/Moto-G4-Play-White.jpg,+/Moto-G4-Play-White.jpg,+/Moto-G4-Play-White.jpg,/Moto-G4-Play-White-right.jpg;/Moto-G4-Play-White-left.jpg
OPMBNTFB0030,+/Yu-Yunicorn-YU5530-Gold-Rush.jpg,+/Yu-Yunicorn-YU5530-Gold-Rush.jpg,+/Yu-Yunicorn-YU5530-Gold-Rush.jpg,/Yu-Yunicorn-YU5530-Gold-Rush-right.jpg
OPMBNTFB0039,+/Mi-Max-Gold.jpg,+/Mi-Max-Gold.jpg,+/Mi-Max-Gold.jpg,/Mi-Max-Gold-right.jpg;/Mi-Max-Gold-left.jpg
