sku,warrenty,laptop_warranty_summary
QCPNBK00243,1 Year  Warranty.,1 Year  Warranty.
QCNBB000001,1 Year  Warranty.,1 Year  Warranty.
QCNBB000002,1 Year  Warranty.,1 Year  Warranty.
QCNBB000003,1 Year  Warranty.,1 Year  Warranty.
QCNBB000004,1 Year  Warranty.,1 Year  Warranty.
QCNBB000005,1 Year  Warranty.,1 Year  Warranty.
QCNBB000006,1 Year  Warranty.,1 Year  Warranty.
QCNBB000007,1 Year  Warranty.,1 Year  Warranty.
QCNBB000008,1 Year  Warranty.,1 Year  Warranty.
QCNBB000009,1 Year  Warranty.,1 Year  Warranty.
QCNBB000010,1 Year  Warranty.,1 Year  Warranty.
QCNBB000011,1 Year  Warranty.,1 Year  Warranty.
QCNBB000012,1 Year  Warranty.,1 Year  Warranty.
QCNBB000013,1 Year  Warranty.,1 Year  Warranty.
QCNBB000014,1 Year  Warranty.,1 Year  Warranty.
QCNBB000015,1 Year  Warranty.,1 Year  Warranty.
QCNBB000016,1 Year  Warranty.,1 Year  Warranty.
QCNBB000017,1 Year  Warranty.,1 Year  Warranty.
QCNBB000018,1 Year  Warranty.,1 Year  Warranty.
QCNBB000019,1 Year  Warranty.,1 Year  Warranty.
QCNBB000020,1 Year  Warranty.,1 Year  Warranty.
QCNBB000021,1 Year  Warranty.,1 Year  Warranty.
QCNBB000022,1 Year  Warranty.,1 Year  Warranty.
QCNBB000023,1 Year  Warranty.,1 Year  Warranty.
QCNBB000024,1 Year  Warranty.,1 Year  Warranty.
QCNBB000025,1 Year  Warranty.,1 Year  Warranty.
QCNBB000026,1 Year  Warranty.,1 Year  Warranty.
QCNBB000027,1 Year  Warranty.,1 Year  Warranty.
QCNBB000028,1 Year  Warranty.,1 Year  Warranty.
QCNBB000029,1 Year  Warranty.,1 Year  Warranty.
QCNBB000030,1 Year  Warranty.,1 Year  Warranty.
QCNBB000031,1 Year  Warranty.,1 Year  Warranty.
QCNBB000032,1 Year  Warranty.,1 Year  Warranty.
QCNBB000033,1 Year  Warranty.,1 Year  Warranty.
QCNBB000034,1 Year  Warranty.,1 Year  Warranty.
QCNBB000035,1 Year  Warranty.,1 Year  Warranty.
QCNBB000036,1 Year  Warranty.,1 Year  Warranty.
QCNBB000037,1 Year  Warranty.,1 Year  Warranty.
QCNBB000038,1 Year  Warranty.,1 Year  Warranty.
QCNBB000039,1 Year  Warranty.,1 Year  Warranty.
QCNBB000040,1 Year  Warranty.,1 Year  Warranty.
QCNBB000041,1 Year  Warranty.,1 Year  Warranty.
QCNBB000042,1 Year  Warranty.,1 Year  Warranty.
QCNBB000043,1 Year  Warranty.,1 Year  Warranty.
QCNBB000044,1 Year  Warranty.,1 Year  Warranty.
QCNBB000045,1 Year  Warranty.,1 Year  Warranty.
QCNBB000046,1 Year  Warranty.,1 Year  Warranty.
QCNBB000047,1 Year  Warranty.,1 Year  Warranty.
QCNBB000048,1 Year  Warranty.,1 Year  Warranty.
QCNBB000050,1 Year  Warranty.,1 Year  Warranty.
