sku,mapped_status
SYGNBAS0329,No
SYGNBAS0330,No
SYGNBAS0331,No
SYGNBAS0332,No
SYGNBAS0333,No
SYGNBAS0334,No
SYGNBAS0335,No
SYGNBAS0336,No
SYGNBAS0337,No
SYGNBAS0338,No
SYGNBAS0339,No
SYGNBAS0340,No
SYGNBAS0341,No
SYGNBAS0342,No
SYGNBAS0343,No
SYGNBAS0344,No
SYGNBAS0345,No
SYGNBAS0346,No
SYGNBAS0347,No
SYGNBAS0348,No
SYGNBAS0349,No
SYGNBAS0350,No
SYGNBAS0351,No
SYGNBAS0352,No
SYGNBAS0353,No
SYGNBAS0354,No
SYGNBAS0355,No
SYGNBAS0356,No
SYGNBAS0357,No
SYGNBAS0358,No
SYGNBAS0359,No
SYGNBAS0360,No
SYGNBAS0361,No
SYGNBAS0362,No
SYGNBAS0363,No
SYGNBAS0364,No
SYGNBAS0365,No
SYGNBAS0366,No
SYGNBAS0367,No
SYGNBAS0368,No
SYGNBAS0369,No
SYGNBAS0370,No
SYGNBAS0371,No
SYGNBAS0372,No
SYGNBAS0373,No
SYGNBAS0374,No
SYGNBAS0375,No
SYGNBAS0376,No
SYGNBAS0377,No
SYGNBAS0378,No
SYGNBAS0379,No
SYGNBAS0380,No
SYGNBAS0381,No
SYGNBAS0382,No
SYGNBAS0383,No
SYGNBAS0384,No
SYGNBAS0385,No
SYGNBAS0386,No
SYGNBAS0387,No
SYGNBAS0388,No
SYGNBAS0389,No
SYGNBAS0390,No
SYGNBAS0391,No
SYGNBAS0392,No
SYGNBAS0393,No
SYGNBAS0394,No
SYGNBAS0395,No
SYGNBAS0396,No
SYGNBAS0397,No
SYGNBAS0398,No
SYGNBAS0399,No
SYGNBAS0400,No
SYGNBAS0401,No
SYGNBAS0402,No
SYGNBAS0403,No
SYGNBAS0404,No
SYGNBAS0405,No
SYGNBAS0406,No
SYGNBAS0407,No
SYGNBAS0408,No
SYGNBAS0409,No
SYGNBAS0410,No
SYGNBAS0411,No
SYGNBAS0415,No
SYGNBAS0417,No
SYGNBAS0418,No
SYGNBAS0419,No
SYGNBAS0420,No
SYGNBAS0421,No
SYGNBAS0422,No
