sku,category_ids,warrenty,tax_class_id,laptop_warranty_summary
OPNBNTF0021,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0044,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0098,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0140,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0119,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0111,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0135,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0086,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0141,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0017,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0062,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0089,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0091,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0149,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0165,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0180,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0182,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0183,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0184,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0185,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0186,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0187,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0188,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0189,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0190,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0191,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0192,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0193,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0194,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0195,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0196,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0197,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0198,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0199,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0200,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0201,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0202,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0203,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0204,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0205,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0206,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0207,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0208,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0209,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0210,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0211,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0212,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0213,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0214,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0215,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0216,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0217,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0218,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0219,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
OPNBNTF0220,"3,60",6 Months Warranty.,GST18,6 Months Warranty.
