sku,image,small_image,thumbnail,gallery,,,,
OPMBNTFB0711,+/Apple-iPhone-SE-Rose-Gold.jpg,+/Apple-iPhone-SE-Rose-Gold.jpg,+/Apple-iPhone-SE-Rose-Gold.jpg,/Apple-iPhone-SE-Rose-Gold-right.jpg;/Apple-iPhone-SE-Rose-Gold-left.jpg,,,,
OPMBNTFB0023,+/Moto-G-Plus-white.jpg,+/Moto-G-Plus-white.jpg,+/Moto-G-Plus-white.jpg,/Moto-G-Plus-white-right.jpg;/Moto-G-Plus-white-left.jpg,,,,
OPMBNTFB0026,+/Moto-G-Plus-white.jpg,+/Moto-G-Plus-white.jpg,+/Moto-G-Plus-white.jpg,/Moto-G-Plus-white-right.jpg;/Moto-G-Plus-white-left.jpg,,,,
OPMBNTFB0059,+/Redmi-Note-4-Black.jpg,+/Redmi-Note-4-Black.jpg,+/Redmi-Note-4-Black.jpg,/Redmi-Note-4-Black-right.jpg;/Redmi-Note-4-Black-left.jpg,,,,
OPMBNTFB0066,+/Redmi-Note-4-Gold.jpg,+/Redmi-Note-4-Gold.jpg,+/Redmi-Note-4-Gold.jpg,/Redmi-Note-4-Gold-right.jpg;/Redmi-Note-4-Gold-left.jpg,,,,
OPMBNTFB0186,+/Honor-Y541-U02-Black-White.jpg,+/Honor-Y541-U02-Black-White.jpg,+/Honor-Y541-U02-Black-White.jpg,/Honor-Y541-U02-Black-White-right.jpg;/Honor-Y541-U02-Black-White-left.jpg,,,,
OPMBNTFB0308,+/Nextbit-Robin-Mint.jpg,+/Nextbit-Robin-Mint.jpg,+/Nextbit-Robin-Mint.jpg,/Nextbit-Robin-Mint-right.jpg;/Nextbit-Robin-Mint-left.jpg,,,,
OPMBNTFB0556,+/Asus-Zenfone-Max-Black.jpg,+/Asus-Zenfone-Max-Black.jpg,+/Asus-Zenfone-Max-Black.jpg,/Asus-Zenfone-Max-Black-right.jpg;/Asus-Zenfone-Max-Black-left.jpg,,,,
OPMBNTFB0597,+/xiaomi-redmi-3s-prime-silver.jpg,+/xiaomi-redmi-3s-prime-silver.jpg,+/xiaomi-redmi-3s-prime-silver.jpg,/xiaomi-redmi-3s-prime-silver.jpg;/xiaomi-redmi-3s-prime-silver-right.jpg,,,,
OPMBNTFB0560,+/Apple-iPhone-6-Plus-Space-Grey.jpg,+/Apple-iPhone-6-Plus-Space-Grey.jpg,+/Apple-iPhone-6-Plus-Space-Grey.jpg,/Apple-iPhone-6-Plus-Space-Grey-right.jpg;/Apple-iPhone-6-Plus-Space-Grey-left.jpg,,,,
OPMBNTFB0714,+/Apple-iPhone-6S-Silver.jpg,+/Apple-iPhone-6S-Silver.jpg,+/Apple-iPhone-6S-Silver.jpg,/Apple-iPhone-6S-Silver-right.jpg;/Apple-iPhone-6S-Silver-left.jpg,,,,
OPMBNTFB0080,+/coolpad-mega-2.5d-cahampagne-gold.jpg,+/coolpad-mega-2.5d-cahampagne-gold.jpg,+/coolpad-mega-2.5d-cahampagne-gold.jpg,/coolpad-mega-2.5d-cahampagne-gold-right.jpg;/coolpad-mega-2.5d-cahampagne-gold-left.jpg,,,,
OPMBNTFB0182,+/Asus-Zenfone-Selfie-ZD551KL-Silver.jpg,+/Asus-Zenfone-Selfie-ZD551KL-Silver.jpg,+/Asus-Zenfone-Selfie-ZD551KL-Silver.jpg,/Asus-Zenfone-Selfie-ZD551KL-Silver.jpg;/Asus-Zenfone-Selfie-ZD551KL-Silver-right.jpg,,,,
OPMBNTFB0206,+/Honor-4C-white.jpg,+/Honor-4C-white.jpg,+/Honor-4C-white.jpg,/Honor-4C-white-right.jpg;/Honor-4C-white-left.jpg,,,,
OPMBNTFB0238,+/honor-holy-holu19-black.jpg,+/honor-holy-holu19-black.jpg,+/honor-holy-holu19-black.jpg,/honor-holy-holu19-black-right.jpg;/honor-holy-holu19-black-left.jpg,,,,
OPMBNTFB0253,+/One-plus-One-Sandstone-Black.jpg,+/One-plus-One-Sandstone-Black.jpg,+/One-plus-One-Sandstone-Black.jpg,/One-plus-One-Sandstone-Black-right.jpg;/One-plus-One-Sandstone-Black-left.jpg,,,,
OPMBNTFB0287,+/Karbonn-Smart-A50S-black.jpg,+/Karbonn-Smart-A50S-black.jpg,+/Karbonn-Smart-A50S-black.jpg,/Karbonn-Smart-A50S-black-right.jpg;/Karbonn-Smart-A50S-black-left.jpg,,,,
OPMBNTFB0405,+/Karbonn-Smart-A12-White-&-Gold.jpg,+/Karbonn-Smart-A12-White-&-Gold.jpg,+/Karbonn-Smart-A12-White-&-Gold.jpg,/Karbonn-Smart-A12-White-&-Gold-right.jpg;/Karbonn-Smart-A12-White-&-Gold-left.jpg,,,,
