sku,status
QCNBB000371,1
SYGNBQB0149,1
SYGNBQB0167,1
SYGNBQB0168,1
SYGNBQB0169,1
SYGNBQB0171,1
SYGNBQB0172,1
QCNBB001419,1
QCNBB001421,1
SYGNBQB0147,1
QCNBB001412,1
QCNBB001433,1
QCNBB001434,1
SYGNBQB0148,1
SYGNBQB0150,1
SYGNBQB0173,1
SYGNBQB0174,1
QCNBB001410,1
QCNBB001411,1
QCNBB001440,1
QCNBB001451,1
QCNBB001506,1
SYGNBQB0193,1
QCNBB001441,1
SYGNBQB0175,1
QCNBB001422,1
QCNBB000765,1
QCNBB001395,1
QCNBB001397,1
QCNBB001399,1
QCNBB001402,1
QCNBB001403,1
QCNBB001404,1
QCNBB001406,1
QCNBB001407,1
QCNBB001408,1
QCNBB001420,1
QCNBB001425,1
QCNBB001426,1
QCNBB001428,1
QCNBB001429,1
QCNBB001435,1
QCNBB001436,1
QCNBB001438,1
QCNBB001439,1
QCNBB001448,1
SYGNBQB0151,1
SYGNBQB0154,1
SYGNBQB0176,1
SYGNBQB0177,1
SYGNBQB0178,1
SYGNBQB0179,1
SYGNBQB0181,1
SYGNBQB0183,1
SYGNBQB0194,1
SYGNBQB0197,1
SYGNBQB0199,1
QCNBB000731,1
QCNBB001396,1
QCNBB001400,1
QCNBB001401,1
QCNBB001409,1
QCNBB001424,1
QCNBB001427,1
QCNBB001430,1
QCNBB001431,1
SYGNBQB0152,1
SYGNBQB0153,1
SYGNBQB0180,1
SYGNBQB0182,1
QCNBB001398,1
QCNBB001437,1
QCNBB001413,1
QCNBB001414,1
QCNBB001423,1
QCNBB001442,1
QCNBB001443,1
QCNBB001444,1
SYGNBQB0027,1
SYGNBQB0160,1
SYGNBQB0162,1
SYGNBQB0196,1
SYGNBQB0198,1
SYGNBQB0200,1
SYGNBQB0201,1
SYGNBQB0202,1
SYGNBQB0203,1
SYGNBQB0204,1
SYGNBQB0205,1
SYGNBQB0206,1
SYGNBQB0207,1
SYGNBQB0208,1
SYGNBQB0155,1
SYGNBQB0156,1
SYGNBQB0157,1
SYGNBQB0158,1
SYGNBQB0159,1
SYGNBQB0163,1
SYGNBQB0164,1
SYGNBQB0184,1
SYGNBQB0185,1
SYGNBQB0186,1
SYGNBQB0189,1
SYGNBQB0190,1
SYGNBQB0191,1
SYGNBQB0192,1
SYGNBQB0187,1
SYGNBQB0188,1
SYGNBQB0195,1
SYGNBQB0165,1
SYGNBQB0166,1
SYGNBQB0210,1
QCNBB001405,1
QCNBB001484,1
SYGNBQB0161,1
SYGNBQB0209,1
