sku,status
QCNBB001753,1
QCNBB001754,1
QCNBB001755,1
QCNBB001841,1
QCNBB001839,1
QCNBB001729,1
QCNBB001843,1
QCNBB001829,1
QCNBB001740,1
QCNBB001848,1
QCNBB001752,1
QCNBB001826,1
QCNBB001847,1
SYGNBQB0277,1
QCNBB001853,1
SYGNBQB0287,1
QCNBB001855,1
QCNBB001876,1
SYGNBQB0326,1
QCNBB001432,1
QCNBB001834,1
SYGNBQB0286,1
QCNBB001759,1
QCNBB001760,1
QCNBB001794,1
QCNBB001768,1
QCNBB001797,1
QCNBB001816,1
QCNBB001817,1
SYGNBQB0304,1
QCNBB001827,1
QCNBB001838,1
SYGNBQB0309,1
QCNBB001842,1
QCNBB001840,1
QCNBB001850,1
QCNBB001856,1
SYGNBQB0289,1
QCNBB001849,1
SYGNBQB0302,1
QCNBB001861,1
SYGNBQB0290,1
SYGNBQB0327,1
QCNBB001737,1
QCNBB001758,1
QCNBB001777,1
QCNBB001785,1
QCNBB001790,1
QCNBB001814,1
QCNBB001815,1
QCNBB001846,1
QCNBB001851,1
QCNBB001828,1
QCNBB001854,1
QCNBB001852,1
QCNBB001877,1
SYGNBQB0272,1
SYGNBQB0282,1
SYGNBQB0283,1
SYGNBQB0315,1
SYGNBQB0318,1
SYGNBQB0323,1
QCNBB001824,1
QCNBB001825,1
QCNBB001835,1
QCNBB001845,1
QCNBB001857,1
QCNBB001858,1
SYGNBQB0276,1
SYGNBQB0295,1
QCNBB001833,1
QCNBB001795,1
QCNBB001860,1
QCNBB001878,1
SYGNBQB0273,1
SYGNBQB0293,1
SYGNBQB0297,1
QCNBB001750,1
SYGNBQB0321,1
QCNBB001726,1
QCNBB001739,1
QCNBB001741,1
QCNBB001742,1
QCNBB001743,1
SYGNBQB0306,1
QCNBB001744,1
QCNBB001745,1
SYGNBQB0278,1
SYGNBQB0310,1
SYGNBQB0312,1
SYGNBQB0314,1
SYGNBQB0328,1
SYGNBQB0271,1
QCNBB001731,1
SYGNBQB0303,1
QCNBB000528,1
SYGNBQB0288,1
QCNBB001727,1
QCNBB001728,1
QCNBB001751,1
QCNBB001734,1
QCNBB001747,1
QCNBB001749,1
SYGNBQB0300,1
QCNBB001770,1
QCNBB001735,1
QCNBB001736,1
QCNBB001733,1
QCNBB001748,1
QCNBB001746,1
SYGNBQB0291,1
SYGNBQB0275,1
SYGNBQB0285,1
SYGNBQB0299,1
SYGNBQB0294,1
SYGNBQB0301,1
QCNBB001766,1
QCNBB001786,1
QCNBB001725,1
SYGNBQB0292,1
SYGNBQB0311,1
QCNBB000341,1
QCNBB001859,1
QCNBB000760,1
SYGNBQB0316,1
QCNBB000261,1
QCNBB000298,1
QCNBB000802,1
QCNBB001756,1
QCNBB001757,1
QCNBB001769,1
QCNBB001812,1
QCNBB001862,1
SYGNBQB0279,1
SYGNBQB0281,1
SYGNBQB0284,1
SYGNBQB0307,1
SYGNBQB0313,1
SYGNBQB0325,1
QCNBB000627,1
QCNBB001773,1
QCNBB001730,1
QCNBB000596,1
SYGNBQB0317,1
QCNBB001732,1
QCNBB001738,1
QCNBB001818,1
SYGNBQB0319,1
SYGNBQB0274,1
SYGNBQB0296,1
SYGNBQB0320,1
SYGNBQB0322,1
SYGNBQB0270,1
QCNBB001791,1
SYGNBQB0280,1
SYGNBQB0298,1
SYGNBQB0305,1
QCNBB001844,1
QCNBB000538,1
QCNBB001793,1
SYGNBQB0269,1
SYGNBQB0308,1
QCNBB000160,1
QCNBB000161,1
QCNBB001819,1
QCNBB001792,1
QCNBB001798,1
