sku,tax_class_id,warrenty,mobile_warranty_summary
SYGMBQA0007,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQA0030,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0001,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0002,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0003,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0004,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0005,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0007,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0008,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0009,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0014,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0015,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0016,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0017,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0018,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0019,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0020,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0021,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0022,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0023,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0024,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0025,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0027,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0030,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
SYGMBQB0033,GST0.24,15 Days Testing Warranty.,15 Days Testing Warranty.
