store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,mapped_status,price,cpu
admin,base,Laptops,simple,"3,11",QCNBA000094,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,Lenovo T410 CPU-INTEL® CORE ™ I5-M560@2.67GHZ/RAM-3GB/HDD-500GB/DISPLAY-14.1''/ODD- YES/BATTERY-10.8V-4400mAh 1S2537GA0R8T6T9R,1 Year  Warranty.,Lenovo T410,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Lenovo T410 CPU-INTEL® CORE ™ I5-M560@2.67GHZ/RAM-3GB/HDD-500GB/DISPLAY-14.1''/ODD- YES/BATTERY-10.8V-4400mAh 1S2537GA0R8T6T9R,simple,1 Year  Warranty.,No,0.00,INTEL® CORE ™ I5
admin,base,Laptops,simple,"3,11",QCNBA000095,2,No,"Catalog, Search",GST0.36,HP,QCNBK-A,HP Elitebook2540p CPU-INTEL® CORE ™ I5-M540@2.53GHZ/RAM-2GB/HDD-300GB/DISPLAY-12.1''/ODD- NO /BATTERY-11.1V-62wh CND11233JB,1 Year  Warranty.,Elitebook2540p,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,HP Elitebook2540p CPU-INTEL® CORE ™ I5-M540@2.53GHZ/RAM-2GB/HDD-300GB/DISPLAY-12.1''/ODD- NO /BATTERY-11.1V-62wh CND11233JB,simple,1 Year  Warranty.,No,0.00,INTEL® CORE ™ I5
admin,base,Laptops,simple,"3,11",QCNBA000096,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-A,Dell inspiron N5110 CPU-INTEL® CORE ™ I5-2410m@2.30GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 4400mAh BLZPVQ1,1 Year  Warranty.,inspiron N5110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell inspiron N5110 CPU-INTEL® CORE ™ I5-2410m@2.30GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 4400mAh BLZPVQ1,simple,1 Year  Warranty.,No,0.00,INTEL® CORE ™ I5
admin,base,Laptops,simple,"3,11",QCNBA000097,2,No,"Catalog, Search",GST0.36,Toshiba,QCNBK-A,Toshiba Satellite L650 CPU-INTEL® CORE ™ I5-m520@2.40GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-10.8V - 48wh 7A222492W,1 Year  Warranty.,Satellite  L650,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Toshiba Satellite L650 CPU-INTEL® CORE ™ I5-m520@2.40GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-10.8V - 48wh 7A222492W,simple,1 Year  Warranty.,No,0.00,INTEL® CORE ™ I5
admin,base,Laptops,simple,"3,11",QCNBA000098,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-A,Dell inspiron N5010 CPU-INTEL® CORE ™ I5-m480@2.67GHZ/RAM-4GB/HDD-250GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 48wh KR-08NH55-71769/dpn o8NH55,1 Year  Warranty.,inspiron N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell inspiron N5010 CPU-INTEL® CORE ™ I5-m480@2.67GHZ/RAM-4GB/HDD-250GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 48wh KR-08NH55-71769/dpn o8NH55,simple,1 Year  Warranty.,No,0.00,INTEL® CORE ™ I5
admin,base,Laptops,simple,"3,11",QCNBA000099,2,No,"Catalog, Search",GST0.36,Acer,QCNBK-A,"Acer JAL90 CPU-PENTIUM DUAL CORE-T3400 2.16 GHZ/RAM-2GB/HDD-80GB/DISPLAY-15""/ODD-YES/BATTERY-11.1V-4400mAh 2139725100907",1 Year  Warranty.,JAL90,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer JAL90 CPU-PENTIUM DUAL CORE-T3400 2.16 GHZ/RAM-2GB/HDD-80GB/DISPLAY-15""/ODD-YES/BATTERY-11.1V-4400mAh 2139725100907",simple,1 Year  Warranty.,No,0.00,PENTIUM DUAL CORE
admin,base,Laptops,simple,"3,11",QCNBA000100,2,No,"Catalog, Search",GST0.36,Dell,QCNBK-A,Dell Inspiron 1545 CPU-INTEL CORE 2DUO-T6500@2.13GHZ/RAM-3GB/HDD-320GB/DISPLAY-15.6''/ODD-YES/BATTERY-11.1V- 48wh B2NK3BS,1 Year  Warranty.,Inspiron 1545,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell Inspiron 1545 CPU-INTEL CORE 2DUO-T6500@2.13GHZ/RAM-3GB/HDD-320GB/DISPLAY-15.6''/ODD-YES/BATTERY-11.1V- 48wh B2NK3BS,simple,1 Year  Warranty.,No,0.00,INTEL CORE 2DUO
admin,base,Laptops,simple,"3,11",QCNBA000101,2,No,"Catalog, Search",GST0.36,Lenovo,QCNBK-A,"Lenovo 7757 CPU-INTEL CORE2 DUO-T5450@1.66GHZ/RAM-2GB/HDD-150GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4.8AH 144488963887",1 Year  Warranty.,7757,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo 7757 CPU-INTEL CORE2 DUO-T5450@1.66GHZ/RAM-2GB/HDD-150GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4.8AH 144488963887",simple,1 Year  Warranty.,No,0.00,INTEL CORE2 DUO
admin,base,Laptops,simple,"3,11",QCNBA000102,2,No,"Catalog, Search",GST0.36,Acer,QCNBK-A,"Acer ZQ8A CPU-PENTIUM DUAL CORE-P6200 2.13 GHZ/RAM-2GB/HDD-500GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4400mAh LXR6T0C065046161C32500",1 Year  Warranty.,ZQ8A,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer ZQ8A CPU-PENTIUM DUAL CORE-P6200 2.13 GHZ/RAM-2GB/HDD-500GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4400mAh LXR6T0C065046161C32500",simple,1 Year  Warranty.,No,0.00,PENTIUM DUAL CORE
admin,base,Laptops,simple,"3,11",QCNBA000103,2,No,"Catalog, Search",GST0.36,Compaq,QCNBK-A,"Compaq CQ40 CPU-PENTIUM DUAL CORE T4400@2.20 GHZ/RAM-3GB/HDD-320GB/DISPLAY-14.6""/ODD-YES/BATTERY-10.8V-55wh CND9441N36",1 Year  Warranty.,CQ40,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Compaq CQ40 CPU-PENTIUM DUAL CORE T4400@2.20 GHZ/RAM-3GB/HDD-320GB/DISPLAY-14.6""/ODD-YES/BATTERY-10.8V-55wh CND9441N36",simple,1 Year  Warranty.,No,0.00,PENTIUM DUAL CORE
