sku,name,product_name
QCNBA000094,Lenovo T410 CPU-INTEL CORE I5-M560 2.67GHZ/RAM-3GB/HDD-500GB/DISPLAY-14.1''/ODD- YES/BATTERY-10.8V-4400mAh 1S2537GA0R8T6T9R,Lenovo T410 CPU-INTEL CORE I5-M560 2.67GHZ/RAM-3GB/HDD-500GB/DISPLAY-14.1''/ODD- YES/BATTERY-10.8V-4400mAh 1S2537GA0R8T6T9R
QCNBA000095,HP Elitebook2540p CPU-INTEL CORE I5-M540 2.53GHZ/RAM-2GB/HDD-300GB/DISPLAY-12.1''/ODD- NO /BATTERY-11.1V-62wh CND11233JB,HP Elitebook2540p CPU-INTEL CORE I5-M540 2.53GHZ/RAM-2GB/HDD-300GB/DISPLAY-12.1''/ODD- NO /BATTERY-11.1V-62wh CND11233JB
QCNBA000096,Dell inspiron N5110 CPU-INTEL CORE I5-2410m 2.30GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 4400mAh BLZPVQ1,Dell inspiron N5110 CPU-INTEL CORE I5-2410m 2.30GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 4400mAh BLZPVQ1
QCNBA000097,Toshiba Satellite L650 CPU-INTEL CORE I5-m520 2.40GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-10.8V - 48wh 7A222492W,Toshiba Satellite L650 CPU-INTEL CORE I5-m520 2.40GHZ/RAM-4GB/HDD-500GB/DISPLAY-15.6''/ODD- YES /BATTERY-10.8V - 48wh 7A222492W
QCNBA000098,Dell inspiron N5010 CPU-INTEL CORE I5-m480 2.67GHZ/RAM-4GB/HDD-250GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 48wh KR-08NH55-71769/dpn o8NH55,Dell inspiron N5010 CPU-INTEL CORE I5-m480 2.67GHZ/RAM-4GB/HDD-250GB/DISPLAY-15.6''/ODD- YES /BATTERY-11.1V - 48wh KR-08NH55-71769/dpn o8NH55
QCNBA000099,"Acer JAL90 CPU-PENTIUM DUAL CORE-T3400 2.16 GHZ/RAM-2GB/HDD-80GB/DISPLAY-15""/ODD-YES/BATTERY-11.1V-4400mAh 2139725100907","Acer JAL90 CPU-PENTIUM DUAL CORE-T3400 2.16 GHZ/RAM-2GB/HDD-80GB/DISPLAY-15""/ODD-YES/BATTERY-11.1V-4400mAh 2139725100907"
QCNBA000100,Dell Inspiron 1545 CPU-INTEL CORE 2DUO-T6500 2.13GHZ/RAM-3GB/HDD-320GB/DISPLAY-15.6''/ODD-YES/BATTERY-11.1V- 48wh B2NK3BS,Dell Inspiron 1545 CPU-INTEL CORE 2DUO-T6500 2.13GHZ/RAM-3GB/HDD-320GB/DISPLAY-15.6''/ODD-YES/BATTERY-11.1V- 48wh B2NK3BS
QCNBA000101,"Lenovo 7757 CPU-INTEL CORE2 DUO-T5450 1.66GHZ/RAM-2GB/HDD-150GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4.8AH 144488963887","Lenovo 7757 CPU-INTEL CORE2 DUO-T5450 1.66GHZ/RAM-2GB/HDD-150GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4.8AH 144488963887"
QCNBA000102,"Acer ZQ8A CPU-PENTIUM DUAL CORE-P6200 2.13 GHZ/RAM-2GB/HDD-500GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4400mAh LXR6T0C065046161C32500","Acer ZQ8A CPU-PENTIUM DUAL CORE-P6200 2.13 GHZ/RAM-2GB/HDD-500GB/DISPLAY-14""/ODD-YES/BATTERY-10.8V-4400mAh LXR6T0C065046161C32500"
QCNBA000103,"Compaq CQ40 CPU-PENTIUM DUAL CORE T4400 2.20 GHZ/RAM-3GB/HDD-320GB/DISPLAY-14.6""/ODD-YES/BATTERY-10.8V-55wh CND9441N36","Compaq CQ40 CPU-PENTIUM DUAL CORE T4400 2.20 GHZ/RAM-3GB/HDD-320GB/DISPLAY-14.6""/ODD-YES/BATTERY-10.8V-55wh CND9441N36"
QCNBA000104,"Dell Latitude E5500 CPU-INTEL CORE 2 DUO P8400 2.26GHZ/RAM-2GB/HDD-160GB/DISPLAY-14.5""/ODD-YES/BATTERY-14.8V-37wh J4M5QBX","Dell Latitude E5500 CPU-INTEL CORE 2 DUO P8400 2.26GHZ/RAM-2GB/HDD-160GB/DISPLAY-14.5""/ODD-YES/BATTERY-14.8V-37wh J4M5QBX"
QCNBA000105,Dell P05G CPU-INTEL CORE I5-M520 2.40GHZ/RAM-3GB/HDD-250GB/DISPLAY-14''/ODD- YES /BATTERY-11.1V - 60wh DJH76BS,Dell P05G CPU-INTEL CORE I5-M520 2.40GHZ/RAM-3GB/HDD-250GB/DISPLAY-14''/ODD- YES /BATTERY-11.1V - 60wh DJH76BS
QCNBA000106,"Compaq Preserio CQ61 CPU-PENTIUM DUAL CORE-T4400 2.20 GHZ/RAM-4GB/HDD-320GB/DISPLAY-15""/ODD-YES/10.8V-55Wh CNF9378XHZ","Compaq Preserio CQ61 CPU-PENTIUM DUAL CORE-T4400 2.20 GHZ/RAM-4GB/HDD-320GB/DISPLAY-15""/ODD-YES/10.8V-55Wh CNF9378XHZ"
QCNBA000107,Lenovo G570 CPU-INTEL CORE I5-2430M 2.40GHZ/RAM-1GB/HDD-620GB/DISPLAY-15.6''/ODD- YES /BATTERY-10.8V - 48wh CB11571047,Lenovo G570 CPU-INTEL CORE I5-2430M 2.40GHZ/RAM-1GB/HDD-620GB/DISPLAY-15.6''/ODD- YES /BATTERY-10.8V - 48wh CB11571047
QCNBA000108,"Dell Inspiron 1525 CPU-INTEL CORE2 DUO-T6400 2.00GHZ/RAM-2GB/HDD-500GB/DISPLAY-15.6""/ODD-YES/BATTERY-11.1V-48WH 86tv2bs","Dell Inspiron 1525 CPU-INTEL CORE2 DUO-T6400 2.00GHZ/RAM-2GB/HDD-500GB/DISPLAY-15.6""/ODD-YES/BATTERY-11.1V-48WH 86tv2bs"
