sku,image,small_image,thumbnail,gallery
SYGMBQA0007,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,/Apple-iPhone-5s-right.jpg;/Apple-iPhone-5s-left.jpg
SYGMBQA0030,+/Apple-iPhone-7.jpg,+/Apple-iPhone-7.jpg,+/Apple-iPhone-7.jpg,
SYGMBQB0001,+/apple-iphone-5.jpg,+/apple-iphone-5.jpg,+/apple-iphone-5.jpg,/apple-iphone-5-right.jpg;/apple-iphone-5-left.jpg
SYGMBQB0002,+/apple-iphone-6.jpg,+/apple-iphone-6.jpg,+/apple-iphone-6.jpg,
SYGMBQB0003,+/apple-iphone-7.jpg,+/apple-iphone-7.jpg,+/apple-iphone-7.jpg,
SYGMBQB0004,+/apple-iphone-5c.jpg,+/apple-iphone-5c.jpg,+/apple-iphone-5c.jpg,/apple-iphone-5c-right.jpg;/apple-iphone-5c-left.jpg
SYGMBQB0005,+/apple-iphone-5c.jpg,+/apple-iphone-5c.jpg,+/apple-iphone-5c.jpg,/apple-iphone-5c-right.jpg;/apple-iphone-5c-left.jpg
SYGMBQB0007,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,/Apple-iPhone-5s-right.jpg;/Apple-iPhone-5s-left.jpg
SYGMBQB0008,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,/Apple-iPhone-5s-right.jpg;/Apple-iPhone-5s-left.jpg
SYGMBQB0009,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,+/Apple-iPhone-5s.jpg,/Apple-iPhone-5s-right.jpg;/Apple-iPhone-5s-left.jpg
SYGMBQB0010,+/apple-iphone-5-se.jpg,+/apple-iphone-5-se.jpg,+/apple-iphone-5-se.jpg,/apple-iphone-5-se-right.jpg;/apple-iphone-5-se-left.jpg
SYGMBQB0011,+/apple-iphone-5-se.jpg,+/apple-iphone-5-se.jpg,+/apple-iphone-5-se.jpg,/apple-iphone-5-se-right.jpg;/apple-iphone-5-se-left.jpg
SYGMBQB0012,+/apple-iphone-5-se.jpg,+/apple-iphone-5-se.jpg,+/apple-iphone-5-se.jpg,/apple-iphone-5-se-right.jpg;/apple-iphone-5-se-left.jpg
SYGMBQB0014,+/Apple-iPhone-6.jpg,+/Apple-iPhone-6.jpg,+/Apple-iPhone-6.jpg,
SYGMBQB0015,+/Apple-iPhone-7.jpg,+/Apple-iPhone-7.jpg,+/Apple-iPhone-7.jpg,
SYGMBQB0016,+/Apple-iPhone-8.jpg,+/Apple-iPhone-8.jpg,+/Apple-iPhone-8.jpg,
SYGMBQB0017,+/Apple-iPhone-9.jpg,+/Apple-iPhone-9.jpg,+/Apple-iPhone-9.jpg,
SYGMBQB0018,+/Apple-iPhone-6-Plus.jpg,+/Apple-iPhone-6-Plus.jpg,+/Apple-iPhone-6-Plus.jpg,/Apple-iPhone-6-Plus-right.jpg;/Apple-iPhone-6-Plus-left.jpg
SYGMBQB0019,+/Apple-iPhone-6-Plus.jpg,+/Apple-iPhone-6-Plus.jpg,+/Apple-iPhone-6-Plus.jpg,/Apple-iPhone-6-Plus-right.jpg;/Apple-iPhone-6-Plus-left.jpg
SYGMBQB0020,+/Apple-iPhone-6-Plus.jpg,+/Apple-iPhone-6-Plus.jpg,+/Apple-iPhone-6-Plus.jpg,/Apple-iPhone-6-Plus-right.jpg;/Apple-iPhone-6-Plus-left.jpg
SYGMBQB0021,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,
SYGMBQB0022,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,
SYGMBQB0023,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,
SYGMBQB0024,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,+/Apple-iPhone-6S.jpg,
SYGMBQB0025,+/Apple-iPhone-6S-Plus.jpg,+/Apple-iPhone-6S-Plus.jpg,+/Apple-iPhone-6S-Plus.jpg,/Apple-iPhone-6S-Plus.jpg;/Apple-iPhone-6S-plus-left.jpg
SYGMBQB0027,+/Apple-iPhone-6S-Plus.jpg,+/Apple-iPhone-6S-Plus.jpg,+/Apple-iPhone-6S-Plus.jpg,/Apple-iPhone-6S-Plus.jpg;/Apple-iPhone-6S-plus-left.jpg
SYGMBQB0030,+/Apple-iPhone-7.jpg,+/Apple-iPhone-7.jpg,+/Apple-iPhone-7.jpg,
SYGMBQB0033,+/Apple-iPhone-7-Plus.jpg,+/Apple-iPhone-7-Plus.jpg,+/Apple-iPhone-7-Plus.jpg,/Apple-iPhone-7-Plus-right.jpg;/Apple-iPhone-7-Plus-left.jpg
