sku,category_ids
SYGMBQA0007,"4,97,100"
SYGMBQA0030,"4,97,100"
SYGMBQB0001,"4,97,100"
SYGMBQB0002,"4,97,100"
SYGMBQB0003,"4,97,100"
SYGMBQB0004,"4,97,100"
SYGMBQB0005,"4,97,100"
SYGMBQB0007,"4,97,100"
SYGMBQB0008,"4,97,100"
SYGMBQB0009,"4,97,100"
SYGMBQB0010,"4,97,100"
SYGMBQB0011,"4,97,100"
SYGMBQB0012,"4,97,100"
SYGMBQB0014,"4,97,100"
SYGMBQB0015,"4,97,100"
SYGMBQB0016,"4,97,100"
SYGMBQB0017,"4,97,100"
SYGMBQB0018,"4,97,100"
SYGMBQB0019,"4,97,100"
SYGMBQB0020,"4,97,100"
SYGMBQB0021,"4,97,100"
SYGMBQB0022,"4,97,100"
SYGMBQB0023,"4,97,100"
SYGMBQB0024,"4,97,100"
SYGMBQB0025,"4,97,100"
SYGMBQB0027,"4,97,100"
SYGMBQB0030,"4,97,100"
SYGMBQB0033,"4,97,100"
