sku,image,small_image,thumbnail,gallery
QCMBA000036,+/QCMBA000036_1.jpg,+/QCMBA000036_1.jpg,+/QCMBA000036_1.jpg,/QCMBA000036_2.jpg;/QCMBA000036_3.jpg
QCMBA000034,+/QCMBA000034_1.jpg,+/QCMBA000034_1.jpg,+/QCMBA000034_1.jpg,/QCMBA000034_2.jpg;/QCMBA000034_3.jpg
QCMBA000046,+/QCMBA000046_1.jpg,+/QCMBA000046_1.jpg,+/QCMBA000046_1.jpg,/QCMBA000046_2.jpg;/QCMBA000046_3.jpg
QCMBA000024,+/QCMBA000024_1.jpg,+/QCMBA000024_1.jpg,+/QCMBA000024_1.jpg,/QCMBA000024_2.jpg;/QCMBA000024_3.jpg
QCMBA000028,+/QCMBA000028_1.jpg,+/QCMBA000028_1.jpg,+/QCMBA000028_1.jpg,/QCMBA000028_2.jpg;/QCMBA000028_3.jpg
QCMBA000038,+/QCMBA000038_1.jpg,+/QCMBA000038_1.jpg,+/QCMBA000038_1.jpg,/QCMBA000038_2.jpg;/QCMBA000038_3.jpg
QCMBA000023,+/QCMBA000023_1.jpg,+/QCMBA000023_1.jpg,+/QCMBA000023_1.jpg,/QCMBA000023_2.jpg;/QCMBA000023_3.jpg
QCMBA000030,+/QCMBA000030_1.jpg,+/QCMBA000030_1.jpg,+/QCMBA000030_1.jpg,/QCMBA000030_2.jpg;/QCMBA000030_3.jpg
QCMBA000042,+/QCMBA000042_1.jpg,+/QCMBA000042_1.jpg,+/QCMBA000042_1.jpg,/QCMBA000042_2.jpg;/QCMBA000042_3.jpg
QCMBA000060,+/QCMBA000060_1.jpg,+/QCMBA000060_1.jpg,+/QCMBA000060_1.jpg,/QCMBA000060_2.jpg;/QCMBA000060_3.jpg
QCMBA000012,+/QCMBA000012_1.jpg,+/QCMBA000012_1.jpg,+/QCMBA000012_1.jpg,/QCMBA000012_2.jpg;/QCMBA000012_3.jpg
QCMBA000037,+/QCMBA000037_1.jpg,+/QCMBA000037_1.jpg,+/QCMBA000037_1.jpg,/QCMBA000037_2.jpg;/QCMBA000037_3.jpg
