sku,image,small_image,thumbnail,gallery,,
OPMBNTF0250,+/Motorola-Turbo-Edition-XT-1557-Black.jpg,+/Motorola-Turbo-Edition-XT-1557-Black.jpg,+/Motorola-Turbo-Edition-XT-1557-Black.jpg,/Motorola-Turbo-Edition-XT-1557-Black-Left.jpg;/Motorola-Turbo-Edition-XT-1557-Black-Back.jpg,,
QCMBB000083,+/Motorola-Google-Nexus6.jpg,+/Motorola-Google-Nexus6.jpg,+/Motorola-Google-Nexus6.jpg,/Motorola-Google-Nexus6-Right.jpg;/Motorola-Google-Nexus6-Back.jpg,,
OPMBNTF0226,+/spice-android-one-black.jpg,+/spice-android-one-black.jpg,+/spice-android-one-black.jpg,/spice-android-one-black-right.jpg;/spice-android-one-black-left.jpg,,
OPMBNTF0228,+/TCL-Pride-T500L-Right.jpg,+/TCL-Pride-T500L-Right.jpg,+/TCL-Pride-T500L-Right.jpg,,,
OPMBNTF0699,+/Xiaomi-Redmi-Note-Prime-White.jpg,+/Xiaomi-Redmi-Note-Prime-White.jpg,+/Xiaomi-Redmi-Note-Prime-White.jpg,/Xiaomi-Redmi-Note-Prime-White-Left.jpg;/Xiaomi-Redmi-Note-Prime-White-Back.jpg,,
QCMBB000205,+/YU-A05510.jpg,+/YU-A05510.jpg,+/YU-A05510.jpg,/YU-A05510-right.jpg;/YU-A05510-left.jpg,,
OPMBNTFB0004,+/Samsung-Galaxy-J7-6-New-2016-Edition-Gold.jpg,+/Samsung-Galaxy-J7-6-New-2016-Edition-Gold.jpg,+/Samsung-Galaxy-J7-6-New-2016-Edition-Gold.jpg,/Samsung-Galaxy-J7-6-New-2016-Edition-Gold-Left.jpg;/Samsung-Galaxy-J7-6-New-2016-Edition-Gold-Back.jpg,,
OPMBNTFB0011,+/Samsung-Galaxy-On7-Black.jpg,+/Samsung-Galaxy-On7-Black.jpg,+/Samsung-Galaxy-On7-Black.jpg,/Samsung-Galaxy-On7-Black-Left.jpg;/Samsung-Galaxy-On7-Black-Back.jpg,,
OPMBNTFB0013,+/Samsung-Galaxy-On5-Gold.jpg,+/Samsung-Galaxy-On5-Gold.jpg,+/Samsung-Galaxy-On5-Gold.jpg,/Samsung-Galaxy-On5-Gold.jpg;/Samsung-Galaxy-On5-Gold-Right.jpg,,
OPMBNTFB0016,+/Samsung-Galaxy-J7-6-2016-Edition-Black.jpg,+/Samsung-Galaxy-J7-6-2016-Edition-Black.jpg,+/Samsung-Galaxy-J7-6-2016-Edition-Black.jpg,/Samsung-Galaxy-J7-6-2016-Edition-Black-Right.jpg;/Samsung-Galaxy-J7-6-2016-Edition-Black-Back.jpg,,
OPMBNTFB0018,+/Moto-G5-Plus-Lunar-Grey.jpg,+/Moto-G5-Plus-Lunar-Grey.jpg,+/Moto-G5-Plus-Lunar-Grey.jpg,/Moto-G5-Plus-Lunar-Grey-Left.jpg;/Moto-G5-Plus-Lunar-Grey-Back.jpg,,
OPMBNTFB0283,+/InFocus-M370i-White.jpg,+/InFocus-M370i-White.jpg,+/InFocus-M370i-White.jpg,/InFocus-M370i-White-right.jpg;/InFocus-M370i-White-Left.jpg;/InFocus-M370i-White-Back.jpg,,
OPMBNTFB0241,+/Infocus-M260-White-Black.jpg,+/Infocus-M260-White-Black.jpg,+/Infocus-M260-White-Black.jpg,/Infocus-M260-White-Black-right.jpg;/Infocus-M260-White-Black-left.jpg,,
OPMBNTFB0187,+/Infocus-M430-White.jpg,+/Infocus-M430-White.jpg,+/Infocus-M430-White.jpg,/Infocus-M430-White-right.jpg;/Infocus-M430-White-left.jpg,,
OPMBNTFB0256,+/Panasonic-Eluga-Turbo-Champagne-Gold.jpg,+/Panasonic-Eluga-Turbo-Champagne-Gold.jpg,+/Panasonic-Eluga-Turbo-Champagne-Gold.jpg,/Panasonic-Eluga-Turbo-Champagne-Gold.jpg;/Panasonic-Eluga-Turbo-Champagne-Gold-Left.jpg,,
OPMBNTFB0073,+/Phicomm-E670-Black.jpg,+/Phicomm-E670-Black.jpg,+/Phicomm-E670-Black.jpg,/Phicomm-E670-Black-Left.jpg;/Phicomm-E670-Black-Back.jpg,,
OPMBNTFB0204,+/Blackberry-Passport-Black.jpg,+/Blackberry-Passport-Black.jpg,+/Blackberry-Passport-Black.jpg,/Blackberry-Passport-Black.jpg;/Blackberry-Passport-Black-Back.jpg,,
OPMBNTFB0327,+/Xolo-A500S-Black.jpg,+/Xolo-A500S-Black.jpg,+/Xolo-A500S-Black.jpg,/Xolo-A500S-Black-Right.jpg;/Xolo-A500S-Black-Back.jpg,,
OPMBNTFB0688,+/Xiaomi-Redmi-1s-Black.jpg,+/Xiaomi-Redmi-1s-Black.jpg,+/Xiaomi-Redmi-1s-Black.jpg,,,
OPMBNTFB0613,+/lg-g4-white.jpg,+/lg-g4-white.jpg,+/lg-g4-white.jpg,/lg-g4-white-right.jpg;/lg-g4-white-left.jpg,,
