sku,status
QCNBB000055,1
QCNBB000084,1
QCNBB000553,1
QCNBB000707,1
QCNBB000726,1
QCNBB000785,1
QCNBB000805,1
QCNBB000981,1
QCNBB000987,1
QCNBB001105,1
QCNBB001107,1
QCNBB001133,1
QCNBB001156,1
QCNBB001193,1
QCNBB001194,1
QCNBB001224,1
QCNBB001235,1
QCNBB001237,1
QCNBB001239,1
QCNBB001242,1
QCNBB001243,1
QCNBB001252,1
QCNBB001258,1
QCNBB001262,1
QCNBB001263,1
QCNBB001264,1
QCNBB001266,1
QCNBB001271,1
QCNBB001273,1
QCNBB001274,1
QCNBB001277,1
QCNBB001278,1
QCNBB001279,1
QCNBB001281,1
QCNBB001289,1
QCNBB001298,1
QCNBB001301,1
QCNBB001307,1
QCNBB001310,1
QCNBB001311,1
QCNBB001312,1
QCNBB001315,1
QCNBB001316,1
QCNBB001320,1
QCNBB001321,1
QCNBB001329,1
QCNBB001331,1
QCNBB001332,1
QCNBB001333,1
QCNBB001370,1
QCNBB001527,1
QCPNBK00241,1
SYGNBQB0068,1
SYGNBQB0086,1
SYGNBQB0097,1
SYGNBQB0118,1
SYGNBQB0214,1
SYGNBQB0217,1
