sku,image,small_image,thumbnail,
SYGNBQB0326,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001840,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001843,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001849,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001853,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001876,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
SYGNBQB0399,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001888,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001889,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001890,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001892,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001896,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001901,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001903,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001907,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
SYGNBQB0072,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000064,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000066,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000067,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000081,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000082,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000083,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000084,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000085,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000087,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000089,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
SYGNBAS0399,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000103,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000106,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000117,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000118,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000124,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000125,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000145,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000150,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000162,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000164,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000166,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000169,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000170,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBA000171,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
QCNBB001978,+/Compaq.jpg,+/Compaq.jpg,+/Compaq.jpg,
