sku,status
QCNBA000158,1
QCNBA000145,1
QCNBA000150,1
QCNBA000155,1
QCNBA000157,1
QCNBA000162,1
QCNBA000163,1
QCNBA000164,1
QCNBA000166,1
QCNBA000169,1
QCNBA000170,1
QCNBA000064,1
QCNBA000067,1
QCNBA000072,1
QCNBA000078,1
QCNBA000081,1
QCNBA000084,1
QCNBA000087,1
QCNBA000089,1
QCNBA000151,1
QCNBA000066,1
QCNBA000165,1
QCNBA000168,1
QCNBA000068,1
QCNBA000070,1
QCNBA000065,1
QCNBA000148,1
QCNBA000077,1
QCNBA000079,1
QCNBA000088,1
QCNBA000092,1
QCNBA000171,1
QCNBA000172,1
QCNBA000159,1
QCNBA000212,1
QCNBA000214,1
QCNBA000080,1
QCNBA000091,1
QCNBA000074,1
QCNBA000082,1
QCNBA000085,1
QCNBA000086,1
QCNBA000090,1
QCNBA000093,1
QCNBA000199,1
QCNBA000210,1
QCNBA000069,1
QCNBA000083,1
QCNBA000071,1
QCNBA000075,1
QCNBA000144,1
QCNBA000147,1
QCNBA000156,1
QCNBA000219,1
QCNBA000160,1
QCNBA000073,1
QCNBA000076,1
QCNBA000190,1
QCNBA000220,1
QCNBA000178,1
QCNBA000152,1
QCNBA000153,1
QCNBA000192,1
QCNBA000176,1
QCNBA000179,1
QCNBA000181,1
QCNBA000187,1
QCNBA000197,1
QCNBA000205,1
QCNBA000175,1
QCNBA000184,1
QCNBA000185,1
QCNBA000186,1
QCNBA000191,1
QCNBA000193,1
QCNBA000194,1
QCNBA000200,1
QCNBA000209,1
QCNBA000213,1
QCNBA000217,1
QCNBA000202,1
QCNBA000183,1
QCNBA000189,1
QCNBA000204,1
QCNBA000174,1
QCNBA000180,1
QCNBA000182,1
QCNBA000203,1
QCNBA000206,1
QCNBA000218,1
QCNBA000221,1
QCNBA000149,1
QCNBA000177,1
QCNBA000195,1
QCNBA000198,1
QCNBA000201,1
QCNBA000211,1
QCNBA000173,1
QCNBA000207,1
QCNBA000216,1
QCNBA000146,1
QCNBA000208,1
QCNBA000215,1
QCNBA000196,1
QCNBA000188,1
QCNBA000154,1
QCNBA000167,1
QCNBA000161,1
