sku,description,short_description,imp_desc
NEWMOB00319,"<ul><li>5.50-inch display </li>
<li>Resolution of 720 81280 pixels</li>
<li>1.6GHz quad-core processor </li></ul>
","<ul><li>5.50-inch display </li>
<li>Resolution of 720 81280 pixels</li>
<li>1.6GHz quad-core processor </li></ul>
","<ul><li>5.50-inch display </li>
<li>Resolution of 720 81280 pixels</li>
<li>1.6GHz quad-core processor </li></ul>
"
NEWMOB00038,"<ul><li>Display - 5.00 inches</li>
<li>Front Camera - 2 MP </li>
<li>Rear Camera  - 8 MP</li>
<li>OS -Android (Lollipop)</li>
<li>Processor - 1.4GHz quad-core</li></ul>
","<ul><li>Display - 5.00 inches</li>
<li>Front Camera - 2 MP </li>
<li>Rear Camera  - 8 MP</li>
<li>OS -Android (Lollipop)</li>
<li>Processor - 1.4GHz quad-core</li></ul>
","<ul><li>Display - 5.00 inches</li>
<li>Front Camera - 2 MP </li>
<li>Rear Camera  - 8 MP</li>
<li>OS -Android (Lollipop)</li>
<li>Processor - 1.4GHz quad-core</li></ul>
"
NEWMOB00303,"<ul><li>5.50-inch display </li>
<li>Resolution of 720 81280 pixels</li>
<li>1.6GHz quad-core processor </li></ul>
","<ul><li>5.50-inch display </li>
<li>Resolution of 720 81280 pixels</li>
<li>1.6GHz quad-core processor </li></ul>
","<ul><li>5.50-inch display </li>
<li>Resolution of 720 81280 pixels</li>
<li>1.6GHz quad-core processor </li></ul>
"
NEWMOB00043,"<ul><li>CPU - Quad-core 1.4 GHz Cortex-A53 </li>
<li>Primary Camera - 13 M </li>
<li>Secondary Camera - 5 MP </li></ul>
","<ul><li>CPU - Quad-core 1.4 GHz Cortex-A53 </li>
<li>Primary Camera - 13 M </li>
<li>Secondary Camera - 5 MP </li></ul>
","<ul><li>CPU - Quad-core 1.4 GHz Cortex-A53 </li>
<li>Primary Camera - 13 M </li>
<li>Secondary Camera - 5 MP </li></ul>
"
NEWMOB00041,"<ul><li>CPU - Quad-core 1.4 GHz Cortex-A53 </li>
<li>Primary Camera - 13 M </li>
<li>Secondary Camera - 5 MP </li></ul>
","<ul><li>CPU - Quad-core 1.4 GHz Cortex-A53 </li>
<li>Primary Camera - 13 M </li>
<li>Secondary Camera - 5 MP </li></ul>
","<ul><li>CPU - Quad-core 1.4 GHz Cortex-A53 </li>
<li>Primary Camera - 13 M </li>
<li>Secondary Camera - 5 MP </li></ul>
"
NEWMOB00032,"<ul><li>Display - 4.3 inches</li>
<li>Front Camera - No </li>
<li>Rear Camera  - 5 MP</li>
<li>OS -Android (Kitat)</li>
<li>Processor - 1.4GHz dual-core</li></ul>
","<ul><li>Display - 4.3 inches</li>
<li>Front Camera - No </li>
<li>Rear Camera  - 5 MP</li>
<li>OS -Android (Kitat)</li>
<li>Processor - 1.4GHz dual-core</li></ul>
","<ul><li>Display - 4.3 inches</li>
<li>Front Camera - No </li>
<li>Rear Camera  - 5 MP</li>
<li>OS -Android (Kitat)</li>
<li>Processor - 1.4GHz dual-core</li></ul>
"
NEWMOB00033,"<ul><li>Display - 4.3 inches</li>
<li>Front Camera - No </li>
<li>Rear Camera  - 5 MP</li>
<li>OS -Android (Kitat)</li>
<li>Processor - 1.4GHz dual-core</li></ul>
","<ul><li>Display - 4.3 inches</li>
<li>Front Camera - No </li>
<li>Rear Camera  - 5 MP</li>
<li>OS -Android (Kitat)</li>
<li>Processor - 1.4GHz dual-core</li></ul>
","<ul><li>Display - 4.3 inches</li>
<li>Front Camera - No </li>
<li>Rear Camera  - 5 MP</li>
<li>OS -Android (Kitat)</li>
<li>Processor - 1.4GHz dual-core</li></ul>
"
NEWMOB00022,"<ul><li>5.94 inch Quad HD Display</li>
<li>13MP Rear Camera </li>
<li> 2MP Front Camera</li>
<li>3220 mAh Battery</li>
<li>Qualcomm Snapdragon 805 Processor </li></ul>
","<ul><li>5.94 inch Quad HD Display</li>
<li>13MP Rear Camera </li>
<li> 2MP Front Camera</li>
<li>3220 mAh Battery</li>
<li>Qualcomm Snapdragon 805 Processor </li></ul>
","<ul><li>5.94 inch Quad HD Display</li>
<li>13MP Rear Camera </li>
<li> 2MP Front Camera</li>
<li>3220 mAh Battery</li>
<li>Qualcomm Snapdragon 805 Processor </li></ul>
"
NEWMOB00074,"<ul><li>5 inch Full HD Display</li>
<li>13MP Rear Camera</li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Battery</li>
<li>Quad Core 2.15GHz Processo </li></ul>
","<ul><li>5 inch Full HD Display</li>
<li>13MP Rear Camera</li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Battery</li>
<li>Quad Core 2.15GHz Processo </li></ul>
","<ul><li>5 inch Full HD Display</li>
<li>13MP Rear Camera</li>
<li>8MP Front Camera</li>
<li>3500 mAh Li-Ion Battery</li>
<li>Quad Core 2.15GHz Processo </li></ul>
"
NEWMOB00158,"<ul><li>3.5 inch HVGA Display</li>
<li>2MP Rear Camera</li>
<li>1300 mAh Li-Ion Battery</li>
<li>MTK Processor </li></ul>
","<ul><li>3.5 inch HVGA Display</li>
<li>2MP Rear Camera</li>
<li>1300 mAh Li-Ion Battery</li>
<li>MTK Processor </li></ul>
","<ul><li>3.5 inch HVGA Display</li>
<li>2MP Rear Camera</li>
<li>1300 mAh Li-Ion Battery</li>
<li>MTK Processor </li></ul>
"
