sku,grade
QCPNBK00243,B
QCNBB000001,B
QCNBB000002,B
QCNBB000003,B
QCNBB000004,B
QCNBB000005,B
QCNBB000006,B
QCNBB000007,B
QCNBB000008,B
QCNBB000009,B
QCNBB000010,B
QCNBB000011,B
QCNBB000012,B
QCNBB000013,B
QCNBB000014,B
QCNBB000015,B
QCNBB000016,B
QCNBB000017,B
QCNBB000018,B
QCNBB000019,B
QCNBB000020,B
QCNBB000021,B
QCNBB000022,B
QCNBB000023,B
QCNBB000024,B
QCNBB000025,B
QCNBB000026,B
QCNBB000027,B
QCNBB000028,B
QCNBB000029,B
QCNBB000030,B
QCNBB000031,B
QCNBB000032,B
QCNBB000033,B
QCNBB000034,B
QCNBB000035,B
QCNBB000036,B
QCNBB000037,B
QCNBB000038,B
QCNBB000039,B
QCNBB000040,B
QCNBB000041,B
QCNBB000042,B
QCNBB000043,B
QCNBB000044,B
QCNBB000045,B
QCNBB000046,B
QCNBB000047,B
QCNBB000048,B
QCNBB000050,B
QCNBB000051,B
QCNBB000052,B
QCNBB000053,B
QCNBB000054,B
QCNBB000055,B
QCNBB000056,B
QCNBB000057,B
QCNBB000058,B
QCNBB000059,B
QCNBB000060,B
QCNBB000061,B
QCNBB000062,B
QCNBB000063,B
QCNBB000064,B
QCNBB000065,B
QCNBB000066,B
QCNBB000067,B
QCNBB000068,B
QCNBB000069,B
QCNBB000070,B
QCNBB000071,B
QCNBB000072,B
QCNBB000073,B
QCNBB000074,B
QCNBB000075,B
QCNBB000076,B
QCNBB000077,B
QCNBB000078,B
QCNBB000079,B
QCNBB000080,B
QCNBB000081,B
QCNBB000082,B
QCNBB000083,B
QCNBB000084,B
QCNBB000085,B
QCNBB000086,B
QCNBB000087,B
QCNBB000088,B
QCNBB000089,B
QCNBB000090,B
QCNBB000091,B
QCNBB000092,B
QCNBB000093,B
QCNBB000094,B
QCNBB000095,B
QCNBB000096,B
QCNBB000097,B
QCNBB000098,B
QCNBB000099,B
QCNBB000100,B
QCNBB000101,B
QCNBB000102,B
QCNBB000103,B
QCNBB000104,B
QCNBB000105,B
QCNBB000106,B
QCNBB000107,B
QCNBB000108,B
QCNBB000109,B
QCNBB000110,B
QCNBB000111,B
QCNBB000112,B
QCNBB000114,B
QCNBB000115,B
QCNBB000116,B
QCNBB000117,B
QCNBB000118,B
QCNBB000119,B
QCNBB000120,B
QCNBB000121,B
QCNBB000122,B
QCNBB000123,B
QCNBB000124,B
QCNBB000125,B
QCNBB000126,B
QCNBB000127,B
QCNBB000128,B
QCNBB000129,B
QCNBB000130,B
QCNBB000131,B
QCNBB000132,B
QCNBB000133,B
QCNBB000134,B
QCNBB000135,B
QCNBB000136,B
QCNBB000137,B
QCNBB000138,B
QCNBB000139,B
QCNBB000140,B
QCNBB000141,B
QCNBB000142,B
QCNBB000143,B
QCNBB000144,B
QCNBB000145,B
QCNBB000146,B
QCNBB000147,B
QCNBB000148,B
QCNBB000149,B
QCNBB000152,B
QCNBB000153,B
QCNBB000154,B
QCNBB000155,B
QCNBB000156,B
QCNBB000157,B
QCNBB000158,B
QCNBB000159,B
QCNBB000160,B
QCNBB000163,B
QCNBB000164,B
QCNBB000165,B
QCNBB000166,B
QCNBB000167,B
QCNBB000168,B
QCNBB000169,B
QCNBB000170,B
QCNBB000171,B
QCNBB000172,B
QCNBB000173,B
QCNBB000174,B
QCNBB000175,B
QCNBB000176,B
QCNBB000177,B
QCNBB000178,B
QCNBB000179,B
QCNBB000181,B
QCNBB000182,B
QCNBB000183,B
QCNBB000184,B
QCNBB000185,B
QCNBB000186,B
QCNBB000187,B
QCNBB000188,B
QCNBB000189,B
QCNBB000191,B
QCNBB000192,B
QCNBB000193,B
QCNBB000194,B
QCNBB000195,B
QCNBB000196,B
QCNBB000197,B
QCNBB000198,B
QCNBB000199,B
QCNBB000200,B
QCNBB000201,B
QCNBB000202,B
QCNBB000204,B
QCNBB000205,B
QCNBB000206,B
QCNBB000207,B
QCNBB000208,B
QCNBB000209,B
QCNBB000210,B
QCNBB000211,B
QCNBB000212,B
QCNBB000214,B
QCNBB000215,B
QCNBB000216,B
QCNBB000217,B
QCNBB000218,B
QCNBB000219,B
QCNBB000220,B
QCNBB000221,B
QCNBB000222,B
QCNBB000223,B
QCNBB000224,B
QCNBB000225,B
QCNBB000226,B
QCNBB000227,B
QCNBB000228,B
QCNBB000229,B
QCNBB000230,B
QCNBB000231,B
QCNBB000232,B
QCNBB000233,B
QCNBB000234,B
QCNBB000235,B
QCNBB000236,B
QCNBB000237,B
QCNBB000238,B
QCNBB000239,B
QCNBB000240,B
QCNBB000241,B
QCNBB000242,B
QCNBB000243,B
QCNBB000244,B
QCNBB000245,B
QCNBB000246,B
QCNBB000247,B
QCNBB000248,B
QCNBB000249,B
QCNBB000250,B
QCNBB000251,B
QCNBB000252,B
QCNBB000253,B
QCNBB000254,B
QCNBB000255,B
QCNBB000256,B
QCNBB000257,B
QCNBB000258,B
QCNBB000259,B
QCNBB000260,B
QCNBB000261,B
QCNBB000262,B
QCNBB000263,B
QCNBB000264,B
QCNBB000266,B
QCNBB000267,B
QCNBB000268,B
QCNBB000269,B
QCNBB000270,B
QCNBB000271,B
QCNBB000272,B
QCNBB000273,B
QCNBB000274,B
QCNBB000275,B
QCNBB000276,B
QCNBB000277,B
QCNBB000278,B
QCNBB000279,B
QCNBB000280,B
QCNBB000281,B
QCNBB000282,B
QCNBB000283,B
QCNBB000285,B
QCNBB000286,B
QCNBB000287,B
QCNBB000288,B
QCNBB000289,B
QCNBB000290,B
QCNBB000291,B
QCNBB000292,B
QCNBB000293,B
QCNBB000294,B
QCNBB000295,B
QCNBB000296,B
QCNBB000297,B
QCNBB000298,B
QCNBB000299,B
QCNBB000300,B
QCNBB000301,B
QCNBB000302,B
QCNBB000303,B
QCNBB000304,B
QCNBB000305,B
QCNBB000306,B
QCNBB000307,B
QCNBB000308,B
QCNBB000309,B
QCNBB000310,B
QCNBB000311,B
QCNBB000312,B
QCNBB000313,B
QCNBB000314,B
QCNBB000315,B
QCNBB000316,B
QCNBB000317,B
QCNBB000318,B
QCNBB000319,B
QCNBB000320,B
QCNBB000321,B
QCNBB000322,B
QCNBB000323,B
QCNBB000328,B
QCNBB000331,B
QCNBB000333,B
QCNBB000339,B
QCNBB000341,B
QCNBB000342,B
QCNBB000346,B
QCNBB000347,B
QCNBB000348,B
QCNBB000350,B
QCNBB000351,B
QCNBB000352,B
QCNBB000354,B
QCNBB000355,B
QCNBB000356,B
QCNBB000357,B
QCNBB000358,B
QCNBB000359,B
QCNBB000360,B
QCNBB000361,B
QCNBB000362,B
QCNBB000363,B
QCNBB000364,B
QCNBB000365,B
QCNBB000366,B
QCNBB000367,B
QCNBB000368,B
QCNBB000369,B
QCNBB000370,B
QCNBB000371,B
QCNBB000372,B
QCNBB000373,B
QCNBB000374,B
QCNBB000375,B
QCNBB000376,B
QCNBB000377,B
QCNBB000378,B
QCNBB000379,B
QCNBB000380,B
QCNBB000381,B
QCNBB000382,B
QCNBB000384,B
QCNBB000385,B
QCNBB000386,B
QCNBB000387,B
QCNBB000388,B
QCNBB000389,B
QCNBB000390,B
QCNBB000391,B
QCNBB000392,B
QCNBB000393,B
QCNBB000395,B
QCNBB000396,B
QCNBB000397,B
QCNBB000398,B
QCNBB000399,B
QCNBB000400,B
QCNBB000401,B
QCNBB000402,B
QCNBB000403,B
QCNBB000404,B
QCNBB000405,B
QCNBB000406,B
QCNBB000408,B
QCNBB000409,B
QCNBB000410,B
QCNBB000411,B
QCNBB000412,B
QCNBB000413,B
QCNBB000414,B
QCNBB000415,B
QCNBB000416,B
QCNBB000417,B
QCNBB000418,B
QCNBB000420,B
QCNBB000421,B
QCNBB000422,B
QCNBB000423,B
QCNBB000424,B
QCNBB000425,B
QCNBB000426,B
QCNBB000427,B
QCNBB000431,B
QCNBB000432,B
QCNBB000433,B
QCNBB000434,B
QCNBB000435,B
QCNBB000436,B
QCNBB000437,B
QCNBB000438,B
QCNBB000499,B
QCNBB000500,B
QCNBB000501,B
QCNBB000502,B
QCNBB000503,B
QCNBB000504,B
QCNBB000505,B
QCNBB000506,B
QCNBB000507,B
QCNBB000508,B
QCNBB000509,B
QCNBB000510,B
QCNBB000511,B
QCNBB000512,B
QCNBB000513,B
QCNBB000514,B
QCNBB000515,B
QCNBB000516,B
QCNBB000517,B
QCNBB000518,B
QCNBB000519,B
QCNBB000520,B
QCNBB000521,B
QCNBB000522,B
QCNBB000523,B
QCNBB000524,B
QCNBB000525,B
QCNBB000526,B
QCNBB000527,B
QCNBB000528,B
QCNBB000529,B
QCNBB000530,B
QCNBB000531,B
QCNBB000532,B
QCNBB000533,B
QCNBB000534,B
QCNBB000535,B
QCNBB000536,B
QCNBB000537,B
QCNBB000538,B
QCNBB000539,B
QCNBB000540,B
QCNBB000541,B
QCNBB000542,B
QCNBB000543,B
QCNBB000544,B
QCNBB000545,B
QCNBB000546,B
QCNBB000547,B
QCNBB000548,B
QCNBB000549,B
QCNBB000550,B
QCNBB000551,B
QCNBB000552,B
QCNBB000553,B
QCNBB000554,B
QCNBB000555,B
QCNBB000556,B
QCNBB000557,B
QCNBB000558,B
QCNBB000559,B
QCNBB000560,B
QCNBB000561,B
QCNBB000562,B
QCNBB000563,B
QCNBB000564,B
QCNBB000565,B
QCNBB000566,B
QCNBB000567,B
QCNBB000568,B
QCNBB000569,B
QCNBB000570,B
QCNBB000571,B
QCNBB000572,B
QCNBB000573,B
QCNBB000574,B
QCNBB000575,B
QCNBB000576,B
QCNBB000577,B
QCNBB000578,B
QCNBB000579,B
QCNBB000580,B
QCNBB000581,B
QCNBB000582,B
QCNBB000583,B
QCNBB000584,B
QCNBB000585,B
QCNBB000586,B
QCNBB000587,B
QCNBB000588,B
QCNBB000589,B
QCNBB000590,B
QCNBB000591,B
QCNBB000592,B
QCNBB000593,B
QCNBB000594,B
QCNBB000595,B
QCNBB000596,B
QCNBB000597,B
QCNBB000598,B
QCNBB000599,B
QCNBB000600,B
QCNBB000601,B
QCNBB000602,B
QCNBB000603,B
QCNBB000604,B
QCNBB000605,B
QCNBB000606,B
QCNBB000607,B
QCNBB000608,B
QCNBB000609,B
QCNBB000610,B
QCNBB000611,B
QCNBB000612,B
QCNBB000613,B
QCNBB000614,B
QCNBB000615,B
QCNBB000616,B
QCNBB000617,B
QCNBB000618,B
QCNBB000619,B
QCNBB000620,B
QCNBB000621,B
QCNBB000622,B
QCNBB000623,B
QCNBB000624,B
QCNBB000625,B
QCNBB000626,B
QCNBB000627,B
QCNBB000628,B
QCNBB000629,B
QCNBB000630,B
QCNBB000631,B
QCNBB000632,B
QCNBB000633,B
QCNBB000634,B
QCNBB000635,B
QCNBB000636,B
QCNBB000637,B
QCNBB000638,B
QCNBB000639,B
QCNBB000640,B
QCNBB000641,B
QCNBB000642,B
QCNBB000643,B
QCNBB000644,B
QCNBB000646,B
QCNBB000647,B
QCNBB000648,B
QCNBB000649,B
QCNBB000650,B
QCNBB000651,B
QCNBB000652,B
QCNBB000653,B
QCNBB000654,B
QCNBB000655,B
QCNBB000049,B
QCNBB000113,B
QCNBB000150,B
QCNBB000151,B
QCNBB000161,B
QCNBB000180,B
QCNBB000190,B
QCNBB000213,B
QCNBB000324,B
QCNBB000325,B
QCNBB000326,B
QCNBB000327,B
QCNBB000329,B
QCNBB000330,B
QCNBB000332,B
QCNBB000334,B
QCNBB000335,B
QCNBB000336,B
QCNBB000337,B
QCNBB000338,B
QCNBB000340,B
QCNBB000343,B
QCNBB000344,B
QCNBB000345,B
QCNBB000349,B
QCNBB000353,B
QCNBB000394,B
QCNBB000407,B
QCNBB000419,B
QCNBB000428,B
QCNBB000657,B
QCNBB000662,B
QCNBB000663,B
QCNBB000664,B
QCNBB000672,B
QCNBB000673,B
QCNBB000674,B
QCNBB000675,B
QCNBB000678,B
QCNBB000702,B
QCNBB000703,B
QCNBB000704,B
QCNBB000705,B
QCNBB000706,B
QCNBB000707,B
QCNBB000708,B
QCNBB000709,B
QCNBB000710,B
QCNBB000711,B
QCNBB000712,B
QCNBB000713,B
QCNBB000714,B
QCNBB000715,B
QCNBB000717,B
QCNBB000718,B
QCNBB000719,B
QCNBB000722,B
QCNBB000723,B
QCNBB000724,B
QCNBB000725,B
QCNBB000726,B
QCNBB000727,B
QCNBB000728,B
QCNBB000729,B
QCNBB000730,B
QCNBB000731,B
QCNBB000732,B
QCNBB000734,B
QCNBB000736,B
QCNBB000737,B
QCNBB000738,B
QCNBB000739,B
QCNBB000740,B
QCNBB000742,B
QCNBB000743,B
QCNBB000744,B
QCNBB000745,B
QCNBB000747,B
QCNBB000748,B
QCNBB000749,B
QCNBB000750,B
QCNBB000751,B
QCNBB000752,B
QCNBB000753,B
QCNBB000754,B
QCNBB000755,B
QCNBB000757,B
QCNBB000758,B
QCNBB000760,B
QCNBB000761,B
QCNBB000762,B
QCNBB000763,B
QCNBB000764,B
QCNBB000383,B
QCNBB000645,B
QCNBB000716,B
QCNBB000720,B
QCNBB000721,B
QCNBB000733,B
QCNBB000735,B
QCNBB000741,B
QCNBB000746,B
QCNBB000756,B
QCNBB000759,B
QCNBB000877,B
QCNBB000816,B
QCNBB000779,B
QCNBB000802,B
QCNBB000804,B
QCNBB000822,B
QCNBB000796,B
QCNBB000795,B
QCNBB000817,B
QCNBB000775,B
QCNBB000815,B
QCNBB000771,B
QCNBB000787,B
QCNBB000785,B
QCNBB000788,B
QCNBB000798,B
QCNBB000780,B
QCNBB000797,B
QCNBB000777,B
QCNBB000806,B
QCNBB000792,B
QCNBB000826,B
QCNBB000656,B
QCNBB000669,B
QCNBB000784,B
QCNBB000824,B
QCNBB000823,B
QCNBB000818,B
QCNBB000808,B
QCNBB000821,B
QCNBB000768,B
QCNBB000776,B
QCNBB000813,B
QCNBB000793,B
QCNBB000812,B
QCNBB000781,B
QCNBB000772,B
QCNBB000783,B
QCNBB000814,B
QCNBB000791,B
QCNBB000810,B
QCNBB000809,B
QCNBB000774,B
QCNBB000790,B
QCNBB000807,B
QCNBB000811,B
QCNBB000825,B
QCNBB000658,B
QCNBB000660,B
QCNBB000676,B
QCNBB000769,B
QCNBB000778,B
QCNBB000799,B
QCNBB000801,B
QCNBB000789,B
QCNBB000786,B
QCNBB000800,B
QCNBB000782,B
QCNBB000770,B
QCNBB000803,B
QCNBB000820,B
QCNBB000819,B
QCNBB000767,B
QCNBB000794,B
QCNBB000668,B
QCNBB000677,B
QCNBB000692,B
QCNBB000667,B
QCNBB000827,B
QCNBB000828,B
QCNBB000829,B
QCNBB000830,B
QCNBB000831,B
QCNBB000832,B
QCNBB000833,B
QCNBB000834,B
QCNBB000835,B
QCNBB000836,B
QCNBB000837,B
QCNBB000838,B
QCNBB000878,B
QCNBB000879,B
QCNBB000880,B
SYGNBQB0011,B
QCNBB000882,B
QCNBB000883,B
QCNBB000884,B
QCNBB000885,B
QCNBB000886,B
QCNBB000887,B
SYGNBQB0012,B
QCNBB000889,B
SYGNBQB0013,B
QCNBB000891,B
QCNBB000892,B
QCNBB000893,B
QCNBB000894,B
QCNBB000895,B
QCNBB000896,B
QCNBB000897,B
QCNBB000898,B
QCNBB000899,B
QCNBB000900,B
QCNBB000901,B
QCNBB000902,B
QCNBB000903,B
QCNBB000904,B
SYGNBQB0014,B
QCNBB000906,B
SYGNBQB0015,B
QCNBB000908,B
QCNBB000909,B
QCNBB000910,B
QCNBB000911,B
QCNBB000912,B
QCNBB000913,B
QCNBB000914,B
QCNBB000915,B
QCNBB000917,B
QCNBB000918,B
QCNBB000919,B
QCNBB000920,B
QCNBB000921,B
QCNBB000922,B
QCNBB000923,B
SYGNBQB0016,B
QCNBB000925,B
QCNBB000926,B
QCNBB000927,B
QCNBB000928,B
QCNBB000929,B
QCNBB000930,B
QCNBB000931,B
QCNBB000932,B
QCNBB000933,B
QCNBB000916,B
SYGNBQB0017,B
SYGNBQB0018,B
SYGNBQB0020,B
SYGNBQB0021,B
SYGNBQB0023,B
SYGNBQB0024,B
SYGNBQB0025,B
SYGNBQB0026,B
SYGNBQB0027,B
SYGNBQB0028,B
SYGNBQB0029,B
SYGNBQB0030,B
SYGNBQB0031,B
SYGNBQB0032,B
SYGNBQB0033,B
SYGNBQB0034,B
SYGNBQB0035,B
SYGNBQB0036,B
SYGNBQB0037,B
SYGNBQB0038,B
SYGNBQB0040,B
SYGNBQB0041,B
SYGNBQB0042,B
SYGNBQB0043,B
SYGNBQB0044,B
SYGNBQB0045,B
SYGNBQB0047,B
SYGNBQB0048,B
SYGNBQB0049,B
SYGNBQB0050,B
SYGNBQB0051,B
SYGNBQB0052,B
SYGNBQB0053,B
SYGNBQB0054,B
SYGNBQB0056,B
SYGNBQB0057,B
SYGNBQB0058,B
SYGNBQB0059,B
SYGNBQB0060,B
SYGNBQB0061,B
SYGNBQB0062,B
SYGNBQB0063,B
SYGNBQB0064,B
SYGNBQB0065,B
SYGNBQB0066,B
SYGNBQB0067,B
SYGNBQB0068,B
SYGNBQB0069,B
SYGNBQB0070,B
SYGNBQB0071,B
SYGNBQB0073,B
QCNBB000934,B
QCNBB000935,B
QCNBB000936,B
QCNBB000937,B
QCNBB000938,B
QCNBB000939,B
QCNBB000940,B
QCNBB000941,B
QCNBB000942,B
QCNBB000943,B
QCNBB000944,B
QCNBB000945,B
QCNBB000946,B
QCNBB000947,B
QCNBB000948,B
QCNBB000949,B
QCNBB000950,B
QCNBB000951,B
QCNBB000952,B
QCNBB000953,B
QCNBB000954,B
QCNBB000955,B
QCNBB000956,B
QCNBB000957,B
QCNBB000958,B
QCNBB000959,B
QCNBB000960,B
QCNBB000961,B
QCNBB000962,B
