sku,status
QCNBA000099,1
QCNBA000101,1
QCNBA000110,1
QCNBA000111,1
QCNBA000118,1
QCNBA000120,1
QCNBA000124,1
QCNBA000104,1
QCNBA000113,1
QCNBA000117,1
QCNBA000119,1
QCNBA000125,1
QCNBA000103,1
QCNBA000102,1
QCNBA000106,1
QCNBA000112,1
QCNBA000100,1
QCNBA000116,1
QCNBA000108,1
QCNBA000114,1
QCNBA000105,1
QCNBA000143,1
QCNBA000095,1
QCNBA000098,1
QCNBA000138,1
QCNBA000136,1
QCNBA000094,1
QCNBA000131,1
QCNBA000140,1
QCNBA000097,1
QCNBA000115,1
QCNBA000121,1
QCNBA000109,1
QCNBA000130,1
QCNBA000135,1
QCNBA000133,1
QCNBA000139,1
QCNBA000107,1
QCNBA000134,1
QCNBA000096,1
QCNBA000122,1
QCNBA000126,1
QCNBA000141,1
QCNBA000129,1
QCNBA000123,1
QCNBA000127,1
QCNBA000128,1
QCNBA000137,1
QCNBA000132,1
QCNBA000142,1
