store,websites,attribute_set,type,category_ids,sku,name,image,small_image,thumbnail,gallery,warrenty,price,weight,visibility,tax_class_id,brands,sim_type,camera,mapped_status,color,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,model_no,weights,sim_size,secondary_camera,video_recording,hd_recording,touch_screen,internet_features,edge,gprs,usb_connectivity,audio_jack,preinstalled_browser,navigation_technology,nfc,wifi,dlna,three_g,talk_time,standby_time,operating_freq,in_the_box,dimensions_size,handset_color,mobile_bluetooth,sensors,mobile_ram,mobile_battery_type,mobile_fm,mobile_4g,status,processor,display_size,primary_camera,internal_storage,mobile_phone_type,mobile_display_type,mobile_warranty_summary,mobile_sim,mobile_operating_system,product_category_type
admin,base,Mobiles,simple,"4,112",ASMBA000107,ASUS ZENFONE 5 (8GB) ASIS (NO RETURNS),/a/s/asus-zenfone-5-a501cg-black1_3.jpg,/a/s/asus-zenfone-5-a501cg-black1_3.jpg,/a/s/asus-zenfone-5-a501cg-black1_3.jpg,"/asus-zenfone-5-a501cg-black2.jpg,/asus-zenfone-5-a501cg-black3.jpg",No Warranty,0.00,145,"Catalog, Search",GST0.24,Asus,"Dual, GSM + GSM",,No,,"<ul><li>Display - 5.00 inch</li>
<li>Processor - 1.6GHz dual-core</li>
<li>Front Camera -2 Megapixel</li>
<li>Resolution-720x1280 pixels</li>
<li>OS -Android 4.3</li>
<li>Storage - 8 GB</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.00 inch</li>
<li>Processor - 1.6GHz dual-core</li>
<li>Front Camera -2 Megapixel</li>
<li>Resolution-720x1280 pixels</li>
<li>OS -Android 4.3</li>
<li>Storage - 8 GB</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display - 5.00 inch</li>
<li>Processor - 1.6GHz dual-core</li>
<li>Front Camera -2 Megapixel</li>
<li>Resolution-720x1280 pixels</li>
<li>OS -Android 4.3</li>
<li>Storage - 8 GB</li>
<li>Rear Camera - 8 megapixel</li></ul>
",0,0,ASUS ZENFONE 5 (8GB) ASIS (NO RETURNS),simple,Zenfone 5 A501CG,145,,2.0 Megapixel,Yes,,Yes,,,,Yes,3.5 mm,,,,Yes,,Yes,,,,,148.2 x 72.8 x 10.3 mm (5.83 x 2.87 x 0.41 in),,Yes,,2 GB,2110 mAh,Yes,,2,1.2 GHz,12.7 cm (5.0 Inches),8.0 Megapixel,8 GB,Smartphone,IPS,No Warranty,Dual sim,Android (KitKat),ASISMOB-A
admin,base,Mobiles,simple,"4,112",ASMBA000108,XIAOMI MI NOTE 4G (8GB) ASIS (NO RETURNS),/x/i/xiaomi-mi-note.jpg,/x/i/xiaomi-mi-note.jpg,/x/i/xiaomi-mi-note.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",No Warranty,0.00,0.2,"Catalog, Search",GST0.24,,,,No,,"<ul><li>13MP primary camera</li>
<li>5MP front facing camera</li>
<li>5.5-inch (13.97 centimeters) display </li>
<li>1280 x 720 pixels resolution</li>
<li>Android v4.4 KitKat operating system</li>
<li>1.6GHz quad core processor</li>
<li>3100mAH lithium-polymer battery</li></ul>
","<ul><li>13MP primary camera</li>
<li>5MP front facing camera</li>
<li>5.5-inch (13.97 centimeters) display </li>
<li>1280 x 720 pixels resolution</li>
<li>Android v4.4 KitKat operating system</li>
<li>1.6GHz quad core processor</li>
<li>3100mAH lithium-polymer battery</li></ul>
","<ul><li>13MP primary camera</li>
<li>5MP front facing camera</li>
<li>5.5-inch (13.97 centimeters) display </li>
<li>1280 x 720 pixels resolution</li>
<li>Android v4.4 KitKat operating system</li>
<li>1.6GHz quad core processor</li>
<li>3100mAH lithium-polymer battery</li></ul>
",0,0,XIAOMI MI NOTE 4G (8GB) ASIS (NO RETURNS),simple,Redmi Note 4G,0.2,,5 Megapixel,Yes,,Yes,,,,Yes,3.5 mm,,,,Yes,,Yes,,,,,,,Yes,,1 GB,3100 mAh,Yes,Yes,2,"1.6 GHz, Quad Core",13.97 cm (5.5 Inches),13 Megapixel,8 GB,Smartphone,IPS LCD,No Warranty,Single,Android (Jelly Bean),ASISMOB-A
admin,base,Mobiles,simple,"4,112",ASMBA000109,APPLE IPHONE 5 (32GB) ASIS (NO RETURNS),/a/p/apple-iphone-5-white-16gb-1_3.jpg,/a/p/apple-iphone-5-white-16gb-1_3.jpg,/a/p/apple-iphone-5-white-16gb-1_3.jpg,"/Apple-iPhone-5s-Silver2.jpg,/Apple-iPhone-5s-Silver3.jpg",No Warranty,0.00,0.2,"Catalog, Search",GST0.24,Apple,,,No,,"<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 6.1.4</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 6.1.4</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 6.1.4</li>
<li>Rear Camera - 8 megapixel</li></ul>
",0,0,APPLE IPHONE 5 (32GB) ASIS (NO RETURNS),simple,iPhone 5,0.2,,1.2 Megapixel,Yes,,Yes,,,,Yes,3.5 mm,,,,Yes,,Yes,,,,,,,Yes,,1 GB,1440 mAh,,,2,"1.3 Ghz, Dual Core",10.16 cm (4.0 Inches),8.0 Megapixel,32 GB,Smartphone,IPS LCD,No Warranty,Single sim,iOS 6,ASISMOB-A
admin,base,Mobiles,simple,"4,112",ASMBA000110,APPLE IPHONE 5S (32GB) ASIS (NO RETURNS),/a/p/apple-iphone-5s.jpg,/a/p/apple-iphone-5s.jpg,/a/p/apple-iphone-5s.jpg,"/Apple-iPhone-5s-Gold2.jpg,/Apple-iPhone-5s-Gold3.jpg",No Warranty,0.00,0.2,"Catalog, Search",GST0.24,Apple,,,No,,"<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 7</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 7</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 7</li>
<li>Rear Camera - 8 megapixel</li></ul>
",0,0,APPLE IPHONE 5S (32GB) ASIS (NO RETURNS),simple,iPhone 5S,0.2,,1.2 Megapixel,Yes,,Yes,,,,Yes,3.5 mm,,,,Yes,,Yes,,,,,,,Yes," Three-axis Gyro Sensor, Digital Compass, Ambient Light Sensor, Proximity Sensor, Accelerometer, Fingerprint Identity Sensor",1 GB,1440 mAh,,,2,"1.3 Ghz, Dual Core",10.16 cm (4.0 Inches),8.0 Megapixel,32 GB,Smartphone,IPS LCD,No Warranty,Single sim,iOS v9,ASISMOB-A
admin,base,Mobiles,simple,"4,112",ASMBA000111,APPLE IPHONE 6S (64GB) ASIS (NO RETURNS),/a/p/apple-iphone-6s-_16-gb_.jpg,/a/p/apple-iphone-6s-_16-gb_.jpg,/a/p/apple-iphone-6s-_16-gb_.jpg,"/apple-iphone-6-plus-silver2.jpg,/apple-iphone-6-plus-silver3.jpg,/apple-iphone-6-plus-silver4.jpg,/apple-iphone-6-plus-silver5.jpg",No Warranty,0.00,0.2,"Catalog, Search",GST0.24,Apple,"Single, LTE",,No,,"<ul><li>Single, LTE</li><li>12 Megapixel</li><li>LED-backlit IPS LCD</li><li>4.7 Inches</li><li>iOS v9</li></ul>","<ul><li>Single, LTE</li><li>12 Megapixel</li><li>LED-backlit IPS LCD</li><li>4.7 Inches</li><li>iOS v9</li></ul>","<ul><li>Single, LTE</li><li>12 Megapixel</li><li>LED-backlit IPS LCD</li><li>4.7 Inches</li><li>iOS v9</li></ul>",0,0,APPLE IPHONE 6S (64GB) ASIS (NO RETURNS),simple,iPhone 6S,0.2,Nano Sim,5.0 Megapixel,"Yes, Full HD",,Yes,Email,Yes,Yes,Yes,3.5 mm,Safari,"A-GPS, GLONASS, with Google Maps",Yes,"Yes, 802.11 a/b/g/n/ac",,Yes,14 hrs (3G),250 hrs (2G),"GSM - 850, 900, 1800, 1900; UMTS - 850, 900, 1700, 1900, 2100; 4G LTE (TD) - Band 38/39/40/41","Handset, Apple EarPods with Remote and Mic, Lightning to USB Cable, USB Power Adapter, SIM Slot Remover Tool",67.1x138.3x7.1 mm,,"Yes, v4.2","Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",2 GB,1715 mAh,,Yes,2,"1.84 GHz + A9 Chip with 64-bit Architecture and M9 Motion Co-processor, Dual Core",11.94 cm (4.7 Inches),12 Megapixel,64 GB,Smartphone,,No Warranty,Single sim,iOS v9,ASISMOB-A
admin,base,Mobiles,simple,"4,112",ASMBA000112,Redmi Note 3 (16 GB) ASIS (NO RETURNS),/r/e/redmi-note-3-_16-gb_.jpg,/r/e/redmi-note-3-_16-gb_.jpg,/r/e/redmi-note-3-_16-gb_.jpg,"/samsung-galaxy-s3-neo-gt-i9300i-black2.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black3.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black4.jpg,/samsung-galaxy-s3-neo-gt-i9300i-black5.jpg",No Warranty,0.00,0.2,"Catalog, Search",GST0.24,Mi,"Dual, GSM + LTE",,No,Gold,"<ul><li>Screen Size: 5.5 inches</li>
<li>Speed: 1.4 GHz</li>
<li>OS: Android 5.1 (Lollipop)</li>
<li>Sensor Resolution: 16MP</li></ul>
","<ul><li>Screen Size: 5.5 inches</li>
<li>Speed: 1.4 GHz</li>
<li>OS: Android 5.1 (Lollipop)</li>
<li>Sensor Resolution: 16MP</li></ul>
","<ul><li>Screen Size: 5.5 inches</li>
<li>Speed: 1.4 GHz</li>
<li>OS: Android 5.1 (Lollipop)</li>
<li>Sensor Resolution: 16MP</li></ul>
",0,0,Redmi Note 3 (16 GB) ASIS (NO RETURNS),simple,Redmi Note 3 32 GB,0.2,Micro SIM & Nano SIM,5.0 Megapixel,"Yes, Full HD",,Yes,,,,Yes,3.5 mm,,,,Yes,,Yes,,,,,,Gold,Yes,,2 GB,4000 mAh,Yes,Yes,2,1.8 GHz Qualcomm Snapdragan,13.97 cm (5.5 Inches),16 Megapixel,16 GB,Smartphone,HD IPS,No Warranty,Dual sim,Android (Lollipop),ASISMOB-A
admin,base,Mobiles,simple,"4,112",ASMBA000113,APPLE IPHONE 5S (64GB) ASIS (NO RETURNS),/a/p/apple-iphone-5s.jpg,/a/p/apple-iphone-5s.jpg,/a/p/apple-iphone-5s.jpg,"/Apple-iPhone-5s-Gold2.jpg,/Apple-iPhone-5s-Gold3.jpg",No Warranty,0.00,0.2,"Catalog, Search",GST0.24,Apple,,,No,,"<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 7</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 7</li>
<li>Rear Camera - 8 megapixel</li></ul>
","<ul><li>Display -4.00 inch</li>
<li>Processor - 1.3GHz dual-core</li>
<li>Front Camera -1.2 Megapixel</li>
<li>Resolution-640x1136pixels</li>
<li>OS -iOS 7</li>
<li>Rear Camera - 8 megapixel</li></ul>
",0,0,APPLE IPHONE 5S (64GB) ASIS (NO RETURNS),simple,iPhone 5S,0.2,,1.2 Megapixel,Yes,,Yes,,,,Yes,3.5 mm,,,,Yes,,Yes,,,,,,,Yes," Three-axis Gyro Sensor, Digital Compass, Ambient Light Sensor, Proximity Sensor, Accelerometer, Fingerprint Identity Sensor",1 GB,1440 mAh,,,2,"1.3 Ghz, Dual Core",10.16 cm (4.0 Inches),8.0 Megapixel,64 GB,Smartphone,IPS LCD,No Warranty,Single sim,iOS v9,ASISMOB-A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
