sku,warrenty,laptop_warranty_summary
REFDE00041,1 Year  Warranty.,1 Year  Warranty.
REFDE00079,1 Year  Warranty.,1 Year  Warranty.
REFDE00105,1 Year  Warranty.,1 Year  Warranty.
REFDE00111,1 Year  Warranty.,1 Year  Warranty.
REFDE00113,1 Year  Warranty.,1 Year  Warranty.
REFDE00117,1 Year  Warranty.,1 Year  Warranty.
REFDE00186,1 Year  Warranty.,1 Year  Warranty.
REFDE00222,1 Year  Warranty.,1 Year  Warranty.
REFDE00281,1 Year  Warranty.,1 Year  Warranty.
REFDE00347,1 Year  Warranty.,1 Year  Warranty.
REFDE00348,1 Year  Warranty.,1 Year  Warranty.
REFDE00349,1 Year  Warranty.,1 Year  Warranty.
REFDE00350,1 Year  Warranty.,1 Year  Warranty.
REFDE00351,1 Year  Warranty.,1 Year  Warranty.
REFDE00352,1 Year  Warranty.,1 Year  Warranty.
REFDE00353,1 Year  Warranty.,1 Year  Warranty.
REFDE00354,1 Year  Warranty.,1 Year  Warranty.
