sku,status
OPMBNTFB0018,2
OPMBNTFB0028,2
OPMBNTFB0038,2
OPMBNTFB0026,2
OPMBNTFB0035,2
OPMBNTFB0093,2
OPMBNTFB0017,2
OPMBNTFB0037,2
OPMBNTFB0023,2
OPMBNTFB0021,2
OPMBNTFB0020,2
OPMBNTFB0058,2
OPMBNTFB0001,2
OPMBNTFB0019,2
OPMBNTFB0006,2
OPMBNTFB0272,2
OPMBNTFB0067,2
OPMBNTFB0648,2
OPMBNTFB0761,2
OPMBNTFB0036,2
OPMBNTFB0436,2
OPMBNTFB0031,2
OPMBNTFB0465,2
OPMBNTFB0555,2
OPMBNTFB0004,2
OPMBNTFB0012,2
OPMBNTFB0040,2
OPMBNTFB0609,2
OPMBNTFB0022,2
OPMBNTFB0048,2
opmbntfb0053,2
OPMBNTFB0059,2
OPMBNTFB0103,2
OPMBNTFB0598,2
OPMBNTFB0003,2
OPMBNTFB0033,2
OPMBNTF0083,2
OPMBNTFB0016,2
OPMBNTFB0052,2
OPMBNTFB0065,2
OPMBNTFB0204,2
OPMBNTFB0570,2
OPMBNTF0304,2
OPMBNTFB0015,2
OPMBNTFB0041,2
OPMBNTFB0063,2
OPMBNTFB0081,2
OPMBNTFB0086,2
OPMBNTFB0099,2
OPMBNTFB0113,2
OPMBNTFB0118,2
OPMBNTFB0120,2
OPMBNTFB0153,2
OPMBNTFB0185,2
OPMBNTFB0566,2
OPMBNTFB0603,2
OPMBNTFB0643,2
OPMBNTFB0662,2
OPMBNTFB0670,2
OPMBNTFB0704,2
