sku,status
OPMBNTF0252,1
OPMBNTFB0025,1
OPMBNTFB0007,1
OPMBNTFB0676,1
OPMBNTF0035,1
OPMBNTF0039,1
OPMBNTFB0252,1
OPMBNTFB0752,1
OPMBNTFB0107,1
OPMBNTFB0552,1
OPMBNTF0716,1
OPMBNTFB0551,1
OPMBNTF0268,1
OPMBNTF0272,1
OPMBNTFB0030,1
OPMBNTFB0051,1
OPMBNTFB0070,1
OPMBNTFB0115,1
opmbntfB0158,1
OPMBNTF0041,1
OPMBNTF0794,1
opmbntfb0008,1
OPMBNTFB0009,1
OPMBNTFB0024,1
OPMBNTFB0073,1
OPMBNTFB0076,1
OPMBNTFB0106,1
OPMBNTFB0463,1
OPMBNTFB0661,1
OPMBNTFB0738,1
OPMBNTFB0793,1
OPMBNTF0030,1
OPMBNTF0068,1
OPMBNTF0107,1
OPMBNTF0130,1
OPMBNTF0159,1
OPMBNTF0598,1
OPMBNTF0753,1
opmbntfb0010,1
OPMBNTFB0032,1
OPMBNTFB0033,1
OPMBNTFB0039,1
OPMBNTFB0068,1
OPMBNTFB0201,1
OPMBNTFB0207,1
OPMBNTFB0751,1
OPMBNTF0022,1
OPMBNTF0036,1
OPMBNTF0040,1
OPMBNTF0134,1
OPMBNTF0151,1
OPMBNTF0265,1
OPMBNTF0369,1
OPMBNTF0650,1
OPMBNTF0676,1
OPMBNTF0727,1
OPMBNTFB0002,1
OPMBNTFB0065,1
OPMBNTFB0078,1
OPMBNTFB0079,1
OPMBNTFB0140,1
OPMBNTFB0151,1
OPMBNTFB0219,1
OPMBNTFB0228,1
OPMBNTFB0235,1
OPMBNTFB0471,1
OPMBNTFB0564,1
OPMBNTFB0638,1
OPMBNTFB0645,1
OPMBNTFB0668,1
OPMBNTFB0723,1
OPMBNTFB0729,1
OPMBNTFB0750,1
OPMBNTFB0753,1
OPMBNTFB0758,1
OPMBNTFB0787,1
OPMBNTF0027,1
OPMBNTF0032,1
OPMBNTF0037,1
OPMBNTF0069,1
OPMBNTF0073,1
OPMBNTF0075,1
OPMBNTF0077,1
OPMBNTF0114,1
OPMBNTF0125,1
OPMBNTF0146,1
OPMBNTF0161,1
OPMBNTF0200,1
OPMBNTF0297,1
OPMBNTF0308,1
OPMBNTF0463,1
OPMBNTF0465,1
OPMBNTF0466,1
OPMBNTF0486,1
OPMBNTF0495,1
OPMBNTF0532,1
OPMBNTF0543,1
OPMBNTF0571,1
OPMBNTF0583,1
OPMBNTF0629,1
OPMBNTF0651,1
OPMBNTF0652,1
OPMBNTF0673,1
OPMBNTF0678,1
OPMBNTF0701,1
OPMBNTF0703,1
OPMBNTF0725,1
OPMBNTF0790,1
OPMBNTFB0014,1
OPMBNTFB0042,1
OPMBNTFB0045,1
OPMBNTFB0049,1
OPMBNTFB0084,1
OPMBNTFB0125,1
OPMBNTFB0130,1
OPMBNTFB0133,1
OPMBNTFB0137,1
OPMBNTFB0139,1
OPMBNTFB0141,1
OPMBNTFB0145,1
OPMBNTFB0173,1
opmbntfb0181,1
OPMBNTFB0184,1
OPMBNTFB0192,1
OPMBNTFB0202,1
OPMBNTFB0213,1
OPMBNTFB0218,1
OPMBNTFB0221,1
OPMBNTFB0245,1
OPMBNTFB0248,1
OPMBNTFB0262,1
OPMBNTFB0266,1
OPMBNTFB0268,1
OPMBNTFB0294,1
OPMBNTFB0295,1
OPMBNTFB0299,1
OPMBNTFB0304,1
OPMBNTFB0312,1
OPMBNTFB0315,1
OPMBNTFB0321,1
OPMBNTFB0363,1
OPMBNTFB0364,1
OPMBNTFB0373,1
OPMBNTFB0417,1
OPMBNTFB0482,1
OPMBNTFB0487,1
OPMBNTFB0509,1
OPMBNTFB0518,1
OPMBNTFB0520,1
OPMBNTFB0523,1
OPMBNTFB0540,1
OPMBNTFB0557,1
OPMBNTFB0579,1
OPMBNTFB0602,1
OPMBNTFB0624,1
OPMBNTFB0651,1
OPMBNTFB0652,1
OPMBNTFB0654,1
OPMBNTFB0662,1
OPMBNTFB0674,1
OPMBNTFB0688,1
OPMBNTFB0707,1
OPMBNTFB0711,1
OPMBNTFB0737,1
OPMBNTFB0739,1
OPMBNTFB0741,1
OPMBNTFB0754,1
OPMBNTFB0757,1
OPMBNTFB0759,1
OPMBNTFB0760,1
OPMBNTFB0766,1
OPMBNTFB0767,1
OPMBNTFB0790,1
