name,sku
"Lenovo T420(Core i7 2640M 2.80GHz/4GB/320GB 14"")R8-HEM7T",QCNBB002000
"Lenovo T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV62D",QCNBB002001
"Lenovo T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV69E",QCNBB002002
"Lenovo T420(Core i7 2620M 2.80GHz/4GB/320GB 14"")R8-VV61B",QCNBB002003
"Lenovo T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV62G",QCNBB002004
"Lenovo T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VP5FN",QCNBB002005
"Lenovo T420(Core i7 2620M 2.80GHz/4GB/320GB 14"")R8-VV71Y",QCNBB002006
"Lenovo T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV61N",QCNBB002007
"Lenovo T420(Core i7 2620M 2.70GHz/4GB/320GB 14"")R8-VV70M",QCNBB002008
"LenovoG50-30(Pentium N3540 2.16GHz/2GB/500GB 15.6"")PF03BPR6",QCNBB002009
"LenovoG50(Core I3 4005U 1.70GHz/4GB/1TB 15.6"")PF0APVD8",QCNBB002010
"LenovoIdeapad Z580(Core I3 2370M 2.40GHz/2GB/750GB 15.6"")QB05439436",QCNBB002011
"LenovoG580(Pentium  B960 2.20GHz/2GB/500GB 15.6"")WB10771789",QCNBB002012
"LenovoFlex 2-14(Core I3 4030U 1.90GHz/4GB/500GB 14.1"")WB15446903",QCNBB002013
"LenovoFlex 2-14(Core i5 4210U 1.70GHz/4GB/500GB 14"")WB15306472",QCNBB002014
"LenovoFlex 2-14(Core I3 4030U 1.90GHz/4GB/500GB 14"")WB15167695",QCNBB002015
"LenovoFlex 2-14(Core i5 2410U 1.70GHz/4GB/500GB- 8GB SSHD 15.6"")WB15106661",QCNBB002016
"LenovoT440(Core i5 4200U 1.60GHz/4GB/500GB 11"")PC-01ZN06",QCNBB002017
"HP15-AC602TU(Celerino N3050 1.60GHz/4GB/500GB 15.6"")CND5530P0M",QCNBB002018
"LenovoG50-80(Core i5 4005U 1.70GHz/2GB/1TB 15.6"")PF0AY3W2",QCNBB002019
"LenovoFlex 2-14(Core I5 4210 /4GB/500GB 14"")WB15436720",QCNBB002020
"LenovoFlex 2-14(Core i3 4030 1.90GHz/4GB/500GB 14"")WB15378601",QCNBB002021
"LenovoIdeapad Z500(Core i5 3230M 2.60GHz/2GB/1TB 15.6"")CB24875823",QCNBB002022
"LenovoFlex 2-14(Core i5 4210U 1.70GHz/4GB/1TB 15.6"")WB15168302",QCNBB002023
"LenovoIDEAPAD FLEX 14(Core I5 4200U 1.60GHz/4GB/500GB 14.0"")QB07646767",QCNBB002024
