sku,status
OPMBNTF0019,2
OPMBNTFB0018,2
OPMBNTF0028,2
OPMBNTFB0028,2
OPMBNTF0038,2
OPMBNTFB0038,2
OPMBNTFB0029,2
OPMBNTFB0026,2
OPMBNTF0029,2
OPMBNTFB0037,2
OPMBNTFB0035,2
OPMBNTFB0021,2
OPMBNTF0643,2
OPMBNTFB0020,2
OPMBNTFB0019,2
OPMBNTF0584,2
OPMBNTF0711,2
OPMBNTFB0040,2
OPMBNTF0603,2
OPMBNTFB0067,2
OPMBNTFB0761,2
OPMBNTFB0465,2
OPMBNTFB0436,2
opmbntfb0053,2
OPMBNTFB0555,2
OPMBNTFB0059,2
OPMBNTFB0643,2
OPMBNTFB0609,2
OPMBNTF0496,2
OPMBNTFB0004,2
OPMBNTFB0646,2
OPMBNTFB0120,2
OPMBNTFB0012,2
OPMBNTFB0041,2
OPMBNTFB0603,2
OPMBNTFB0069,2
OPMBNTFB0113,2
OPMBNTFB0203,2
OPMBNTFB0015,2
OPMBNTF0600,2
OPMBNTFB0306,2
OPMBNTFB0167,2
OPMBNTF0249,2
OPMBNTF0632,2
OPMBNTF0462,2
OPMBNTFB0778,2
OPMBNTFB0694,2
OPMBNTF0131,2
OPMBNTFB0031,2
OPMBNTFB0048,2
OPMBNTF0098,2
OPMBNTFB0098,2
OPMBNTFB0648,2
OPMBNTFB0647,2
OPMBNTF0647,2
OPMBNTF0648,2
