store,websites,attribute_set,type,category_ids,sku,has_options,status,is_recurring,visibility,tax_class_id,ebizmarts_mark_visited,brands,remove_compare_link,cash_on_delivery,emi_option,free_home_delivery,hard_disk_drive_storage,graphic_card_memory,screen_details,cpu,storage_capacity,graphic_card_type,warranty,webcam,screen_size,segment,laptop_warranty_summary,laptop_screen_range,laptop_ram,laptop_operating_system,laptop_graphic_card_model,laptop_freebag,laptop_touchscreen,deal_on_active,deal_on,is_superdeal,laptop_processor,magebuzz_featured_product,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,offers,video,warrenty,product_label,model_no,cpu_speed,ram_type,hdd_type,card_reader,series_name,eb_code,laptop_optical_drive,laptop_colour,laptop_screen_type,laptop_adapter,laptop_battery,gr_ean,creareseo_discontinued,creareseo_discontinued_product,deals,pro_mainname,laptop_battery_backup,laptop_remark,nav_item_no,price,special_price,weight,msrp,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,gr_valid_through,description,short_description,meta_keyword,custom_layout_update,imp_desc,deals_desc,searchindex_weight,concated_description,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Laptops,simple,"3,11",QCNBA000222,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"DELL 3521(CPU-INTEL CORE(TM) I5-3317U@1.7GHZ/RAM-2GB/HDD-750GB/DISPLAY-15""/ ODD-YES/BATTERY 11.1V-65WH)CN0G9PWP12966338001DA00 ",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL 3521(CPU-INTEL CORE(TM) I5-3317U@1.7GHZ/RAM-2GB/HDD-750GB/DISPLAY-15""/ ODD-YES/BATTERY 11.1V-65WH)CN0G9PWP12966338001DA00 ",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000223,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"HP G6-1201TX(CPU-INTEL CORE™ I5-2430M@2.40GHZ/RAM-8GB/HDD-640GB/DISPLAY-15.6"" /ODD-YES/BATTERY-10.8V-47WH)5CD1387VP8",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"HP G6-1201TX(CPU-INTEL CORE™ I5-2430M@2.40GHZ/RAM-8GB/HDD-640GB/DISPLAY-15.6"" /ODD-YES/BATTERY-10.8V-47WH)5CD1387VP8",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000224,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"LENOVO T410(CPU-INTEL CORE(TM) I5-M520@2.40GHZ/RAM-4GB/HDD-150GB/DISPLAY-14""/ODD-YES/BATTERY -10.8V-57WH)1S2522W6SR88R5Y0",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO T410(CPU-INTEL CORE(TM) I5-M520@2.40GHZ/RAM-4GB/HDD-150GB/DISPLAY-14""/ODD-YES/BATTERY -10.8V-57WH)1S2522W6SR88R5Y0",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000225,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"Dell PP27LA(CPU-INTEL CORE I5-M520@2.40GHZ/RAM-1GB/HDD-150 GB/DISPLAY-14""/ODD-YES/BATTERY11.1V-60WH)36P2SM1",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"Dell PP27LA(CPU-INTEL CORE I5-M520@2.40GHZ/RAM-1GB/HDD-150 GB/DISPLAY-14""/ODD-YES/BATTERY11.1V-60WH)36P2SM1",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000226,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"DELL E6420(CPU-INTEL CORE™ I5-2520M@2.50GHZ/RAM-4GB/HDD-250GB/DISPLAY -15""/ODD-YES/BATTERY11.1V5.24AH)CN0K0DNP1296114CGG0QA01",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL E6420(CPU-INTEL CORE™ I5-2520M@2.50GHZ/RAM-4GB/HDD-250GB/DISPLAY -15""/ODD-YES/BATTERY11.1V5.24AH)CN0K0DNP1296114CGG0QA01",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000227,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON N5010(CPU-INTEL CORE™ I5-M480@2.67GHZ/RAM-4GB/HDD-500GB/DISPLAY -15""/ODD-YES/BATTERY-11.1V.47wh)CN0FCVWR70166139G0A9A00 ",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON N5010(CPU-INTEL CORE™ I5-M480@2.67GHZ/RAM-4GB/HDD-500GB/DISPLAY -15""/ODD-YES/BATTERY-11.1V.47wh)CN0FCVWR70166139G0A9A00 ",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000228,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"DELL N5110(CPU-INTEL CORE I5-2430M@2.4GHZ/RAM-2GB/HDD-500 GB/DISPLAY-14""/ODD-YES /BATTER-11.1V.48WH)CN02J65Y70166182G031A00",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL N5110(CPU-INTEL CORE I5-2430M@2.4GHZ/RAM-2GB/HDD-500 GB/DISPLAY-14""/ODD-YES /BATTER-11.1V.48WH)CN02J65Y70166182G031A00",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000229,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,DELL XPS L1502X(CPU-INTEL CORE I5-2430M@2.40GHZ/RAM-8GB/HDD-500 GB/DISPLAY-15/ODD-YES/BATTERY-11.1V-56WH)2V1Z8R1,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,DELL XPS L1502X(CPU-INTEL CORE I5-2430M@2.40GHZ/RAM-8GB/HDD-500 GB/DISPLAY-15/ODD-YES/BATTERY-11.1V-56WH)2V1Z8R1,0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000230,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"DELL N5010(CPU-INTEL CORE(TM) I5-M480@2.67GHZ/RAM-4GB/HDD-500GB/DISPLAY-14.5""/ODD-YES/BATTER-11.1V.48WH)4391586325",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL N5010(CPU-INTEL CORE(TM) I5-M480@2.67GHZ/RAM-4GB/HDD-500GB/DISPLAY-14.5""/ODD-YES/BATTER-11.1V.48WH)4391586325",0,simple,,
admin,base,Laptops,simple,"3,11",QCNBA000231,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,DELL LATITUDED E6400(CPU-INTEL CORE2 DUO-P8600@2.40GHZ/RAM-2GB/HDD-160GB/DISPLAY-14.1''/ODD-YES/BATTERY-11.1-90WH)BFSJ3BS,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,8/3/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,DELL LATITUDED E6400(CPU-INTEL CORE2 DUO-P8600@2.40GHZ/RAM-2GB/HDD-160GB/DISPLAY-14.1''/ODD-YES/BATTERY-11.1-90WH)BFSJ3BS,0,simple,,
