sku,status
QCMBB000197,Disabled
QCMBB000078,Disabled
QCMBB000285,Disabled
QCMBB000132,Disabled
QCMBB000245,Disabled
QCMBB000071,Disabled
QCMBA000017,Disabled
QCMBB000098,Disabled
QCMBB000072,Disabled
QCMBB000208,Disabled
QCMBB000288,Disabled
QCMBB000045,Disabled
QCMBB000284,Disabled
QCMBA000039,Disabled
QCMBB000079,Disabled
QCMBB000203,Disabled
QCMBB000204,Disabled
QCMBB000289,Disabled
QCMBB000226,Disabled
QCMBB000001,Disabled
QCMBB000073,Disabled
QCMBB000223,Disabled
QCMBB000246,Disabled
QCMBB000282,Disabled
QCMBB000290,Disabled
