sku,status
QCMBB000006,Disabled
QCMBB000030,Disabled
QCMBB000037,Disabled
QCMBB000069,Disabled
QCMBB000070,Disabled
QCMBB000084,Disabled
QCMBB000085,Disabled
QCMBB000088,Disabled
QCMBB000091,Disabled
QCMBB000109,Disabled
QCMBB000123,Disabled
QCMBB000147,Disabled
QCMBB000152,Disabled
QCMBB000153,Disabled
QCMBB000157,Disabled
QCMBB000179,Disabled
QCMBB000180,Disabled
QCMBB000183,Disabled
QCMBB000188,Disabled
QCMBB000192,Disabled
QCMBB000209,Disabled
QCMBB000216,Disabled
QCMBB000229,Disabled
QCMBB000238,Disabled
QCMBB000241,Disabled
QCMBB000251,Disabled
QCMBB000252,Disabled
QCMBB000255,Disabled
QCMBB000258,Disabled
QCMBB000259,Disabled
QCMBB000260,Disabled
