store,websites,attribute_set,type,category_ids,sku,has_options,status,is_recurring,visibility,tax_class_id,ebizmarts_mark_visited,brands,remove_compare_link,cash_on_delivery,emi_option,free_home_delivery,hard_disk_drive_storage,graphic_card_memory,screen_details,cpu,storage_capacity,graphic_card_type,warranty,webcam,screen_size,segment,laptop_warranty_summary,laptop_screen_range,laptop_ram,laptop_operating_system,laptop_graphic_card_model,laptop_freebag,laptop_touchscreen,deal_on_active,deal_on,is_superdeal,laptop_processor,magebuzz_featured_product,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,offers,video,warrenty,product_label,model_no
admin,base,mobile,simple,"4,112",ASMBA000107,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,ASUS ZENFONE 5 (16GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000108,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,REDMI NOTE 3 (32 GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000109,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,XIAOMI MI NOTE 3G (8GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000110,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,APPLE IPHONE 5 (32GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000111,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,APPLE IPHONE 6S (64GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000112,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,APPLE IPHONE 5S (64GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000113,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,SONY XPERIA SOLA,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000114,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,APPLE IPHONE 5C (8GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000115,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,SAMSUNG GALAXY POCKET NEO,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000116,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,APPLE IPHONE 5S (32GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000117,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,SAMSUNG GALAXY Y DUOS (B),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,112",ASMBA000118,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,Lenovo K4 Note 16GB,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,94",OPMBNTF0821,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,IBALL ANDI 5N DUDE 4GB GOLD,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,94",OPMBNTF0822,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,Apple iPhone 8 64GB Silver,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,94",OPMBNTF0823,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,LENOVO Z2 PLUS PA500016IN (BLACK 64GB),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0828,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,Samsung Galaxy A3 16GB PEARL WHITE,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0829,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,Samsung Galaxy A8 32GB GOLD,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0830,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,Apple iPhone 5 16GB BLACK,,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0831,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"DELL VENUE 8 3830 (2GB 32GB, BLACK)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0832,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,COOLPAD NOTE 3 PLUS (CHAMPAGNE-WHITE),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0833,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"MICROMAX CANVAS NITRO 2 E311 2GB (16GB, WHITE+GOLD)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0834,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,SAMSUNG GALAXY NOTE 1 (16GB BLACK),,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
admin,base,mobile,simple,"4,144",OPMBNTFB0835,0,Disabled,No,"Catalog, Search",GST0.24,No,,Yes,Yes,No,Yes,,,,,,,1 Year Warranty.,,,,1 Year Warranty.,,,,,No,No,No,,No,,0,"APPLE IPAD MINI ME276HN/A (SPACE GREY, 16 GB)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Year  Warranty.,,
