sku,tax_class_id
QCNBB000203,GST18
QCNBB000265,GST18
QCNBB000280,GST18
QCNBB000282,GST18
QCNBB000284,GST18
QCNBB000286,GST18
QCNBB000320,GST18
QCNBB000334,GST18
QCNBB000338,GST18
QCNBB000342,GST18
QCNBB000350,GST18
QCNBB000351,GST18
QCNBB000353,GST18
QCNBB000379,GST18
QCNBB000395,GST18
QCNBB000400,GST18
QCNBB000409,GST18
QCNBB000431,GST18
QCNBB000496,GST18
QCNBB000502,GST18
QCNBB000522,GST18
QCNBB000533,GST18
QCNBB000545,GST18
QCNBB000562,GST18
QCNBB000563,GST18
QCNBB000569,GST18
QCNBB000581,GST18
QCNBB000585,GST18
QCNBB000590,GST18
QCNBB000592,GST18
QCNBB000595,GST18
QCNBB000597,GST18
QCNBB000612,GST18
QCNBB000616,GST18
QCNBB000622,GST18
QCNBB000625,GST18
QCNBB000632,GST18
QCNBB000637,GST18
QCNBB000646,GST18
QCNBB000647,GST18
QCNBB000648,GST18
QCNBB000659,GST18
QCNBB000666,GST18
QCNBB000671,GST18
QCNBB000674,GST18
QCNBB000682,GST18
QCNBB000684,GST18
QCNBB000685,GST18
QCNBB000688,GST18
QCNBB000689,GST18
QCNBB000690,GST18
QCNBB000721,GST18
QCNBB000728,GST18
QCNBB000729,GST18
QCNBB000755,GST18
QCNBB000766,GST18
QCNBB000769,GST18
QCNBB001999,GST18
