sku,qty
QCNBB001201,1
QCNBB001243,1
QCNBB001254,1
QCNBB001279,1
QCNBB001317,1
QCNBB001330,1
QCNBB001378,1
QCNBB001396,1
QCNBB001397,1
QCNBB001403,1
QCNBB001407,1
QCNBB001428,1
QCNBB001430,1
QCNBB001431,1
QCNBB001435,1
QCNBB001437,1
QCNBB001438,1
QCNBB001439,1
QCNBB001444,1
QCNBB001450,1
QCNBB001530,1
QCNBB001607,1
QCNBB001641,1
QCNBB001653,1
QCNBB001671,1
QCNBB001747,1
QCNBB001751,1
QCNBB002063,1
SYGNBQB0151,1
SYGNBQB0152,1
SYGNBQB0154,1
SYGNBQB0176,1
SYGNBQB0181,1
SYGNBQB0183,1
SYGNBQB0197,1
SYGNBQB0291,1
SYGNBQB0294,1
SYGNBQB0019,1
SYGNBQB0257,1
SYGNBQB0489,1
SYGNBQB0513,1
SYGNBQB0572,1
SYGNBQB0573,1
SYGNBQB0574,1
SYGNBQB0575,1
SYGNBQB0576,1
SYGNBQB0577,1
SYGNBQB0583,1
SYGNBQB0587,1
SYGNBQB0589,1
SYGNBQB0592,1
SYGNBQB0593,1
QCNBB001389,1
QCNBB001054,1
QCNBB001408,1
QCNBB001425,1
QCNBB001436,1
SYGNBQB0267,1
QCNBB001078,1
QCNBB001320,1
QCNBB001329,1
QCNBB001766,1
QCNBA000009,1
QCNBA000032,1
QCNBA000045,1
QCNBA000047,1
QCNBA000060,1
QCNBA000094,1
QCNBA000095,1
QCNBA000167,1
QCNBA000192,1
QCNBA000224,1
QCNBA000249,1
QCNBB000097,1
QCNBB000205,1
QCNBB000213,1
QCNBB000298,1
QCNBB000325,1
QCNBB000329,1
QCNBB000336,1
QCNBB000341,1
QCNBB000513,1
QCNBB000525,1
QCNBB000530,1
QCNBB000555,1
QCNBB000802,1
QCNBB001391,1
QCNBB001393,1
QCNBB002059,1
SYGNBQB0083,1
SYGNBQB0101,1
SYGNBQB0155,1
SYGNBQB0186,1
SYGNBQB0230,1
SYGNBQB0273,1
SYGNBQB0039,1
SYGNBQB0061,1
SYGNBQB0072,1
SYGNBQB0099,1
SYGNBQB0164,1
SYGNBQB0201,1
SYGNBQB0202,1
SYGNBQB0203,1
SYGNBQB0204,1
SYGNBQB0205,1
SYGNBQB0206,1
SYGNBQB0207,1
SYGNBQB0208,1
SYGNBQB0215,1
SYGNBQB0216,1
SYGNBQB0217,1
SYGNBQB0218,1
SYGNBQB0219,1
SYGNBQB0220,1
SYGNBQB0221,1
SYGNBQB0223,1
SYGNBQB0224,1
SYGNBQB0225,1
SYGNBQB0226,1
SYGNBQB0228,1
SYGNBQB0231,1
SYGNBQB0234,1
SYGNBQB0238,1
SYGNBQB0239,1
SYGNBQB0240,1
SYGNBQB0241,1
SYGNBQB0246,1
SYGNBQB0251,1
SYGNBQB0284,1
SYGNBQB0293,1
SYGNBQB0297,1
SYGNBQB0300,1
SYGNBQB0429,1
SYGNBQB0496,1
SYGNBQB0500,1
SYGNBQB0504,1
SYGNBQB0531,1
SYGNBQB0532,1
SYGNBQB0533,1
SYGNBQB0535,1
SYGNBQB0536,1
SYGNBQB0537,1
SYGNBQB0538,1
SYGNBQB0539,1
SYGNBQB0540,1
SYGNBQB0541,1
SYGNBQB0543,1
SYGNBQB0544,1
SYGNBQB0546,1
SYGNBQB0547,1
SYGNBQB0548,1
SYGNBQB0549,1
SYGNBQB0550,1
SYGNBQB0551,1
SYGNBQB0553,1
SYGNBQB0554,1
SYGNBQB0559,1
SYGNBQB0561,1
SYGNBQB0565,1
SYGNBQB0567,1
SYGNBQB0588,1
QCNBA000026,1
QCNBA000044,1
QCNBA000132,1
QCNBA000146,1
QCNBB000817,1
SYGNBQB0270,1
SYGNBQB0296,1
SYGNBQB0305,1
QCNBA000010,1
QCNBA000012,1
QCNBA000122,1
QCNBA000198,1
QCNBB000261,1
QCNBB001510,1
QCNBB001756,1
QCNBB001757,1
QCNBB002030,1
QCNBB002031,1
QCNBB002035,1
QCNBB002037,1
QCNBB002038,1
QCNBB002039,1
QCNBB002041,1
QCNBB002042,1
QCNBB002043,1
QCNBB002044,1
QCNBB002047,1
QCNBB002048,1
QCNBB002049,1
QCNBB002050,1
QCNBB002051,1
QCNBB002052,1
QCNBB002053,1
QCNBB002056,1
QCNBB002058,1
QCNBB002060,1
SYGNBQB0160,1
SYGNBQB0274,1
QCNBA000043,1
QCNBA000177,1
SYGNBQB0280,1
QCNBB000146,1
QCNBB000315,1
QCNBB000412,1
QCNBB002000,1
QCNBB002001,1
QCNBB002002,1
QCNBB002003,1
QCNBB002004,1
QCNBB002005,1
QCNBB002006,1
QCNBB002007,1
QCNBB002008,1
SYGNBQB0165,1
SYGNBQB0479,1
SYGNBQB0263,1
SYGNBQB0063,1
QCNBA000142,1
SYGNBQB0138,1
SYGNBQB0140,1
SYGNBQB0141,1
SYGNBQB0143,1
SYGNBQB0144,1
SYGNBQB0145,1
QCNBB001792,1
QCNBB001819,1
QCNBB002057,1
SYGNBQB0485,1
SYGNBQB0118,1
QCNBA000288,93
QCNBA000283,1
QCNBA000005,1
QCNBA000006,1
QCNBA000016,1
QCNBA000027,1
QCNBA000029,1
QCNBA000030,1
QCNBA000031,1
QCNBA000033,1
QCNBA000034,1
QCNBA000035,1
QCNBA000038,1
QCNBA000053,1
QCNBA000055,1
QCNBA000066,1
QCNBA000077,1
QCNBA000110,1
QCNBA000118,1
QCNBA000124,1
QCNBA000144,1
QCNBA000148,1
QCNBA000155,1
QCNBA000162,1
QCNBA000169,1
QCNBA000276,1
QCNBB000371,1
QCNBB001740,1
QCNBB001797,1
QCNBB001877,1
QCNBB001940,1
QCNBB001974,1
QCNBB002046,1
QCNBB002061,1
SYGNBQB0495,1
SYGNBQB0505,1
SYGNBQB0506,1
QCNBA000285,1
QCNBA000286,1
QCNBB001143,1
SYGNBQB0524,1
QCNBA000062,1
QCNBB000808,1
QCNBB001198,1
QCNBB001204,1
QCNBB001251,1
QCNBB001300,1
QCNBA000114,1
QCNBB000422,1
QCNBB000515,1
QCNBB000765,1
QCNBB000785,1
QCNBB000987,1
QCNBB001195,1
