sku,qty
REFDE00098,2
REFDE00108,24
REFDE00011,1
REFDE00015,3
REFDE00034,3
REFDE00081,5
REFDE00110,9
REFDE00008,3
REFDE00028,5
REFDE00095,1
REFDE00101,4
REFDE00109,12
REFDE00100,3
REFDE00007,3
REFDE00091,4
REFDE00114,2
REFDE00126,1
REFDE00052,2
REFDE00075,2
REFDE00122,4
REFDE00128,1
REFDE00001,1
REFDE00002,1
REFDE00003,1
REFDE00017,3
REFDE00032,1
REFDE00036,1
REFDE00043,3
REFDE00053,1
REFDE00055,1
REFDE00086,1
REFDE00090,1
REFDE00111,5
REFDE00303,1
REFDE00115,1
REFDE00119,2
REFDE00124,1
REFDE00125,1
REFDE00127,3
REFDE00312,1
REFDE00193,3
REFDE00200,2
