sku,tax_class_id
QCNBA000462,GST18
QCNBA000414,GST18
QCNBA000415,GST18
QCNBA000416,GST18
QCNBA000418,GST18
QCNBA000420,GST18
QCNBA000421,GST18
QCNBA000422,GST18
QCNBA000423,GST18
QCNBA000424,GST18
QCNBA000425,GST18
QCNBA000426,GST18
QCNBA000427,GST18
QCNBA000430,GST18
QCNBA000431,GST18
QCNBA000433,GST18
QCNBA000434,GST18
QCNBA000436,GST18
QCNBA000438,GST18
QCNBA000439,GST18
QCNBA000440,GST18
QCNBA000441,GST18
QCNBA000442,GST18
QCNBA000445,GST18
QCNBA000446,GST18
QCNBA000447,GST18
QCNBA000448,GST18
QCNBA000449,GST18
QCNBA000450,GST18
QCNBA000451,GST18
QCNBA000453,GST18
QCNBA000454,GST18
QCNBA000455,GST18
QCNBA000458,GST18
QCNBA000459,GST18
QCNBA000460,GST18
QCNBA000461,GST18
QCNBA000463,GST18
QCNBA000474,GST18
QCNBA000476,GST18
QCNBA000477,GST18
QCNBA000478,GST18
QCNBA000479,GST18
QCNBA000480,GST18
QCNBA000482,GST18
QCNBA000484,GST18
QCNBA000485,GST18
QCNBA000487,GST18
QCNBA000489,GST18
QCNBA000492,GST18
