sku,status
QCNBA000395,Disabled
QCNBA000396,Disabled
QCNBA000397,Disabled
QCNBA000398,Disabled
QCNBA000399,Disabled
QCNBA000400,Disabled
QCNBA000401,Disabled
QCNBA000402,Disabled
QCNBA000403,Disabled
QCNBA000404,Disabled
QCNBA000405,Disabled
QCNBA000406,Disabled
QCNBA000407,Disabled
QCNBA000408,Disabled
QCNBA000409,Disabled
QCNBA000410,Disabled
QCNBA000411,Disabled
QCNBA000412,Disabled
QCNBA000413,Disabled
QCNBA000417,Disabled
QCNBA000419,Disabled
QCNBA000428,Disabled
QCNBA000429,Disabled
QCNBA000432,Disabled
QCNBA000435,Disabled
QCNBA000437,Disabled
QCNBA000443,Disabled
QCNBA000444,Disabled
QCNBA000452,Disabled
QCNBA000456,Disabled
QCNBA000457,Disabled
QCNBA000464,Disabled
QCNBA000465,Disabled
QCNBA000466,Disabled
QCNBA000467,Disabled
QCNBA000468,Disabled
QCNBA000469,Disabled
QCNBA000470,Disabled
QCNBA000471,Disabled
QCNBA000472,Disabled
QCNBA000473,Disabled
QCNBA000475,Disabled
QCNBA000481,Disabled
