sku,qty
NEWMOB00004,13
NEWMOB00351,11
NEWMOB00092,7
NEWMOB00325,5
NEWMOB00393,5
NEWMOB00381,4
NEWMOB00365,4
NEWMOB00419,4
NEWMOB00421,4
NEWTAB00024,3
NEWMOB00068,3
NEWMOB00071,3
NEWMOB00253,3
NEWMOB00320,3
NEWMOB00465,3
NEWMOB00124,3
NEWMOB00415,3
NEWMOB00370,3
NEWMOB00364,3
NEWMOB00064,2
NEWMOB00309,2
NEWMOB00394,2
NEWMOB00477,2
NEWMOB00294,2
NEWMOB00021,2
NEWMOB00379,2
NEWTAB00418,2
NEWMOB00396,2
NEWMOB00363,2
NEWMOB00417,2
NEWMOB00416,2
NEWMOB00003,2
NEWMOB00087,1
NEWMOB00110,1
NEWMOB00122,1
NEWMOB00116,1
NEWTAB00022,1
NEWMOB00386,1
NEWMOB00388,1
NEWMOB00258,1
NEWMOB00266,1
NEWMOB00347,1
NEWMOB00242,1
NEWTAB00027,1
NEWMOB00257,1
NEWMOB00302,1
NEWMOB00300,1
NEWMOB00304,1
NEWMOB00132,1
NEWMOB00137,1
NEWMOB00455,1
NEWMOB00028,1
NEWMOB00048,1
NEWMOB00045,1
NEWMOB00151,1
NEWMOB00237,1
NEWMOB00376,1
NEWMOB00085,1
NEWMOB00083,1
NEWMOB00349,1
