sku,qty
QCNBA000290,1
QCNBA000294,14
QCNBA000302,1
QCNBAG00518,145
QCNBAG00519,51
QCNBA000310,219
QCNBA000292,1
QCNBA000309,2
REFDE00128,1
QCNBA000503,1
QCNBA000507,1
QCNBA000509,1
QCNBA000511,1
QCNBA000512,1
QCNBA000513,1
QCNBA000514,1
QCNBA000515,1
QCNBA000516,1
QCNBAG00535,1
QCNBAG00536,1
QCNBAG00537,1
QCNBAG00538,1
QCNBAG00539,1
QCNBB002203,1
QCNBB002296,1
QCNBB002297,1
QCNBB002298,1
QCNBB002299,1
QCNBB002301,1
QCNBB002303,1
QCNBB002304,1
QCNBB002305,1
QCNBB002306,1
QCNBB002307,1
QCNBB002308,1
QCNBB002309,1
