sku,status
REFDE00006,Disabled
REFDE00008,Disabled
REFDE00019,Disabled
REFDE00021,Disabled
REFDE00027,Disabled
REFDE00028,Disabled
REFDE00034,Disabled
REFDE00043,Disabled
REFDE00052,Disabled
REFDE00086,Disabled
REFDE00091,Disabled
REFDE00100,Disabled
REFDE00106,Disabled
REFDE00108,Disabled
REFDE00109,Disabled
REFDE00111,Disabled
REFDE00113,Disabled
REFDE00147,Disabled
REFDE00148,Disabled
REFDE00155,Disabled
REFDE00161,Disabled
REFDE00161,Disabled
REFDE00193,Disabled
REFDE00194,Disabled
REFDE00196,Disabled
REFDE00200,Disabled
REFDE00201,Disabled
REFDE00204,Disabled
REFDE00205,Disabled
REFDE00206,Disabled
REFDE00210,Disabled
REFDE00212,Disabled
REFDE00213,Disabled
REFDE00216,Disabled
REFDE00217,Disabled
REFDE00218,Disabled
REFDE00221,Disabled
REFDE00225,Disabled
REFDE00228,Disabled
REFDE00229,Disabled
REFDE00232,Disabled
REFDE00237,Disabled
REFDE00238,Disabled
REFDE00246,Disabled
REFDE00248,Disabled
REFDE00268,Disabled
REFDE00312,Disabled
REFDE00313,Disabled
