sku,status,qty
OPNBNTF0037,Disabled,1
OPNBNTF0040,Disabled,1
OPNBNTF0002,Disabled,1
OPNBNTF0055,Disabled,1
OPNBNTF0232,Disabled,1
OPNBNTF0114,Disabled,1
OPNBNTF0027,Disabled,1
OPNBNTF0130,Disabled,1
OPNBNTF0302,Disabled,1
OPNBNTF0164,Disabled,1
OPNBNTF0028,Disabled,1
OPNBNTF0086,Disabled,1
OPNBNTF0228,Disabled,1
OPNBNTF0163,Disabled,1
OPNBNTF0128,Disabled,1
OPNBNTF0226,Disabled,1
OPNBNTF0170,Disabled,1
OPNBNTF0233,Disabled,1
OPNBNTF0238,Disabled,1
OPNBNTF0060,Disabled,1
OPNBNTF0143,Disabled,1
OPNBNTF0274,Disabled,1
OPNBNTF0162,Disabled,1
OPNBNTF0147,Disabled,1
OPNBNTF0161,Disabled,1
OPNBNTF0025,Disabled,1
OPNBNTF0179,Disabled,1
REFDE00218,Disabled,1
OPNBNTF0230,Disabled,1
OPNBNTF0234,Disabled,1
OPNBNTF0108,Disabled,1
OPNBNTF0237,Disabled,1
OPNBNTF0031,Disabled,1
OPNBNTF0101,Disabled,1
OPNBNTF0135,Disabled,1
OPNBNTF0136,Disabled,1
OPNBNTF0173,Disabled,1
OPNBNTF0201,Disabled,1
OPNBNTF0224,Disabled,1
OPNBNTF0249,Disabled,1
OPNBNTF0308,Disabled,1
OPNBNTF0309,Disabled,1
OPNBNTF0310,Disabled,1
OPNBNTF0312,Disabled,1
OPNBNTF0313,Disabled,1
OPNBNTF0314,Disabled,1
OPNBNTF0315,Disabled,1
OPNBNTF0316,Disabled,1
OPNBNTF0317,Disabled,1
REFDE00363,Disabled,1
OPNBNTF0059,Disabled,1
OPNBNTF0036,Disabled,1
OPNBNTF0131,Disabled,1
OPNBNTF0087,Disabled,1
OPNBNTF0103,Disabled,1
OPNBNTF0068,Disabled,1
OPNBNTF0304,Disabled,2
OPNBNTFB002,Disabled,2
OPNBNTF0148,Disabled,1
OPNBNTF0126,Disabled,1
OPNBNTF0236,Disabled,1
OPNBNTF0109,Disabled,1
OPNBNTF0318,Disabled,1
OPNBNTF0319,Disabled,1
OPNBNTF0320,Disabled,1
OPNBNTF0321,Disabled,1
OPNBNTF0235,Disabled,1
OPNBNTF0021,Disabled,1
OPNBNTF0025,Disabled,1
OPNBNTF0028,Disabled,1
OPNBNTF0060,Disabled,1
OPNBNTF0100,Disabled,2
OPNBNTF0128,Disabled,1
OPNBNTF0143,Disabled,1
OPNBNTF0161,Disabled,1
OPNBNTF0225,Disabled,2
QCNBAG00587,Disabled,1
QCNBAG00588,Disabled,1
QCNBAG00589,Disabled,1
QCNBAG00590,Disabled,1
QCNBAG00592,Disabled,1
QCNBAG00594,Disabled,1
QCNBAG00595,Disabled,1
QCNBAG00596,Disabled,1
QCNBAG00599,Disabled,1
QCNBAG00601,Disabled,1
QCNBAG00603,Disabled,1
QCNBAG00604,Disabled,1
QCNBAG00605,Disabled,1
QCNBAG00606,Disabled,1
QCNBAG00607,Disabled,1
QCNBAG00608,Disabled,1
QCNBAG00609,Disabled,1
QCNBAG00610,Disabled,1
QCNBAG00613,Disabled,1
QCNBAG00614,Disabled,1
QCNBAG00615,Disabled,1
QCNBAG00616,Disabled,1
QCNBB001259,Disabled,1
QCNBB002300,Disabled,1
QCNBA000520,Disabled,1
QCNBA000521,Disabled,1
QCNBAG00564,Disabled,1
QCNBAG00565,Disabled,1
QCNBAG00566,Disabled,1
QCNBAG00567,Disabled,1
QCNBAG00569,Disabled,1
QCNBAG00570,Disabled,1
QCNBAG00571,Disabled,1
QCNBAG00572,Disabled,1
QCNBAG00573,Disabled,1
QCNBAG00574,Disabled,1
QCNBAG00575,Disabled,1
QCNBAG00576,Disabled,1
QCNBAG00577,Disabled,1
QCNBAG00578,Disabled,1
QCNBB000830,Disabled,1
