sku,status,qty
OPNBNTF0037,Enabled,1
OPNBNTF0040,Enabled,1
OPNBNTF0002,Enabled,1
OPNBNTF0055,Enabled,1
OPNBNTF0232,Enabled,1
OPNBNTF0114,Enabled,2
OPNBNTF0027,Enabled,1
OPNBNTF0130,Enabled,1
OPNBNTF0302,Enabled,1
OPNBNTF0164,Enabled,1
OPNBNTF0028,Enabled,2
OPNBNTF0086,Enabled,1
OPNBNTF0228,Enabled,1
OPNBNTF0163,Enabled,1
OPNBNTF0128,Enabled,2
OPNBNTF0226,Enabled,1
OPNBNTF0170,Enabled,1
OPNBNTF0233,Enabled,1
OPNBNTF0238,Enabled,1
OPNBNTF0060,Enabled,2
OPNBNTF0143,Enabled,2
OPNBNTF0274,Enabled,1
OPNBNTF0162,Enabled,1
OPNBNTF0147,Enabled,1
OPNBNTF0161,Enabled,2
OPNBNTF0025,Enabled,2
OPNBNTF0179,Enabled,1
REFDE00218,Enabled,5
OPNBNTF0230,Enabled,1
OPNBNTF0234,Enabled,1
OPNBNTF0108,Enabled,1
OPNBNTF0237,Enabled,1
OPNBNTF0031,Enabled,1
OPNBNTF0101,Enabled,1
OPNBNTF0135,Enabled,2
OPNBNTF0136,Enabled,1
OPNBNTF0173,Enabled,1
OPNBNTF0201,Enabled,1
OPNBNTF0224,Enabled,1
OPNBNTF0249,Enabled,1
OPNBNTF0308,Enabled,1
OPNBNTF0309,Enabled,1
OPNBNTF0310,Enabled,1
OPNBNTF0312,Enabled,1
OPNBNTF0313,Enabled,1
OPNBNTF0314,Enabled,1
OPNBNTF0315,Enabled,1
OPNBNTF0316,Enabled,1
OPNBNTF0317,Enabled,1
REFDE00363,Enabled,1
OPNBNTF0059,Enabled,1
OPNBNTF0036,Enabled,1
OPNBNTF0131,Enabled,1
OPNBNTF0087,Enabled,1
OPNBNTF0103,Enabled,1
OPNBNTF0068,Enabled,1
OPNBNTF0304,Enabled,3
OPNBNTFB002,Enabled,2
OPNBNTF0148,Enabled,1
OPNBNTF0126,Enabled,1
OPNBNTF0236,Enabled,1
OPNBNTF0109,Enabled,1
OPNBNTF0318,Enabled,1
OPNBNTF0319,Enabled,1
OPNBNTF0320,Enabled,1
OPNBNTF0321,Enabled,1
OPNBNTF0235,Enabled,1
OPNBNTF0021,Enabled,1
OPNBNTF0025,Enabled,2
OPNBNTF0028,Enabled,2
OPNBNTF0060,Enabled,2
OPNBNTF0100,Enabled,4
OPNBNTF0128,Enabled,2
OPNBNTF0143,Enabled,2
OPNBNTF0161,Enabled,2
OPNBNTF0225,Enabled,4
QCNBAG00590,Enabled,1
QCNBAG00592,Enabled,1
QCNBAG00594,Enabled,1
QCNBAG00596,Enabled,1
QCNBAG00599,Enabled,1
QCNBAG00601,Enabled,1
QCNBAG00605,Enabled,1
QCNBAG00606,Enabled,1
QCNBAG00607,Enabled,1
QCNBAG00608,Enabled,1
QCNBAG00610,Enabled,1
QCNBAG00613,Enabled,1
QCNBAG00614,Enabled,1
QCNBAG00615,Enabled,1
QCNBAG00616,Enabled,1
QCNBB001259,Enabled,1
QCNBB002300,Enabled,1
QCNBA000521,Enabled,1
QCNBAG00564,Enabled,1
QCNBAG00566,Enabled,1
QCNBAG00567,Enabled,2
QCNBAG00569,Enabled,1
QCNBAG00571,Enabled,1
QCNBAG00572,Enabled,2
QCNBAG00573,Enabled,1
QCNBAG00574,Enabled,1
QCNBAG00575,Enabled,1
QCNBB000830,Enabled,1
