sku,name,product_name
OPNBNTF0037,"Lenovo A10-59388639 10.1-Inch Tablet (1.6Ghz Cortex A9/1 GB/16 GB/Android 4.2/Intel HD Graphics/10.1"")","Lenovo A10-59388639 10.1-Inch Tablet (1.6Ghz Cortex A9/1 GB/16 GB/Android 4.2/Intel HD Graphics/10.1"")"
OPNBNTF0040,"LENOVO IDEATAB-K3011W(ATOM Z2760 1.60GHZ/2GB/64GB/NO DVDRW/11.6"")","LENOVO IDEATAB-K3011W(ATOM Z2760 1.60GHZ/2GB/64GB/NO DVDRW/11.6"")"
OPNBNTF0002,"ASUS T100 Convertible Laptop (Atom Z3740/2GB/32GB/Intel HD Graphics/Win 8.1/10.1"" Touch)","ASUS T100 Convertible Laptop (Atom Z3740/2GB/32GB/Intel HD Graphics/Win 8.1/10.1"" Touch)"
OPNBNTF0055,"HP Pavilion S003TU Laptop (Celeron N3050/2GB/500GB/Intel HD Graphics/Dos/11.6"")","HP Pavilion S003TU Laptop (Celeron N3050/2GB/500GB/Intel HD Graphics/Dos/11.6"")"
OPNBNTF0232,"DELL INSPIRON 15-3552(PENTIUM N3700/4GB/500GB/DVD/15.6"")","DELL INSPIRON 15-3552(PENTIUM N3700/4GB/500GB/DVD/15.6"")"
OPNBNTF0114,"Dell Inspiron 15 3542 Laptop (4th Gen Core i3-4005U/4GB/500GB/Intel HD Graphics/Dos/15.6"")","Dell Inspiron 15 3542 Laptop (4th Gen Core i3-4005U/4GB/500GB/Intel HD Graphics/Dos/15.6"")"
OPNBNTF0027,"Lenovo G50-80 80E503G1IN Laptop (5th Gen Core i3-5005U/8GB/500GB/Integrated Graphics/Win 10/15.6"")","Lenovo G50-80 80E503G1IN Laptop (5th Gen Core i3-5005U/8GB/500GB/Integrated Graphics/Win 10/15.6"")"
OPNBNTF0130,"Dell Inspiron 15 3558 Laptop (5th Gen Core i3-5005U/4GB/1TB/Intel HD Graphics/Win 10/15.6"")","Dell Inspiron 15 3558 Laptop (5th Gen Core i3-5005U/4GB/1TB/Intel HD Graphics/Win 10/15.6"")"
OPNBNTF0302,DELL INSP 3558(CORE I3 5015U 2.10GHZ/4GB/1TB/15.6),DELL INSP 3558(CORE I3 5015U 2.10GHZ/4GB/1TB/15.6)
OPNBNTF0164,DELL INSPIRON-15-3542(CORE I3 4005U 1.70GHZ/4GB/500GB/DVDRW/15.6''),DELL INSPIRON-15-3542(CORE I3 4005U 1.70GHZ/4GB/500GB/DVDRW/15.6'')
OPNBNTF0028,"Lenovo G50-80 80E502Q8IH Laptop (5th Gen Core i3-5005U/4GB/1TB/Integrated Graphics.Dos/15.6"")","Lenovo G50-80 80E502Q8IH Laptop (5th Gen Core i3-5005U/4GB/1TB/Integrated Graphics.Dos/15.6"")"
OPNBNTF0086,"HP 14-AC171TU(CORE I3 5005U 2.00GHZ/4GB/1TB 14.0"")","HP 14-AC171TU(CORE I3 5005U 2.00GHZ/4GB/1TB 14.0"")"
OPNBNTF0228,"DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")","DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")"
OPNBNTF0163,"DELL INSPIRON 15 5559 LAPTOP (6TH GEN CORE I3-6100U/4GB/1TB/INTEGRATED GRAPHICS/WIN10/15.6"")","DELL INSPIRON 15 5559 LAPTOP (6TH GEN CORE I3-6100U/4GB/1TB/INTEGRATED GRAPHICS/WIN10/15.6"")"
OPNBNTF0128,"Dell Inspiron 15 5558 Laptop (4th Gen Core i3-4005U/4GB/500GB/2GB Graphics/Win 8/15.6"")","Dell Inspiron 15 5558 Laptop (4th Gen Core i3-4005U/4GB/500GB/2GB Graphics/Win 8/15.6"")"
OPNBNTF0226,"DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/500GB/DVD/15.6"")","DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/500GB/DVD/15.6"")"
OPNBNTF0170,DELL INSPIRON 3558 (CI3/4GB/1TB/UBUNTU),DELL INSPIRON 3558 (CI3/4GB/1TB/UBUNTU)
OPNBNTF0233,"DELL VOSTRO 14-3468(CORE I3 7100U 2.40GHZ/4GB/1TB/DVD/15.6"")","DELL VOSTRO 14-3468(CORE I3 7100U 2.40GHZ/4GB/1TB/DVD/15.6"")"
OPNBNTF0238,"DELL VOSTRO 15-3568(CORE I3 6006U 2.00GHZ/4GB/1TB/DVD/15.6"")","DELL VOSTRO 15-3568(CORE I3 6006U 2.00GHZ/4GB/1TB/DVD/15.6"")"
OPNBNTF0060,"HP 15-AC150TX Laptop (5th Gen Core i3-5005U/4GB/1TB/2GB Graphics/Dos/15.6"")","HP 15-AC150TX Laptop (5th Gen Core i3-5005U/4GB/1TB/2GB Graphics/Dos/15.6"")"
OPNBNTF0143,"DELL INSPIRON 11 3148 LAPTOP (4TH GEN CORE I3-4030U/4GB/500GB/INTEL HD GRAPHICS/WIN8/11.0"" TOUCH)","DELL INSPIRON 11 3148 LAPTOP (4TH GEN CORE I3-4030U/4GB/500GB/INTEL HD GRAPHICS/WIN8/11.0"" TOUCH)"
OPNBNTF0274,"HP NOTEBOOK 15-AY005TX(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")","HP NOTEBOOK 15-AY005TX(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")"
OPNBNTF0162,"Dell Inspiron 3542 Laptop (4th Gen Core i5-4210U/4GB/500GB/Intel HD Graphics/Ubuntu/15.6"")","Dell Inspiron 3542 Laptop (4th Gen Core i5-4210U/4GB/500GB/Intel HD Graphics/Ubuntu/15.6"")"
OPNBNTF0147,"Dell Inspiron 15 5558 Laptop (5th Gen Core i5-5200U/4GB/1TB/Integrated Graphics/Win 10/15.6"")","Dell Inspiron 15 5558 Laptop (5th Gen Core i5-5200U/4GB/1TB/Integrated Graphics/Win 10/15.6"")"
OPNBNTF0161,"Dell Inspiron 15 7537 Laptop (4th Gen Core i5-4210U/6GB/1TB/2GB Graphics/Win 8/15.6"" Touch)","Dell Inspiron 15 7537 Laptop (4th Gen Core i5-4210U/6GB/1TB/2GB Graphics/Win 8/15.6"" Touch)"
OPNBNTF0025,"Lenovo Ideapad 300 80Q701L2IH Laptop (6th Gen Core i7-6500U/8GB/1TB/2GB Graphics/Dos/15.6"")","Lenovo Ideapad 300 80Q701L2IH Laptop (6th Gen Core i7-6500U/8GB/1TB/2GB Graphics/Dos/15.6"")"
OPNBNTF0179,DELL INS153543 CI5 5THGEN 8GB 1TB 2GB WIN10 (850811124),DELL INS153543 CI5 5THGEN 8GB 1TB 2GB WIN10 (850811124)
REFDE00218,DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci5-5200U/ 4GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch Touch,DELL REFURBISHED INSPIRON 15 3543/ 5th Gen Ci5-5200U/ 4GB/ 1TB/ 2GB/ WIN 10/ 15.6-Inch Touch
OPNBNTF0230,"DELL INSPIRON 13-7359(CORE I5  6200 2.30GHZ/8GB/500GB/NO DVD/13.3"")","DELL INSPIRON 13-7359(CORE I5  6200 2.30GHZ/8GB/500GB/NO DVD/13.3"")"
OPNBNTF0234,"DELL INSPIRON-5589(CORE I5 6200U 2.30GHZ/8GB/1TB/DVD/15.6"")","DELL INSPIRON-5589(CORE I5 6200U 2.30GHZ/8GB/1TB/DVD/15.6"")"
OPNBNTF0108,"Dell XPS 13 9350 Laptop (6th Gen Core i5-6200U/4GB/128GB/Intel HD Graphics/Win 10/13.3"" FHD)","Dell XPS 13 9350 Laptop (6th Gen Core i5-6200U/4GB/128GB/Intel HD Graphics/Win 10/13.3"" FHD)"
OPNBNTF0237,"DELL INSPIRON 5559(CORE I7 6500U 2.50GHZ/16GB/2TB/DVD/15.6"")","DELL INSPIRON 5559(CORE I7 6500U 2.50GHZ/16GB/2TB/DVD/15.6"")"
OPNBNTF0031,"Lenovo Ideapad 100-15IBD 80QQ00QQIH Laptop (5th Gen Core i3-5005U/4GB/1TB/Integrated Graphics/Dos/15.6"")","Lenovo Ideapad 100-15IBD 80QQ00QQIH Laptop (5th Gen Core i3-5005U/4GB/1TB/Integrated Graphics/Dos/15.6"")"
OPNBNTF0101,"Dell Inspiron 15 3542 Laptop (4th Gen Core i3-4005U/4GB/1TB/Intel HD Graphics/Win 10/15.6"")","Dell Inspiron 15 3542 Laptop (4th Gen Core i3-4005U/4GB/1TB/Intel HD Graphics/Win 10/15.6"")"
OPNBNTF0135,"DELL INSPIRON 3541(AMD RADEON R4 GRAPHICS 1.8GHZ/4GB/500GB/DVD/15.6"")","DELL INSPIRON 3541(AMD RADEON R4 GRAPHICS 1.8GHZ/4GB/500GB/DVD/15.6"")"
OPNBNTF0136,"Dell Inspiron 15 5559 Laptop (6th Gen Core i3-6100U/4GB/1TB/Intel HD Graphics/Dos/15.6"")","Dell Inspiron 15 5559 Laptop (6th Gen Core i3-6100U/4GB/1TB/Intel HD Graphics/Dos/15.6"")"
OPNBNTF0173,"DELL INSPIRON 15 3558 LAPTOP (5TH GEN CORE I3-5005U/4GB/1TB/MF/UBUNTU/15.6"")","DELL INSPIRON 15 3558 LAPTOP (5TH GEN CORE I3-5005U/4GB/1TB/MF/UBUNTU/15.6"")"
OPNBNTF0201,"LENOVO-IDEAPAD 100-15IBD(CORE I3 5005U 2.00GHZ/4GB/500GB 15.6"")PF0LNHC2","LENOVO-IDEAPAD 100-15IBD(CORE I3 5005U 2.00GHZ/4GB/500GB 15.6"")PF0LNHC2"
OPNBNTF0224,"DELL-INSP 5567(CORE I3 6006U 2.00GHZ/4GB/1TB 15.6"")17X3ZL2","DELL-INSP 5567(CORE I3 6006U 2.00GHZ/4GB/1TB 15.6"")17X3ZL2"
OPNBNTF0249,"DELL INSP-11 3158(CORE I3-6100U 2.30GHZ/4GB/500GB 11.6"")SILVER","DELL INSP-11 3158(CORE I3-6100U 2.30GHZ/4GB/500GB 11.6"")SILVER"
OPNBNTF0308,"DELL INSPIRON 5567(CORE I7 7500U 2.70GHZ/16GB/2TB/WINDOWS10/4GB/15.6"")","DELL INSPIRON 5567(CORE I7 7500U 2.70GHZ/16GB/2TB/WINDOWS10/4GB/15.6"")"
OPNBNTF0309,"I BALL COMPBOOK EXCELANCE(ATOM Z3735/2GB/32GB/10"")","I BALL COMPBOOK EXCELANCE(ATOM Z3735/2GB/32GB/10"")"
OPNBNTF0310,"HP NOTEBOOK 15 BE001TU(PENTIUM N3710 1.60GHZ/2GB/1TB/15.6"")","HP NOTEBOOK 15 BE001TU(PENTIUM N3710 1.60GHZ/2GB/1TB/15.6"")"
OPNBNTF0312,"DELL INSPIRON 15-3543(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")","DELL INSPIRON 15-3543(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")"
OPNBNTF0313,"DELL INSPIRON N5010(CORE I3 M370 2.40GHZ/2GB/320GB/15.6"")","DELL INSPIRON N5010(CORE I3 M370 2.40GHZ/2GB/320GB/15.6"")"
OPNBNTF0314,"HP NOTEBOOK 15-BE003TU(CORE I3 5005U 2.00GHZ/4GB/1TB/DVDRW/15.5"")","HP NOTEBOOK 15-BE003TU(CORE I3 5005U 2.00GHZ/4GB/1TB/DVDRW/15.5"")"
OPNBNTF0315,"DELL INSPIRON 15-3543(CORE I5 5200U 2.20GHZ/4GB/500GB/DVD/15.6"")","DELL INSPIRON 15-3543(CORE I5 5200U 2.20GHZ/4GB/500GB/DVD/15.6"")"
OPNBNTF0316,"DELL INSPIRON-11-3148(CORE I3 4030U 1.90GHZ/4GB/500GB/NO DVDRW/13"")","DELL INSPIRON-11-3148(CORE I3 4030U 1.90GHZ/4GB/500GB/NO DVDRW/13"")"
OPNBNTF0317,"HP 245 G5 NOTEBOOK(AMD A6 RADEON R4 2GHZ/4GB/500GB/DVD/14"")","HP 245 G5 NOTEBOOK(AMD A6 RADEON R4 2GHZ/4GB/500GB/DVD/14"")"
REFDE00363,"DELL INSPIRON 3541(AMD A6 6310 1.80GHZ/4GB/1TB/DVD/15.6"")","DELL INSPIRON 3541(AMD A6 6310 1.80GHZ/4GB/1TB/DVD/15.6"")"
OPNBNTF0059,"HP 15-AC168TU Laptop (Pentium 3825U/4GB/500GB/Integrated Graphics/Win 10/15.6"")","HP 15-AC168TU Laptop (Pentium 3825U/4GB/500GB/Integrated Graphics/Win 10/15.6"")"
