sku,attribute_set
QCDTAG00004,Desktops
NEWNBK00183,Desktops
QCDTAG00006,Desktops
REFDOP00780PDCG1,Desktops
REFDE00337,Desktops
REFDE00262,Desktops
REFDE00263,Desktops
QCDTAG00005,Desktops
QCDTAG00001,Desktops
REFDE00277,Desktops
REFDE00338,Desktops
QCDTAG00002,Desktops
REFDE00250,Desktops
REFDE00268,Desktops
REFDE00312,Desktops
REFDE00313,Desktops
REFDE00340,Desktops
REFDE00138,Desktops
REFDE00140,Desktops
REFDE00141,Desktops
REFDE00142,Desktops
REFDE00143,Desktops
REFDE00196,Desktops
REFDE00144,Desktops
REFDE00145,Desktops
REFDE00149,Desktops
REFDE00150,Desktops
REFDE00151,Desktops
REFDE00153,Desktops
REFDE00154,Desktops
REFDE00156,Desktops
REFDE00193,Desktops
REFDE00194,Desktops
REFDE00190,Desktops
REFDE00191,Desktops
REFDE00195,Desktops
REFDE00230,Desktops
REFDE00231,Desktops
QCDTAG00003,Desktops
REFDE00233,Desktops
REFDE00234,Desktops
REFDE00235,Desktops
REFDE00236,Desktops
QCNBB000006,Desktops
REFDE00265,Desktops
REFDE00258,Desktops
REFDE00264,Desktops
REFDE00267,Desktops
NEWNBK00173,Desktops
REFDE00232,Desktops
REFDE00290,Desktops
REFDE00292,Desktops
REFDE00293,Desktops
REFDE00298,Desktops
REFDE00299,Desktops
REFDE00282,Desktops
REFDE00320,Desktops
REFDE00339,Desktops
REFDE00344,Desktops
REFDE00331,Desktops
REFDE00139,Desktops
REFDE00146,Desktops
REFDE00147,Desktops
REFDE00148,Desktops
REFDE00152,Desktops
REFDE00155,Desktops
REFDE00157,Desktops
REFDE00192,Desktops
REFDE00237,Desktops
REFDE00246,Desktops
NEWNBK00032,Desktops
NEWNBK00031,Desktops
NEWNBK00177,Desktops
