sku,status,qty
QCNBA000292,Enabled,8
QCNBA000294,Enabled,2
QCNBA000295,Enabled,1
QCNBAG00518,Enabled,2
QCNBAG00520,Enabled,12
QCNBAG00547,Enabled,2
QCNBAG00550,Enabled,2
QCNBAG00552,Enabled,1
QCNBAG00568,Enabled,1
QCNBAG00581,Enabled,1
QCNBAG00668,Enabled,3
QCNBAG00686,Enabled,1
QCNBA000095,Enabled,1
QCNBA000143,Enabled,1
QCNBA000189,Enabled,1
QCNBA000224,Enabled,1
QCNBA000228,Enabled,1
QCNBA000245,Enabled,1
QCNBA000288,Enabled,5
QCNBA000291,Enabled,3
QCNBA000348,Enabled,1
QCNBA000356,Enabled,1
QCNBA000370,Enabled,1
QCNBA000525,Enabled,1
QCNBAG00526,Enabled,1
QCNBAG00531,Enabled,1
QCNBAG00554,Enabled,1
QCNBAG00560,Enabled,1
QCNBAG00566,Enabled,1
QCNBAG00582,Enabled,1
QCNBAG00585,Enabled,1
QCNBAG00586,Enabled,1
QCNBAG00633,Enabled,1
QCNBAG00683,Enabled,1
QCNBAG00693,Enabled,2
