sku,category_ids
REFDE00139,"113,146"
REFDE00146,"113,146"
REFDE00147,"113,146"
REFDE00148,"113,146"
REFDE00152,"113,146"
REFDE00155,"113,146"
REFDE00157,"113,146"
REFDE00192,"113,146"
REFDE00193,"113,146"
REFDE00194,"113,146"
REFDE00196,"113,146"
REFDE00232,"113,146"
REFDE00237,"113,146"
REFDE00246,"113,146"
REFDE00250,"113,146"
REFDE00262,"113,146"
REFDE00263,"113,146"
REFDE00268,"113,146"
REFDE00277,"113,146"
REFDE00312,"113,146"
REFDE00313,"113,146"
REFDE00337,"113,146"
REFDE00338,"113,146"
REFDE00340,"113,146"
REFDOP00780PDCG1,"113,117"
QCPDT000015,"113,117"
QCDTAG00001,"113,117"
QCDTAG00002,"113,117"
QCDTAG00003,"113,117"
QCPDT000041,"113,117"
QCDTAG00004,"113,117"
QCDTAG00005,"113,117"
QCDTAG00006,"113,117"
QCDTAG00007,"113,117"
QCDTAG00008,"113,117"
QCPDT000003,"113,117"
QCPDT000025,"113,117"
QCPDT000028,"113,117"
QCPDT000029,"113,117"
QCPDT000030,"113,117"
QCPDT000032,"113,117"
QCPDT000033,"113,117"
QCPDT000034,"113,117"
QCPDT000036,"113,117"
QCPDT000037,"113,117"
QCPDT000039,"113,117"
QCPDT000040,"113,117"
NEWNBK00031,"113,115"
NEWNBK00183,"113,115"
NEWNBK00177,"113,115"
