sku,name,product_name
QCDTAG00006,DELL OPTIPLEX 7010(CORE I5 3470U/3.20GHZ/4GB DDR3 RAM/500GB HDD/NO DVD),DELL OPTIPLEX 7010(CORE I5 3470U/3.20GHZ/4GB DDR3 RAM/500GB HDD/NO DVD)
QCDTAG00004,Lenovo Thinkcentre D25 (Core2Duo/3.00GHZ/2GB DDR2 RAM/250GB HDD/DVD),Lenovo Thinkcentre D25 (Core2Duo/3.00GHZ/2GB DDR2 RAM/250GB HDD/DVD)
QCDTAG00005,LENOVO Think Centre M82 2E3 (Core I5-3RDGEN/3.30GHZ/4GB DDR3 RAM/500GB HDD/DVD),LENOVO Think Centre M82 2E3 (Core I5-3RDGEN/3.30GHZ/4GB DDR3 RAM/500GB HDD/DVD)
QCDTAG00002,DESKTOP Optiplex 780(DT)(Pentium Dual Core E5700 3.00GHz/2GB DDR3 RAM/250GB HDD/DVD),DESKTOP Optiplex 780(DT)(Pentium Dual Core E5700 3.00GHz/2GB DDR3 RAM/250GB HDD/DVD)
QCDTAG00003,DESKTOP Optiplex 780(DT)(Pentium Dual Core E5700 3.00GHz/2GB DDR3 RAM/250GB HDD/DVD),DESKTOP Optiplex 780(DT)(Pentium Dual Core E5700 3.00GHz/2GB DDR3 RAM/250GB HDD/DVD)
QCDTAG00001,DESKTOP Optiplex 780(DT)(Pentium Dual Core E5700 3.00GHz/2GB DDR3 RAM/250GB HDD/DVD),DESKTOP Optiplex 780(DT)(Pentium Dual Core E5700 3.00GHz/2GB DDR3 RAM/250GB HDD/DVD)
QCPDT000003,LENOVO THINK CENTRE M91P 4513-A29 (CORE I5-2ND GEN 8GB DDR3 RAM/500GB HDD/DVD),LENOVO THINK CENTRE M91P 4513-A29 (CORE I5-2ND GEN 8GB DDR3 RAM/500GB HDD/DVD)
QCPDT000025,LENOVO D85(CORE I5 2NDGEN/3.10GHZ/4GB DDR3 RAM/500GB HDD/DVD),LENOVO D85(CORE I5 2NDGEN/3.10GHZ/4GB DDR3 RAM/500GB HDD/DVD)
QCPDT000026,LENOVO M82 S0CJ03(COREI5-4THGEN/3.40GHZ/4GB DDR3 RAM/500GB HDD/DVD),LENOVO M82 S0CJ03(COREI5-4THGEN/3.40GHZ/4GB DDR3 RAM/500GB HDD/DVD)
QCPDT000028,DELL OPTIPLEX 3010 (CORE I5 3RD GEN4GB DDR3 RAM/500GB HDD/NO DVD),DELL OPTIPLEX 3010 (CORE I5 3RD GEN4GB DDR3 RAM/500GB HDD/NO DVD)
QCPDT000030,DELL OPTIPLEX 780 (CORE 2 DUO/2GB DDR3 RAM/250GB HDD/DVD),DELL OPTIPLEX 780 (CORE 2 DUO/2GB DDR3 RAM/250GB HDD/DVD)
QCPDT000032,HP COMPAQ BUSINESS DC7700 (CORE 2 DUO/2GB DDR2 RAM/160GB HDD/DVD),HP COMPAQ BUSINESS DC7700 (CORE 2 DUO/2GB DDR2 RAM/160GB HDD/DVD)
QCPDT000033,HP COMPAQ ELITE 8100 (CORE I5 1ST GEN /4GB DDR3 RAM/250GB HDD/DVD),HP COMPAQ ELITE 8100 (CORE I5 1ST GEN /4GB DDR3 RAM/250GB HDD/DVD)
QCPDT000034,HP COMPAQ 6000 PRO SMALL (CORE 2 DUO/2GB DDR3 RAM/320GB HDD/NO DVD),HP COMPAQ 6000 PRO SMALL (CORE 2 DUO/2GB DDR3 RAM/320GB HDD/NO DVD)
QCPDT000036,HP COMPAQ PRO 6005 (AMD ATHLON II X2 B28/2GB DDR3 RAM/250GB HDD/NO DVD),HP COMPAQ PRO 6005 (AMD ATHLON II X2 B28/2GB DDR3 RAM/250GB HDD/NO DVD)
QCPDT000037,HP COMPAQ PRO 6305 SMALL (AMD A6-5400B/2GB DDR3 RAM/250GB HDD/NO DVD),HP COMPAQ PRO 6305 SMALL (AMD A6-5400B/2GB DDR3 RAM/250GB HDD/NO DVD)
QCPDT000039,HP COMPAQ DC7900 (Core 2 Duo/4GB DDR3 RAM/160GB HDD/DVD),HP COMPAQ DC7900 (Core 2 Duo/4GB DDR3 RAM/160GB HDD/DVD)
QCPDT000040,LENOVO THINKCENTRE M58(Core 2 Duo/1GB DDR3 RAM/160GB HDD/DVD),LENOVO THINKCENTRE M58(Core 2 Duo/1GB DDR3 RAM/160GB HDD/DVD)
