sku,product_category_type
QCPDT000073,QCPEND-DT
QCPDT000074,QCPEND-DT
QCPDT000075,QCPEND-DT
QCPDT000076,QCPEND-DT
QCPDT000077,QCPEND-DT
QCPDT000078,QCPEND-DT
QCPDT000079,QCPEND-DT
QCPDT000080,QCPEND-DT
QCPDT000081,QCPEND-DT
QCPDT000082,QCPEND-DT
QCPDT000083,QCPEND-DT
QCPDT000084,QCPEND-DT
QCPDT000085,QCPEND-DT
QCPDT000086,QCPEND-DT
QCPDT000087,QCPEND-DT
QCPDT000088,QCPEND-DT
QCPDT000089,QCPEND-DT
QCPDT000090,QCPEND-DT
QCPDT000091,QCPEND-DT
QCPDT000092,QCPEND-DT
QCPDT000093,QCPEND-DT
QCPDT000094,QCPEND-DT
QCPDT000095,QCPEND-DT
QCPDT000096,QCPEND-DT
QCPDT000097,QCPEND-DT
QCPDT000098,QCPEND-DT
QCPDT000099,QCPEND-DT
QCPDT000100,QCPEND-DT
QCPDT000101,QCPEND-DT
QCPDT000102,QCPEND-DT
QCPDT000103,QCPEND-DT
QCPDT000104,QCPEND-DT
QCPDT000105,QCPEND-DT
QCPDT000106,QCPEND-DT
QCPDT000107,QCPEND-DT
QCPDT000108,QCPEND-DT
QCPDT000109,QCPEND-DT
QCPDT000110,QCPEND-DT
QCPDT000111,QCPEND-DT
QCPDT000112,QCPEND-DT
QCPDT000113,QCPEND-DT
QCPDT000114,QCPEND-DT
QCPDT000115,QCPEND-DT
QCPDT000116,QCPEND-DT
QCPDT000117,QCPEND-DT
QCPDT000118,QCPEND-DT
QCPDT000051,QCPEND-DT
QCPDT000052,QCPEND-DT
QCPDT000053,QCPEND-DT
QCPDT000054,QCPEND-DT
QCPDT000055,QCPEND-DT
QCPDT000056,QCPEND-DT
QCPDT000057,QCPEND-DT
QCPDT000058,QCPEND-DT
QCPDT000059,QCPEND-DT
QCPDT000060,QCPEND-DT
QCPDT000061,QCPEND-DT
QCPDT000062,QCPEND-DT
QCPDT000063,QCPEND-DT
QCPDT000064,QCPEND-DT
QCPDT000065,QCPEND-DT
QCPDT000066,QCPEND-DT
QCPDT000067,QCPEND-DT
QCPDT000068,QCPEND-DT
QCPDT000069,QCPEND-DT
QCPDT000070,QCPEND-DT
QCPDT000071,QCPEND-DT
QCPDT000072,QCPEND-DT
QCPDT000015,QCPEND-DT
QCPDT000041,QCPEND-DT
QCPDT000003,QCPEND-DT
QCPDT000025,QCPEND-DT
QCPDT000028,QCPEND-DT
QCPDT000029,QCPEND-DT
QCPDT000030,QCPEND-DT
QCPDT000032,QCPEND-DT
QCPDT000033,QCPEND-DT
QCPDT000034,QCPEND-DT
QCPDT000036,QCPEND-DT
QCPDT000037,QCPEND-DT
QCPDT000039,QCPEND-DT
QCPDT000040,QCPEND-DT
QCPDT000042,QCPEND-DT
QCPDT000043,QCPEND-DT
QCPDT000044,QCPEND-DT
QCPDT000045,QCPEND-DT
QCPDT000046,QCPEND-DT
QCPDT000047,QCPEND-DT
QCPDT000048,QCPEND-DT
QCPDT000049,QCPEND-DT
QCPDT000050,QCPEND-DT
