sku,category_ids
QCNBB000001,"3,148"
QCNBB000002,"3,148"
QCNBB000003,"3,148"
QCNBB000004,"3,148"
QCNBB000005,"3,148"
QCNBB000006,"3,148"
QCNBB000007,"3,148"
QCNBB000008,"3,148"
QCNBB000009,"3,148"
QCNBB000010,"3,148"
QCNBB000011,"3,148"
QCNBB000012,"3,148"
QCNBB000013,"3,148"
QCNBB000014,"3,148"
QCNBB000015,"3,148"
QCNBB000016,"3,148"
QCNBB000017,"3,148"
QCNBB000018,"3,148"
QCNBB000019,"3,148"
QCNBB000020,"3,148"
QCNBB000021,"3,148"
QCNBB000022,"3,148"
QCNBB000023,"3,148"
QCNBB000024,"3,148"
QCNBB000025,"3,148"
QCNBB000026,"3,148"
QCNBB000027,"3,148"
QCNBB000028,"3,148"
QCNBB000029,"3,148"
QCNBB000030,"3,148"
QCNBB000031,"3,148"
QCNBB000032,"3,148"
QCNBB000033,"3,148"
QCNBB000034,"3,148"
QCNBB000035,"3,148"
QCNBB000036,"3,148"
QCNBB000037,"3,148"
QCNBB000038,"3,148"
QCNBB000039,"3,148"
QCNBB000040,"3,148"
QCNBB000041,"3,148"
QCNBB000042,"3,148"
QCNBB000043,"3,148"
QCNBB000044,"3,148"
QCNBB000045,"3,148"
QCNBB000046,"3,148"
QCNBB000047,"3,148"
QCNBB000048,"3,148"
QCNBB000050,"3,148"
QCNBB000051,"3,148"
QCNBB000052,"3,148"
QCNBB000053,"3,148"
QCNBB000054,"3,148"
QCNBB000055,"3,148"
QCNBB000056,"3,148"
QCNBB000057,"3,148"
QCNBB000058,"3,148"
QCNBB000059,"3,148"
QCNBB000060,"3,148"
QCNBB000061,"3,148"
QCNBB000062,"3,148"
QCNBB000063,"3,148"
QCNBB000064,"3,148"
QCNBB000065,"3,148"
QCNBB000066,"3,148"
QCNBB000067,"3,148"
QCNBB000068,"3,148"
QCNBB000069,"3,148"
QCNBB000070,"3,148"
QCNBB000071,"3,148"
QCNBB000072,"3,148"
QCNBB000073,"3,148"
QCNBB000074,"3,148"
QCNBB000075,"3,148"
QCNBB000076,"3,148"
QCNBB000077,"3,148"
QCNBB000078,"3,148"
QCNBB000079,"3,148"
QCNBB000080,"3,148"
QCNBB000081,"3,148"
QCNBB000082,"3,148"
QCNBB000083,"3,148"
QCNBB000084,"3,148"
QCNBB000085,"3,148"
QCNBB000086,"3,148"
QCNBB000087,"3,148"
QCNBB000088,"3,148"
QCNBB000089,"3,148"
QCNBB000090,"3,148"
QCNBB000091,"3,148"
QCNBB000092,"3,148"
QCNBB000093,"3,148"
QCNBB000094,"3,148"
QCNBB000095,"3,148"
QCNBB000096,"3,148"
QCNBB000097,"3,148"
QCNBB000098,"3,148"
QCNBB000099,"3,148"
QCNBB000100,"3,148"
QCNBB000101,"3,148"
QCNBB000102,"3,148"
QCNBB000103,"3,148"
QCNBB000104,"3,148"
QCNBB000105,"3,148"
QCNBB000106,"3,148"
QCNBB000107,"3,148"
QCNBB000108,"3,148"
QCNBB000109,"3,148"
QCNBB000110,"3,148"
QCNBB000111,"3,148"
QCNBB000112,"3,148"
QCNBB000114,"3,148"
QCNBB000115,"3,148"
QCNBB000116,"3,148"
QCNBB000117,"3,148"
QCNBB000118,"3,148"
QCNBB000119,"3,148"
QCNBB000120,"3,148"
QCNBB000121,"3,148"
QCNBB000122,"3,148"
QCNBB000123,"3,148"
QCNBB000124,"3,148"
QCNBB000125,"3,148"
QCNBB000126,"3,148"
QCNBB000127,"3,148"
QCNBB000128,"3,148"
QCNBB000129,"3,148"
QCNBB000130,"3,148"
QCNBB000131,"3,148"
QCNBB000132,"3,148"
QCNBB000133,"3,148"
QCNBB000134,"3,148"
QCNBB000135,"3,148"
QCNBB000136,"3,148"
QCNBB000137,"3,148"
QCNBB000138,"3,148"
QCNBB000139,"3,148"
QCNBB000140,"3,148"
QCNBB000141,"3,148"
QCNBB000142,"3,148"
QCNBB000143,"3,148"
QCNBB000144,"3,148"
QCNBB000145,"3,148"
QCNBB000146,"3,148"
QCNBB000147,"3,148"
QCNBB000148,"3,148"
QCNBB000149,"3,148"
QCNBB000152,"3,148"
QCNBB000153,"3,148"
QCNBB000154,"3,148"
QCNBB000155,"3,148"
QCNBB000156,"3,148"
QCNBB000157,"3,148"
QCNBB000158,"3,148"
QCNBB000159,"3,148"
QCNBB000160,"3,148"
QCNBB000163,"3,148"
QCNBB000164,"3,148"
QCNBB000165,"3,148"
QCNBB000166,"3,148"
QCNBB000167,"3,148"
QCNBB000168,"3,148"
QCNBB000169,"3,148"
QCNBB000170,"3,148"
QCNBB000171,"3,148"
QCNBB000172,"3,148"
QCNBB000173,"3,148"
QCNBB000174,"3,148"
QCNBB000175,"3,148"
QCNBB000176,"3,148"
QCNBB000177,"3,148"
QCNBB000178,"3,148"
QCNBB000179,"3,148"
QCNBB000181,"3,148"
QCNBB000182,"3,148"
QCNBB000183,"3,148"
QCNBB000184,"3,148"
QCNBB000185,"3,148"
QCNBB000186,"3,148"
QCNBB000187,"3,148"
QCNBB000188,"3,148"
QCNBB000189,"3,148"
QCNBB000191,"3,148"
QCNBB000192,"3,148"
QCNBB000193,"3,148"
QCNBB000194,"3,148"
QCNBB000195,"3,148"
QCNBB000196,"3,148"
QCNBB000197,"3,148"
QCNBB000198,"3,148"
QCNBB000199,"3,148"
QCNBB000200,"3,148"
QCNBB000201,"3,148"
QCNBB000202,"3,148"
QCNBB000204,"3,148"
QCNBB000205,"3,148"
QCNBB000206,"3,148"
QCNBB000207,"3,148"
QCNBB000208,"3,148"
QCNBB000209,"3,148"
QCNBB000210,"3,148"
QCNBB000211,"3,148"
QCNBB000212,"3,148"
QCNBB000214,"3,148"
QCNBB000215,"3,148"
QCNBB000216,"3,148"
QCNBB000217,"3,148"
QCNBB000218,"3,148"
QCNBB000219,"3,148"
QCNBB000220,"3,148"
QCNBB000221,"3,148"
QCNBB000222,"3,148"
QCNBB000223,"3,148"
QCNBB000224,"3,148"
QCNBB000225,"3,148"
QCNBB000226,"3,148"
QCNBB000227,"3,148"
QCNBB000228,"3,148"
QCNBB000229,"3,148"
QCNBB000230,"3,148"
QCNBB000231,"3,148"
QCNBB000232,"3,148"
QCNBB000233,"3,148"
QCNBB000234,"3,148"
QCNBB000235,"3,148"
QCNBB000236,"3,148"
QCNBB000237,"3,148"
QCNBB000238,"3,148"
QCNBB000239,"3,148"
QCNBB000240,"3,148"
QCNBB000241,"3,148"
QCNBB000242,"3,148"
QCNBB000243,"3,148"
QCNBB000244,"3,148"
QCNBB000245,"3,148"
QCNBB000246,"3,148"
QCNBB000247,"3,148"
QCNBB000248,"3,148"
QCNBB000249,"3,148"
QCNBB000250,"3,148"
QCNBB000251,"3,148"
QCNBB000252,"3,148"
QCNBB000253,"3,148"
QCNBB000254,"3,148"
QCNBB000255,"3,148"
QCNBB000256,"3,148"
QCNBB000257,"3,148"
QCNBB000258,"3,148"
QCNBB000259,"3,148"
QCNBB000260,"3,148"
QCNBB000261,"3,148"
QCNBB000262,"3,148"
QCNBB000263,"3,148"
QCNBB000264,"3,148"
QCNBB000266,"3,148"
QCNBB000267,"3,148"
QCNBB000268,"3,148"
QCNBB000269,"3,148"
QCNBB000270,"3,148"
QCNBB000271,"3,148"
QCNBB000272,"3,148"
QCNBB000273,"3,148"
QCNBB000274,"3,148"
QCNBB000275,"3,148"
QCNBB000276,"3,148"
QCNBB000277,"3,148"
QCNBB000278,"3,148"
QCNBB000279,"3,148"
QCNBB000280,"3,148"
QCNBB000281,"3,148"
QCNBB000282,"3,148"
QCNBB000283,"3,148"
QCNBB000285,"3,148"
QCNBB000286,"3,148"
QCNBB000287,"3,148"
QCNBB000288,"3,148"
QCNBB000289,"3,148"
QCNBB000290,"3,148"
QCNBB000291,"3,148"
QCNBB000292,"3,148"
QCNBB000293,"3,148"
QCNBB000294,"3,148"
QCNBB000295,"3,148"
QCNBB000296,"3,148"
QCNBB000297,"3,148"
QCNBB000298,"3,148"
QCNBB000299,"3,148"
QCNBB000300,"3,148"
QCNBB000301,"3,148"
QCNBB000302,"3,148"
QCNBB000303,"3,148"
QCNBB000304,"3,148"
QCNBB000305,"3,148"
QCNBB000306,"3,148"
QCNBB000307,"3,148"
QCNBB000308,"3,148"
QCNBB000309,"3,148"
QCNBB000310,"3,148"
QCNBB000311,"3,148"
QCNBB000312,"3,148"
QCNBB000313,"3,148"
QCNBB000314,"3,148"
QCNBB000315,"3,148"
QCNBB000316,"3,148"
QCNBB000317,"3,148"
QCNBB000318,"3,148"
QCNBB000319,"3,148"
QCNBB000320,"3,148"
QCNBB000321,"3,148"
QCNBB000322,"3,148"
QCNBB000323,"3,148"
QCNBB000328,"3,148"
QCNBB000331,"3,148"
QCNBB000333,"3,148"
QCNBB000339,"3,148"
QCNBB000341,"3,148"
QCNBB000342,"3,148"
QCNBB000346,"3,148"
QCNBB000347,"3,148"
QCNBB000348,"3,148"
QCNBB000350,"3,148"
QCNBB000351,"3,148"
QCNBB000352,"3,148"
QCNBB000354,"3,148"
QCNBB000355,"3,148"
QCNBB000356,"3,148"
QCNBB000357,"3,148"
QCNBB000358,"3,148"
QCNBB000359,"3,148"
QCNBB000360,"3,148"
QCNBB000361,"3,148"
QCNBB000362,"3,148"
QCNBB000363,"3,148"
QCNBB000364,"3,148"
QCNBB000365,"3,148"
QCNBB000366,"3,148"
QCNBB000367,"3,148"
QCNBB000368,"3,148"
QCNBB000369,"3,148"
QCNBB000370,"3,148"
QCNBB000371,"3,148"
QCNBB000372,"3,148"
QCNBB000373,"3,148"
QCNBB000374,"3,148"
QCNBB000375,"3,148"
QCNBB000376,"3,148"
QCNBB000377,"3,148"
QCNBB000378,"3,148"
QCNBB000379,"3,148"
QCNBB000380,"3,148"
QCNBB000381,"3,148"
QCNBB000382,"3,148"
QCNBB000384,"3,148"
QCNBB000385,"3,148"
QCNBB000386,"3,148"
QCNBB000387,"3,148"
QCNBB000388,"3,148"
QCNBB000389,"3,148"
QCNBB000390,"3,148"
QCNBB000391,"3,148"
QCNBB000392,"3,148"
QCNBB000393,"3,148"
QCNBB000395,"3,148"
QCNBB000396,"3,148"
QCNBB000397,"3,148"
QCNBB000398,"3,148"
QCNBB000399,"3,148"
QCNBB000400,"3,148"
QCNBB000401,"3,148"
QCNBB000402,"3,148"
QCNBB000403,"3,148"
QCNBB000404,"3,148"
QCNBB000405,"3,148"
QCNBB000406,"3,148"
QCNBB000408,"3,148"
QCNBB000409,"3,148"
QCNBB000410,"3,148"
QCNBB000411,"3,148"
QCNBB000412,"3,148"
QCNBB000413,"3,148"
QCNBB000414,"3,148"
QCNBB000415,"3,148"
QCNBB000416,"3,148"
QCNBB000417,"3,148"
QCNBB000418,"3,148"
QCNBB000420,"3,148"
QCNBB000421,"3,148"
QCNBB000422,"3,148"
QCNBB000423,"3,148"
QCNBB000424,"3,148"
QCNBB000425,"3,148"
QCNBB000426,"3,148"
QCNBB000427,"3,148"
QCNBB000431,"3,148"
QCNBB000432,"3,148"
QCNBB000433,"3,148"
QCNBB000434,"3,148"
QCNBB000435,"3,148"
QCNBB000436,"3,148"
QCNBB000437,"3,148"
QCNBB000438,"3,148"
QCNBB000499,"3,148"
QCNBB000500,"3,148"
QCNBB000501,"3,148"
QCNBB000502,"3,148"
QCNBB000503,"3,148"
QCNBB000504,"3,148"
QCNBB000505,"3,148"
QCNBB000506,"3,148"
QCNBB000507,"3,148"
QCNBB000508,"3,148"
QCNBB000509,"3,148"
QCNBB000510,"3,148"
QCNBB000511,"3,148"
QCNBB000512,"3,148"
QCNBB000513,"3,148"
QCNBB000514,"3,148"
QCNBB000515,"3,148"
QCNBB000516,"3,148"
QCNBB000517,"3,148"
QCNBB000518,"3,148"
QCNBB000519,"3,148"
QCNBB000520,"3,148"
QCNBB000521,"3,148"
QCNBB000522,"3,148"
QCNBB000523,"3,148"
QCNBB000524,"3,148"
QCNBB000525,"3,148"
QCNBB000526,"3,148"
QCNBB000527,"3,148"
QCNBB000528,"3,148"
QCNBB000529,"3,148"
QCNBB000530,"3,148"
QCNBB000531,"3,148"
QCNBB000532,"3,148"
QCNBB000533,"3,148"
QCNBB000534,"3,148"
QCNBB000535,"3,148"
QCNBB000536,"3,148"
QCNBB000537,"3,148"
QCNBB000538,"3,148"
QCNBB000539,"3,148"
QCNBB000540,"3,148"
QCNBB000541,"3,148"
QCNBB000542,"3,148"
QCNBB000543,"3,148"
QCNBB000544,"3,148"
QCNBB000545,"3,148"
QCNBB000546,"3,148"
QCNBB000547,"3,148"
QCNBB000548,"3,148"
QCNBB000549,"3,148"
QCNBB000550,"3,148"
QCNBB000551,"3,148"
QCNBB000552,"3,148"
QCNBB000553,"3,148"
QCNBB000554,"3,148"
QCNBB000555,"3,148"
QCNBB000556,"3,148"
QCNBB000557,"3,148"
QCNBB000558,"3,148"
QCNBB000559,"3,148"
QCNBB000560,"3,148"
QCNBB000561,"3,148"
QCNBB000562,"3,148"
QCNBB000563,"3,148"
QCNBB000564,"3,148"
QCNBB000565,"3,148"
QCNBB000566,"3,148"
QCNBB000567,"3,148"
QCNBB000568,"3,148"
QCNBB000569,"3,148"
QCNBB000570,"3,148"
QCNBB000571,"3,148"
QCNBB000572,"3,148"
QCNBB000573,"3,148"
QCNBB000574,"3,148"
QCNBB000575,"3,148"
QCNBB000576,"3,148"
QCNBB000577,"3,148"
QCNBB000578,"3,148"
QCNBB000579,"3,148"
QCNBB000580,"3,148"
QCNBB000581,"3,148"
QCNBB000582,"3,148"
QCNBB000583,"3,148"
QCNBB000584,"3,148"
QCNBB000585,"3,148"
QCNBB000586,"3,148"
QCNBB000587,"3,148"
QCNBB000588,"3,148"
QCNBB000589,"3,148"
QCNBB000590,"3,148"
QCNBB000591,"3,148"
QCNBB000592,"3,148"
QCNBB000593,"3,148"
QCNBB000594,"3,148"
QCNBB000595,"3,148"
QCNBB000596,"3,148"
QCNBB000597,"3,148"
QCNBB000598,"3,148"
QCNBB000599,"3,148"
QCNBB000600,"3,148"
QCNBB000601,"3,148"
QCNBB000602,"3,148"
QCNBB000603,"3,148"
QCNBB000604,"3,148"
QCNBB000605,"3,148"
QCNBB000606,"3,148"
QCNBB000607,"3,148"
QCNBB000608,"3,148"
QCNBB000609,"3,148"
QCNBB000610,"3,148"
QCNBB000611,"3,148"
QCNBB000612,"3,148"
QCNBB000613,"3,148"
QCNBB000614,"3,148"
QCNBB000615,"3,148"
QCNBB000616,"3,148"
QCNBB000617,"3,148"
QCNBB000618,"3,148"
QCNBB000619,"3,148"
QCNBB000620,"3,148"
QCNBB000621,"3,148"
QCNBB000622,"3,148"
QCNBB000623,"3,148"
QCNBB000624,"3,148"
QCNBB000625,"3,148"
QCNBB000626,"3,148"
QCNBB000627,"3,148"
QCNBB000628,"3,148"
QCNBB000629,"3,148"
QCNBB000630,"3,148"
QCNBB000631,"3,148"
QCNBB000632,"3,148"
QCNBB000633,"3,148"
QCNBB000634,"3,148"
QCNBB000635,"3,148"
QCNBB000636,"3,148"
QCNBB000637,"3,148"
QCNBB000638,"3,148"
QCNBB000639,"3,148"
QCNBB000640,"3,148"
QCNBB000641,"3,148"
QCNBB000642,"3,148"
QCNBB000643,"3,148"
QCNBB000644,"3,148"
QCNBB000646,"3,148"
QCNBB000647,"3,148"
QCNBB000648,"3,148"
QCNBB000649,"3,148"
QCNBB000650,"3,148"
QCNBB000651,"3,148"
QCNBB000652,"3,148"
QCNBB000653,"3,148"
QCNBB000654,"3,148"
QCNBB000655,"3,148"
QCNBB000049,"3,148"
QCNBB000113,"3,148"
QCNBB000150,"3,148"
QCNBB000151,"3,148"
QCNBB000161,"3,148"
QCNBB000180,"3,148"
QCNBB000190,"3,148"
QCNBB000213,"3,148"
QCNBB000324,"3,148"
QCNBB000325,"3,148"
QCNBB000326,"3,148"
QCNBB000327,"3,148"
QCNBB000329,"3,148"
QCNBB000330,"3,148"
QCNBB000332,"3,148"
QCNBB000334,"3,148"
QCNBB000335,"3,148"
QCNBB000336,"3,148"
QCNBB000337,"3,148"
QCNBB000338,"3,148"
QCNBB000340,"3,148"
QCNBB000343,"3,148"
QCNBB000344,"3,148"
QCNBB000345,"3,148"
QCNBB000349,"3,148"
QCNBB000353,"3,148"
QCNBB000394,"3,148"
QCNBB000407,"3,148"
QCNBB000419,"3,148"
QCNBB000428,"3,148"
QCNBB000657,"3,148"
QCNBB000662,"3,148"
QCNBB000663,"3,148"
QCNBB000664,"3,148"
QCNBB000672,"3,148"
QCNBB000673,"3,148"
QCNBB000674,"3,148"
QCNBB000675,"3,148"
QCNBB000678,"3,148"
QCNBB000702,"3,148"
QCNBB000703,"3,148"
QCNBB000704,"3,148"
